County FIPS,"American Indian or Alaskan Native, Non-Hispanic","Asian and Pacific Islander, Non-Hispanic","Asian, Non-Hispanic",Associate’s Degree or Higher,Asthma,Avg Residents in Nursing Homes,Avg Residents in Nursing Homes count,Below 100% FPL,Below 200% Federal Poverty Level,Between 100% and 150% FPL,Between 150% and 200% FPL,Between 200% and 300% FPL,"Black, Non-Hispanic",CDC Social Vulnerability,COPD,Cancer,Current Smoker Status,Diabetes,Distance to Health Center (mi.),Distance to Health Center (mi.) inverse weighted,Early Prescription Refills,Free Cost Vaccine When Available,Greater than 300% FPL,Heart Disease,Hispanic,Hospital Bed Number,Hospital Bed Number count,Hospital Bed Number county,Hospital Bed Number county count,ICU Bed Increase Capacity,ICU Bed Increase Capacity count,ICU Bed Increase Capacity county,ICU Bed Increase Capacity county count,Kidney Disease,Linguistic Isolation,Marketplace Special Enrollment Period (SEP),No High School Diploma,No Vehicle Access,Num Uninsured,Num Uninsured count,Number of Homeless,Number of Homeless count,Number of ICU beds,Number of ICU beds count,Number of ICU beds county,Number of ICU beds county count,Number of Migrants,Number of Migrants count,"Other, Non-Hispanic","Pacific Islander, Non-Hispanic",Paid Sick Leave,Percent of pop 65+,Percent of pop poverty,Population Below 200% Federal Poverty Level,Section 1135 Waiver,Single-Parent Households,State Requires Waiver of Prior Authorization Requirements,Total Population,"Two or More Races, Non-Hispanic",UNS,Unemployed,Uninsured,Waive Cost Sharing for COVID-19 Testing,Waive Cost Sharing for COVID-19 Treatment,"White, Non-Hispanic",latest case count,latest death count,latest recovered count
01001,54.54827693262961,68.58118596709096,70.07140639552934,67.68084445824279,56.69046879850978,40.20490530891028,67.52561316361378,47.469729897547346,35.64110524681776,43.83731760322881,16.330332194970506,26.979199006519718,84.75628686743248,43.44366645448759,69.88512884197455,94.0391182862465,61.3163613784539,84.19745420676809,48.80471903135672,27.5690779261099,42.936684696150174,45.10022271714922,72.89661595777709,88.8078236572493,37.22446445203353,41.726171996274445,73.95218876125426,41.93347839602114,68.04476220080821,79.04377522508538,87.11580254579323,49.922287845819085,49.922287845819085,55.63489599503259,43.061161130083825,46.64333439389119,51.195280968643274,35.26855013970817,18.746021642266072,65.97708465945257,9.663341645885287,14.526184538653366,62.06147159267308,73.02080099348028,49.30059061237178,49.30059061237178,46.47186820018651,66.98787690394778,61.378453896305494,58.553244334057744,41.568565065224305,17.69573520050923,52.705283259070654,75.03880782365725,47.27966910594973,21.24883504193849,45.62519885459752,76.40484321639242,52.93387146848805,70.50605402049052,47.500776156473144,31.21221762647152,27.473751193127583,49.14094813872097,36.94504812170133,42.59546724619683,18.658801614405466,50.0155231294629
01003,76.96367587705682,53.399565352375035,56.348959950325984,85.99813722446446,46.84880471903136,36.72772430922074,80.31667184104315,28.003725551071096,25.830487426265137,27.320707854703507,41.69512573734865,43.86836386215461,74.54206768084445,41.21578612348822,64.35889475318224,94.0391182862465,56.535237503880786,78.98168270723377,37.31760322881093,23.439925488978577,42.936684696150174,45.10022271714922,77.1499534306116,89.49084135361689,52.747593914933255,54.70350822725861,82.9866501086619,85.79421821572893,89.8041653714641,67.89816827072337,74.79043775225085,49.922287845819085,49.922287845819085,48.52530270102452,45.91741695125737,46.64333439389119,31.69823036324123,11.518162061471592,91.1839592616168,90.3564608529599,16.708229426433917,23.566084788029926,82.86246507295871,91.58646383110836,49.30059061237178,49.30059061237178,70.90456947466583,93.56543363382033,79.16796026078858,38.745731139397705,41.568565065224305,68.39592616168045,24.793125397835773,69.76094380627134,47.27966910594973,26.747437092264683,45.62519885459752,75.50450170754424,44.5203352995964,45.51381558522198,40.51536789816827,55.392936684696146,27.473751193127583,49.14094813872097,49.705060540204904,43.38714684880472,18.658801614405466,50.0155231294629
01005,35.88947531822416,48.77367277243092,52.250853772120465,11.2076994722136,91.83483390251475,73.79695746662527,97.60943806271344,91.89692642036634,93.91493325054331,93.20086929524992,82.64514126047811,33.809375970195596,96.67805029493945,97.42202418841502,93.41819310773052,93.30953120149023,89.75473455448618,99.03756597330022,85.40825830487427,53.275380316671836,42.936684696150174,45.10022271714922,6.550760633343682,89.49084135361689,51.84725240608506,15.926730828935112,74.94566904687984,55.26888405346596,63.84830587503886,95.0946910897237,93.8217944737659,49.922287845819085,49.922287845819085,90.56193728655697,56.69046879850978,46.64333439389119,94.97050605402049,86.15336851909345,44.87587523870146,45.70337364735837,21.664588528678305,13.466334164588527,42.90592983545483,72.64824588637069,49.30059061237178,49.30059061237178,51.041342866024245,50.51290021759404,98.75814964296802,18.022353306426574,41.568565065224305,47.83577339274348,96.53087205601528,65.44551381558522,47.27966910594973,97.11090400745573,45.62519885459752,52.87177895063645,17.94473765911208,79.47842285004657,94.6600434647625,57.84282532612154,27.473751193127583,49.14094813872097,11.67339335610059,43.38714684880472,18.658801614405466,50.0155231294629
01007,63.70692331574045,5.153678981682707,6.022974231605092,10.866190624029805,68.36386215461036,66.68736417261721,34.55448618441478,38.21794473765911,59.70195591431232,67.18410431542999,93.13877677739832,96.11921763427506,85.37721204594845,69.7644812221515,78.70226637690159,94.89289040670599,70.90965538652593,88.699161751009,63.551692021111464,70.53710027941634,42.936684696150174,45.10022271714922,25.240608506674945,88.8078236572493,28.531511952809684,31.07730518472524,31.20149022042844,55.952751010258005,61.20609263288779,77.02576839490841,63.45855324433406,49.922287845819085,49.922287845819085,64.97981993169823,35.85842905929835,46.64333439389119,73.67277243092207,66.4389941012108,64.67218332272438,49.87269255251432,29.301745635910226,14.33915211970075,44.644520335299596,21.794473765911206,49.30059061237178,49.30059061237178,40.1616412806963,27.758781473422445,29.05929835454828,38.71468488047191,41.568565065224305,29.121578612348824,44.17568427753024,27.475939149332508,47.27966910594973,41.78316247281765,45.62519885459752,27.10338404222291,14.52964917727414,41.50884818379385,75.22508537721204,33.471205854279354,27.473751193127583,49.14094813872097,38.745731139397705,44.178826451412604,18.658801614405466,50.0155231294629
01009,60.6954361999379,15.088481837938527,17.479043775225087,34.306116113008386,71.06488668115493,34.24402359515678,40.04967401428128,52.902825209562245,56.87674635206458,69.79199006519714,55.417572182552,82.48990996584912,53.05805650419124,35.93252705283259,79.26109903756597,94.89289040670599,70.41291524371314,89.50636448307979,69.60571251164235,30.145917416951256,42.936684696150174,45.10022271714922,36.94504812170133,87.92300527786402,70.38186898478733,51.44365104004967,38.00062092517852,84.42648430214486,89.15138327634442,70.07140639552934,68.27072337783298,49.922287845819085,49.922287845819085,65.72493014591741,71.12697919900653,46.64333439389119,81.09282831418814,24.743868363862155,88.95607893061744,84.11839592616168,30.798004987531176,84.88154613466334,78.64017385905,61.93728655696988,49.30059061237178,49.30059061237178,54.1498290332608,68.88405346596208,90.37565973300218,41.75721825520024,41.568565065224305,44.01654996817314,50.35009548058561,52.80968643278485,47.27966910594973,44.33053743398571,45.62519885459752,52.250853772120465,38.18689847873331,74.01428127910586,35.20645762185657,56.28380528157811,27.473751193127583,49.14094813872097,58.80161440546414,42.59546724619683,18.658801614405466,50.0155231294629
01011,10.431542999068611,62.24774914622788,64.66935734244024,7.947842285004657,91.74169512573734,94.0391182862465,95.56038497361068,94.93945979509469,90.00310462589258,43.27848494256442,48.55634895995033,39.42874883576529,99.7516299285936,97.67663908338638,93.35610058987892,94.0391182862465,89.81682707233777,99.09965849115181,21.887612542688608,40.825830487426266,42.936684696150174,45.10022271714922,11.0524681775846,88.8078236572493,1.4281279105867744,87.48835765290282,79.10586774293698,54.11874417158844,59.589679825924776,98.63396460726483,93.04563800062093,49.922287845819085,49.922287845819085,89.2269481527476,49.208320397392114,46.64333439389119,96.33654144675566,97.48525302701024,15.085932527052833,25.270528325907065,23.690773067331673,14.432668329177057,95.00155231294629,50.698540825830484,49.30059061237178,49.30059061237178,74.32390425862604,80.88281007149519,40.453275380316676,18.022353306426574,41.568565065224305,27.880330999363462,98.28134945894334,46.63148090655076,47.27966910594973,99.87573780677229,45.62519885459752,36.04470661285315,5.5572803477181,98.32350201800682,94.38062713443031,61.97900095450207,27.473751193127583,49.14094813872097,4.315429990686122,42.59546724619683,18.658801614405466,50.0155231294629
01013,16.982303632412293,70.94070164545172,72.83452343992549,31.57404532753803,87.05371002794163,88.8233467867122,95.83980130394288,86.89847873331263,84.0732691710649,84.38373176032287,41.943495808755046,59.60881713753493,96.05712511642346,76.00254614894972,90.96553865259236,94.89289040670599,84.35268550139709,97.57839180378764,7.885749767153058,29.214529649177273,42.936684696150174,45.10022271714922,15.243713132567526,89.49084135361689,0.9624340266997827,14.933250543309532,80.90655076063335,60.11812247435498,68.88405346596208,93.23191555417573,90.28252095622477,49.922287845819085,49.922287845819085,82.08630859981372,24.091896926420368,46.64333439389119,76.68425954672462,62.96181310152127,18.586887332908976,38.86059834500318,20.26184538653367,13.99625935162095,44.5203352995964,85.03570319776466,49.30059061237178,49.30059061237178,29.18868511035126,30.214485545539322,59.73300217323813,18.022353306426574,41.568565065224305,58.62507956715468,88.542329726289,59.919279726792915,47.27966910594973,92.38894066480273,45.62519885459752,51.97143744178826,53.989444271965226,98.75814964296802,69.01583359205216,77.88736875596564,27.473751193127583,49.14094813872097,14.591741695125737,43.38714684880472,18.658801614405466,50.0155231294629
01015,51.785159888233466,69.29524992238434,71.31325675256132,37.69015833592052,74.94566904687984,53.89630549518783,87.51940391182862,66.5942253958398,63.95529338714685,59.639863396460726,66.2837628065818,44.116733933561,84.94256442098728,78.80330999363463,81.37224464452034,94.89289040670599,71.7168581185967,90.84135361688917,40.70164545172307,15.740453275380318,42.936684696150174,45.10022271714922,41.29152437131325,88.8078236572493,43.37162371934182,91.99006519714375,71.80999689537411,89.18246813801679,93.16133043207958,72.0894132257063,73.61067991307047,49.922287845819085,49.922287845819085,67.99130704750077,41.01210804098106,46.64333439389119,69.60571251164235,48.463210183172926,85.42329726288988,84.50031826861871,94.82543640897757,99.53241895261846,39.615026389320086,64.63831108351444,49.30059061237178,49.30059061237178,31.7687286291576,45.85017096673919,46.84880471903136,47.997516299285934,41.568565065224305,36.25079567154679,76.35264162953533,70.63023905619373,47.27966910594973,74.4641192917055,45.62519885459752,65.13505122632722,74.35579012728967,78.08134119838559,89.28904067059919,66.17881005408846,27.473751193127583,49.14094813872097,35.51692021111456,42.59546724619683,18.658801614405466,50.0155231294629
01017,51.288419745420676,66.3458553244334,68.48804719031357,24.37131325675256,81.86898478733312,78.82645141260478,92.23843526855015,71.03384042222912,75.03880782365725,89.75473455448618,53.80316671841043,59.26730828935113,93.44923936665633,29.121578612348824,86.33964607264825,94.0391182862465,77.05681465383421,93.88388699161752,64.42098727103384,29.493945979509466,42.936684696150174,45.10022271714922,25.42688606022974,88.8078236572493,26.17199627444893,88.20242160819622,74.60416019869605,56.82312713708424,75.03885607709046,97.64048432163925,97.23688295560386,49.922287845819085,49.922287845819085,74.72834523439926,20.273207078547035,46.64333439389119,76.62216702887302,70.10245265445513,45.73520050922979,65.27689369828134,11.876558603491272,13.715710723192021,90.68612232226016,49.61192176342751,49.30059061237178,49.30059061237178,29.934721790488034,38.42088902704383,62.371934181931074,18.022353306426574,41.568565065224305,54.16931890515595,66.58179503500955,60.881713753492704,47.27966910594973,91.23951537744641,45.62519885459752,55.883266066439,25.054330953120147,96.64700403601366,53.399565352375035,62.392618517340125,27.473751193127583,49.14094813872097,19.714374417882645,43.38714684880472,18.658801614405466,50.0155231294629
01019,58.49115181620614,15.305805650419124,14.840111766532132,18.969264203663457,74.63520645762186,85.84290592983545,95.43619993790749,61.688916485563496,65.10400496740144,71.87208941322571,66.22167028873021,47.56286867432474,66.71841043154299,81.15849777211966,81.03073579633654,93.07668425954672,71.34430301148711,90.49984476870537,57.46662527165477,29.12139087239988,42.936684696150174,45.10022271714922,39.45979509469109,87.79882024216083,32.008692952499224,89.10276311704439,58.73952188761255,52.84426484302145,73.42244327012745,81.40329090344613,73.26917106488668,49.922287845819085,49.922287845819085,68.11549208320397,17.230673703818688,46.64333439389119,83.35920521577151,21.54610369450481,56.87460216422661,59.898154042011456,96.00997506234414,99.93765586034912,95.37410742005589,48.05960881713753,49.30059061237178,49.30059061237178,53.124028598072734,62.13863848305875,37.25551071095933,67.92921452964917,41.568565065224305,78.19859961807765,56.93825588796945,45.35858429059299,47.27966910594973,43.80242311276794,45.62519885459752,43.21639242471282,39.118286246507296,71.06488668115493,37.69015833592052,56.25198854597519,27.473751193127583,49.14094813872097,66.563179136914,44.4582427817448,38.8388699161751,50.0155231294629
