start.date,start.middate,state,window,b1
2020-03-02,2020-03-11,AR,20,1.390605146
2020-03-03,2020-03-12,AR,20,1.296072598
2020-03-04,2020-03-13,AR,20,1.305366489
2020-03-05,2020-03-14,AR,20,1.33015263
2020-03-06,2020-03-15,AR,20,1.285378816
2020-03-07,2020-03-16,AR,20,1.167508376
2020-03-08,2020-03-17,AR,20,1.015891682
2020-03-09,2020-03-18,AR,20,0.859549984
2020-03-10,2020-03-19,AR,20,0.718549211
2020-03-11,2020-03-20,AR,20,0.60403931
2020-03-12,2020-03-21,AR,20,0.513609827
2020-03-13,2020-03-22,AR,20,0.420599555
2020-03-14,2020-03-23,AR,20,0.331728463
2020-03-15,2020-03-24,AR,20,0.24837729
2020-03-16,2020-03-25,AR,20,0.183720984
2020-03-17,2020-03-26,AR,20,0.138839359
2020-03-18,2020-03-27,AR,20,0.115671886
2020-03-19,2020-03-28,AR,20,0.118305876
2020-03-20,2020-03-29,AR,20,0.126607403
2020-03-21,2020-03-30,AR,20,0.097063103
2020-03-22,2020-03-31,AR,20,0.100117022
2020-03-23,2020-04-01,AR,20,0.090371661
2020-03-24,2020-04-02,AR,20,0.096873383
2020-03-25,2020-04-03,AR,20,0.150691423
2020-03-26,2020-04-04,AR,20,0.139549461
2020-03-27,2020-04-05,AR,20,0.120487756
2020-03-28,2020-04-06,AR,20,0.069641551
2020-03-29,2020-04-07,AR,20,0.032903787
2020-03-30,2020-04-08,AR,20,0.027034497
2020-03-31,2020-04-09,AR,20,0.04178976
2020-04-01,2020-04-10,AR,20,0.067318217
2020-04-02,2020-04-11,AR,20,0.071511899
2020-04-03,2020-04-12,AR,20,0.04822858
2020-01-26,2020-02-04,AZ,20,0
2020-01-27,2020-02-05,AZ,20,0
2020-01-28,2020-02-06,AZ,20,0
2020-01-29,2020-02-07,AZ,20,0
2020-01-30,2020-02-08,AZ,20,0
2020-01-31,2020-02-09,AZ,20,0
2020-02-01,2020-02-10,AZ,20,0
2020-02-02,2020-02-11,AZ,20,0
2020-02-03,2020-02-12,AZ,20,0
2020-02-04,2020-02-13,AZ,20,0
2020-02-05,2020-02-14,AZ,20,0
2020-02-06,2020-02-15,AZ,20,0
2020-02-07,2020-02-16,AZ,20,0
2020-02-08,2020-02-17,AZ,20,0
2020-02-09,2020-02-18,AZ,20,0
2020-02-10,2020-02-19,AZ,20,0
2020-02-11,2020-02-20,AZ,20,0
2020-02-12,2020-02-21,AZ,20,0
2020-02-13,2020-02-22,AZ,20,0
2020-02-14,2020-02-23,AZ,20,0
2020-02-15,2020-02-24,AZ,20,0
2020-02-16,2020-02-25,AZ,20,0
2020-02-17,2020-02-26,AZ,20,0
2020-02-18,2020-02-27,AZ,20,0.393421254
2020-02-19,2020-02-28,AZ,20,1.106331592
2020-02-20,2020-02-29,AZ,20,1.593231443
2020-02-21,2020-03-01,AZ,20,1.760116571
2020-02-22,2020-03-02,AZ,20,1.85248891
2020-02-23,2020-03-03,AZ,20,1.831779197
2020-02-24,2020-03-04,AZ,20,1.576206476
2020-02-25,2020-03-05,AZ,20,1.241605622
2020-02-26,2020-03-06,AZ,20,0.96836542
2020-02-27,2020-03-07,AZ,20,0.741770273
2020-02-28,2020-03-08,AZ,20,0.551751403
2020-02-29,2020-03-09,AZ,20,0.404724642
2020-03-01,2020-03-10,AZ,20,0.32230583
2020-03-02,2020-03-11,AZ,20,0.352973087
2020-03-03,2020-03-12,AZ,20,0.548004684
2020-03-04,2020-03-13,AZ,20,0.89994616
2020-03-05,2020-03-14,AZ,20,1.292585306
2020-03-06,2020-03-15,AZ,20,1.625688142
2020-03-07,2020-03-16,AZ,20,1.766510536
2020-03-08,2020-03-17,AZ,20,1.663372133
2020-03-09,2020-03-18,AZ,20,1.528634014
2020-03-10,2020-03-19,AZ,20,1.328060683
2020-03-11,2020-03-20,AZ,20,1.16714469
2020-03-12,2020-03-21,AZ,20,0.990129107
2020-03-13,2020-03-22,AZ,20,0.842016149
2020-03-14,2020-03-23,AZ,20,0.723366577
2020-03-15,2020-03-24,AZ,20,0.618094415
2020-03-16,2020-03-25,AZ,20,0.534408818
2020-03-17,2020-03-26,AZ,20,0.446725227
2020-03-18,2020-03-27,AZ,20,0.365201581
2020-03-19,2020-03-28,AZ,20,0.293873194
2020-03-20,2020-03-29,AZ,20,0.231824341
2020-03-21,2020-03-30,AZ,20,0.194246113
2020-03-22,2020-03-31,AZ,20,0.170660515
2020-03-23,2020-04-01,AZ,20,0.159070165
2020-03-24,2020-04-02,AZ,20,0.137242959
2020-03-25,2020-04-03,AZ,20,0.09510562
2020-03-26,2020-04-04,AZ,20,0.056916277
2020-03-27,2020-04-05,AZ,20,0.035165622
2020-03-28,2020-04-06,AZ,20,0.010596299
2020-03-29,2020-04-07,AZ,20,0.001313493
2020-03-30,2020-04-08,AZ,20,0.011106921
2020-03-31,2020-04-09,AZ,20,0
2020-04-01,2020-04-10,AZ,20,0
2020-04-02,2020-04-11,AZ,20,0
2020-04-03,2020-04-12,AZ,20,0
2020-01-26,2020-02-04,CA,20,0
2020-01-27,2020-02-05,CA,20,0
2020-01-28,2020-02-06,CA,20,0
2020-01-29,2020-02-07,CA,20,0.02657515
2020-01-30,2020-02-08,CA,20,0.197542777
2020-01-31,2020-02-09,CA,20,0.244476685
2020-02-01,2020-02-10,CA,20,0.189259507
2020-02-02,2020-02-11,CA,20,0.083136939
2020-02-03,2020-02-12,CA,20,0.242113794
2020-02-04,2020-02-13,CA,20,0.258828979
2020-02-05,2020-02-14,CA,20,0.25784267
2020-02-06,2020-02-15,CA,20,0.331679014
2020-02-07,2020-02-16,CA,20,0.385872429
2020-02-08,2020-02-17,CA,20,0.428205224
2020-02-09,2020-02-18,CA,20,0.434591421
2020-02-10,2020-02-19,CA,20,0.425485635
2020-02-11,2020-02-20,CA,20,0.413437947
2020-02-12,2020-02-21,CA,20,0.38420606
2020-02-13,2020-02-22,CA,20,0.373944642
2020-02-14,2020-02-23,CA,20,0.405348428
2020-02-15,2020-02-24,CA,20,0.440586737
2020-02-16,2020-02-25,CA,20,0.476874134
2020-02-17,2020-02-26,CA,20,0.52354103
2020-02-18,2020-02-27,CA,20,0.533692266
2020-02-19,2020-02-28,CA,20,0.604271333
2020-02-20,2020-02-29,CA,20,0.681473569
2020-02-21,2020-03-01,CA,20,0.717661339
2020-02-22,2020-03-02,CA,20,0.791005689
2020-02-23,2020-03-03,CA,20,0.829179217
2020-02-24,2020-03-04,CA,20,0.866967281
2020-02-25,2020-03-05,CA,20,0.880002962
2020-02-26,2020-03-06,CA,20,0.882299084
2020-02-27,2020-03-07,CA,20,0.798724051
2020-02-28,2020-03-08,CA,20,0.707806614
2020-02-29,2020-03-09,CA,20,0.645509769
2020-03-01,2020-03-10,CA,20,0.599050613
2020-03-02,2020-03-11,CA,20,0.602496374
2020-03-03,2020-03-12,CA,20,0.604373496
2020-03-04,2020-03-13,CA,20,0.614836749
2020-03-05,2020-03-14,CA,20,0.603585152
2020-03-06,2020-03-15,CA,20,0.578619427
2020-03-07,2020-03-16,CA,20,0.566132286
2020-03-08,2020-03-17,CA,20,0.525951094
2020-03-09,2020-03-18,CA,20,0.534811493
2020-03-10,2020-03-19,CA,20,0.528955298
2020-03-11,2020-03-20,CA,20,0.573030478
2020-03-12,2020-03-21,CA,20,0.570769668
2020-03-13,2020-03-22,CA,20,0.565132005
2020-03-14,2020-03-23,CA,20,0.548388285
2020-03-15,2020-03-24,CA,20,0.510562065
2020-03-16,2020-03-25,CA,20,0.460529815
2020-03-17,2020-03-26,CA,20,0.42324439
2020-03-18,2020-03-27,CA,20,0.392379541
2020-03-19,2020-03-28,CA,20,0.369646406
2020-03-20,2020-03-29,CA,20,0.349015253
2020-03-21,2020-03-30,CA,20,0.308418057
2020-03-22,2020-03-31,CA,20,0.264609425
2020-03-23,2020-04-01,CA,20,0.224972722
2020-03-24,2020-04-02,CA,20,0.17560957
2020-03-25,2020-04-03,CA,20,0.13435019
2020-03-26,2020-04-04,CA,20,0.110870543
2020-03-27,2020-04-05,CA,20,0.08698249
2020-03-28,2020-04-06,CA,20,0.059343916
2020-03-29,2020-04-07,CA,20,0.02143736
2020-03-30,2020-04-08,CA,20,0
2020-03-31,2020-04-09,CA,20,0
2020-04-01,2020-04-10,CA,20,0
2020-04-02,2020-04-11,CA,20,0
2020-04-03,2020-04-12,CA,20,0.015674201
2020-03-06,2020-03-15,CO,20,0.648910271
2020-03-07,2020-03-16,CO,20,0.482179281
2020-03-08,2020-03-17,CO,20,0.361642173
2020-03-09,2020-03-18,CO,20,0.305725622
2020-03-10,2020-03-19,CO,20,0.320500972
2020-03-11,2020-03-20,CO,20,0.346085944
2020-03-12,2020-03-21,CO,20,0.371914343
2020-03-13,2020-03-22,CO,20,0.398441566
2020-03-14,2020-03-23,CO,20,0.435260102
2020-03-15,2020-03-24,CO,20,0.46439524
2020-03-16,2020-03-25,CO,20,0.485325145
2020-03-17,2020-03-26,CO,20,0.464422146
2020-03-18,2020-03-27,CO,20,0.379289839
2020-03-19,2020-03-28,CO,20,0.345509654
2020-03-20,2020-03-29,CO,20,0.313200445
2020-03-21,2020-03-30,CO,20,0.285453353
2020-03-22,2020-03-31,CO,20,0.246742631
2020-03-23,2020-04-01,CO,20,0.19682561
2020-03-24,2020-04-02,CO,20,0.147491742
2020-03-25,2020-04-03,CO,20,0.090725556
2020-03-26,2020-04-04,CO,20,0.065148987
2020-03-27,2020-04-05,CO,20,0.044016208
2020-03-28,2020-04-06,CO,20,0.03865934
2020-03-29,2020-04-07,CO,20,0.024723398
2020-03-30,2020-04-08,CO,20,0.018952937
2020-03-31,2020-04-09,CO,20,0.015634695
2020-04-01,2020-04-10,CO,20,0.031827116
2020-04-02,2020-04-11,CO,20,0.084762027
2020-04-03,2020-04-12,CO,20,0.186259851
2020-03-09,2020-03-18,CT,20,1.019652589
2020-03-10,2020-03-19,CT,20,0.645360982
2020-03-11,2020-03-20,CT,20,0.493333149
2020-03-12,2020-03-21,CT,20,0.454427504
2020-03-13,2020-03-22,CT,20,0.468259748
2020-03-14,2020-03-23,CT,20,0.484227476
2020-03-15,2020-03-24,CT,20,0.511564475
2020-03-16,2020-03-25,CT,20,0.536685368
2020-03-17,2020-03-26,CT,20,0.556567256
2020-03-18,2020-03-27,CT,20,0.56842617
2020-03-19,2020-03-28,CT,20,0.564988222
2020-03-20,2020-03-29,CT,20,0.505212448
2020-03-21,2020-03-30,CT,20,0.429929608
2020-03-22,2020-03-31,CT,20,0.389639355
2020-03-23,2020-04-01,CT,20,0.360887056
2020-03-24,2020-04-02,CT,20,0.363590855
2020-03-25,2020-04-03,CT,20,0.372715488
2020-03-26,2020-04-04,CT,20,0.347941245
2020-03-27,2020-04-05,CT,20,0.322170858
2020-03-28,2020-04-06,CT,20,0.271923351
2020-03-29,2020-04-07,CT,20,0.235234854
2020-03-30,2020-04-08,CT,20,0.204771844
2020-03-31,2020-04-09,CT,20,0.175482923
2020-04-01,2020-04-10,CT,20,0.142083928
2020-04-02,2020-04-11,CT,20,0.103294651
2020-04-03,2020-04-12,CT,20,0.122848356
2020-03-08,2020-03-17,DC,20,0.770471133
2020-03-09,2020-03-18,DC,20,0.741477192
2020-03-10,2020-03-19,DC,20,0.584515272
2020-03-11,2020-03-20,DC,20,0.511791928
2020-03-12,2020-03-21,DC,20,0.493413414
2020-03-13,2020-03-22,DC,20,0.491586683
2020-03-14,2020-03-23,DC,20,0.484409958
2020-03-15,2020-03-24,DC,20,0.486169647
2020-03-16,2020-03-25,DC,20,0.481458868
2020-03-17,2020-03-26,DC,20,0.461243973
2020-03-18,2020-03-27,DC,20,0.424251803
2020-03-19,2020-03-28,DC,20,0.426143281
2020-03-20,2020-03-29,DC,20,0.3743856
2020-03-21,2020-03-30,DC,20,0.371378171
2020-03-22,2020-03-31,DC,20,0.380206587
2020-03-23,2020-04-01,DC,20,0.391543283
2020-03-24,2020-04-02,DC,20,0.417949039
2020-03-25,2020-04-03,DC,20,0.417720834
2020-03-26,2020-04-04,DC,20,0.397099072
2020-03-27,2020-04-05,DC,20,0.355491445
2020-03-28,2020-04-06,DC,20,0.298585724
2020-03-29,2020-04-07,DC,20,0.24257565
2020-03-30,2020-04-08,DC,20,0.201410566
2020-03-31,2020-04-09,DC,20,0.163841014
2020-04-01,2020-04-10,DC,20,0.097518864
2020-04-02,2020-04-11,DC,20,0.096408484
2020-04-03,2020-04-12,DC,20,0.133187233
2020-03-12,2020-03-21,DE,20,0.585095836
2020-03-13,2020-03-22,DE,20,0.553910997
2020-03-14,2020-03-23,DE,20,0.547476433
2020-03-15,2020-03-24,DE,20,0.533188636
2020-03-16,2020-03-25,DE,20,0.506249231
2020-03-17,2020-03-26,DE,20,0.501590645
2020-03-18,2020-03-27,DE,20,0.478882618
2020-03-19,2020-03-28,DE,20,0.441623194
2020-03-20,2020-03-29,DE,20,0.44426122
2020-03-21,2020-03-30,DE,20,0.462771902
2020-03-22,2020-03-31,DE,20,0.511206094
2020-03-23,2020-04-01,DE,20,0.592527709
2020-03-24,2020-04-02,DE,20,0.600151227
2020-03-25,2020-04-03,DE,20,0.568226932
2020-03-26,2020-04-04,DE,20,0.490015953
2020-03-27,2020-04-05,DE,20,0.454536996
2020-03-28,2020-04-06,DE,20,0.405629836
2020-03-29,2020-04-07,DE,20,0.326623241
2020-03-30,2020-04-08,DE,20,0.266968669
2020-03-31,2020-04-09,DE,20,0.22665005
2020-04-01,2020-04-10,DE,20,0.181554647
2020-04-02,2020-04-11,DE,20,0.125600765
2020-04-03,2020-04-12,DE,20,0.091816416
2020-03-02,2020-03-11,FL,20,1.019654003
2020-03-03,2020-03-12,FL,20,0.489036571
2020-03-04,2020-03-13,FL,20,0.257264931
2020-03-05,2020-03-14,FL,20,0.144101635
2020-03-06,2020-03-15,FL,20,0.277899653
2020-03-07,2020-03-16,FL,20,0.311188561
2020-03-08,2020-03-17,FL,20,0.35276432
2020-03-09,2020-03-18,FL,20,0.388119088
2020-03-10,2020-03-19,FL,20,0.419536359
2020-03-11,2020-03-20,FL,20,0.464653096
2020-03-12,2020-03-21,FL,20,0.520050092
2020-03-13,2020-03-22,FL,20,0.567365227
2020-03-14,2020-03-23,FL,20,0.613641643
2020-03-15,2020-03-24,FL,20,0.631438352
2020-03-16,2020-03-25,FL,20,0.649150499
2020-03-17,2020-03-26,FL,20,0.612275619
2020-03-18,2020-03-27,FL,20,0.541926381
2020-03-19,2020-03-28,FL,20,0.478168656
2020-03-20,2020-03-29,FL,20,0.437906789
2020-03-21,2020-03-30,FL,20,0.380117675
2020-03-22,2020-03-31,FL,20,0.331032604
2020-03-23,2020-04-01,FL,20,0.270450783
2020-03-24,2020-04-02,FL,20,0.204196849
2020-03-25,2020-04-03,FL,20,0.164157454
2020-03-26,2020-04-04,FL,20,0.120787486
2020-03-27,2020-04-05,FL,20,0.097968946
2020-03-28,2020-04-06,FL,20,0.080951835
2020-03-29,2020-04-07,FL,20,0.066475057
2020-03-30,2020-04-08,FL,20,0.041606374
2020-03-31,2020-04-09,FL,20,0.025956321
2020-04-01,2020-04-10,FL,20,0
2020-04-02,2020-04-11,FL,20,0.001073085
2020-04-03,2020-04-12,FL,20,0.002740819
2020-03-03,2020-03-12,GA,20,0.86669156
2020-03-04,2020-03-13,GA,20,0.517052589
2020-03-05,2020-03-14,GA,20,0.325926709
2020-03-06,2020-03-15,GA,20,0.257322516
2020-03-07,2020-03-16,GA,20,0.368482464
2020-03-08,2020-03-17,GA,20,0.390026031
2020-03-09,2020-03-18,GA,20,0.405814715
2020-03-10,2020-03-19,GA,20,0.433761745
2020-03-11,2020-03-20,GA,20,0.476242903
2020-03-12,2020-03-21,GA,20,0.5166914
2020-03-13,2020-03-22,GA,20,0.560552699
2020-03-14,2020-03-23,GA,20,0.589985453
2020-03-15,2020-03-24,GA,20,0.594586531
2020-03-16,2020-03-25,GA,20,0.544499545
2020-03-17,2020-03-26,GA,20,0.510123151
2020-03-18,2020-03-27,GA,20,0.502718088
2020-03-19,2020-03-28,GA,20,0.489934489
2020-03-20,2020-03-29,GA,20,0.467779952
2020-03-21,2020-03-30,GA,20,0.383230315
2020-03-22,2020-03-31,GA,20,0.295497743
2020-03-23,2020-04-01,GA,20,0.247540755
2020-03-24,2020-04-02,GA,20,0.252257036
2020-03-25,2020-04-03,GA,20,0.281407959
2020-03-26,2020-04-04,GA,20,0.29671913
2020-03-27,2020-04-05,GA,20,0.307085649
2020-03-28,2020-04-06,GA,20,0.239682272
2020-03-29,2020-04-07,GA,20,0.155260044
2020-03-30,2020-04-08,GA,20,0.082397691
2020-03-31,2020-04-09,GA,20,0.078267597
2020-04-01,2020-04-10,GA,20,0.067974437
2020-04-02,2020-04-11,GA,20,0.082605679
2020-04-03,2020-04-12,GA,20,0.085738895
2020-03-07,2020-03-16,HI,20,1.093869012
2020-03-08,2020-03-17,HI,20,0.591161073
2020-03-09,2020-03-18,HI,20,0.40270907
2020-03-10,2020-03-19,HI,20,0.359505606
2020-03-11,2020-03-20,HI,20,0.355439742
2020-03-12,2020-03-21,HI,20,0.361654549
2020-03-13,2020-03-22,HI,20,0.377193096
2020-03-14,2020-03-23,HI,20,0.389885995
2020-03-15,2020-03-24,HI,20,0.395604851
2020-03-16,2020-03-25,HI,20,0.404846572
2020-03-17,2020-03-26,HI,20,0.413814997
2020-03-18,2020-03-27,HI,20,0.419901614
2020-03-19,2020-03-28,HI,20,0.408567123
2020-03-20,2020-03-29,HI,20,0.38866723
2020-03-21,2020-03-30,HI,20,0.348616749
2020-03-22,2020-03-31,HI,20,0.290147478
2020-03-23,2020-04-01,HI,20,0.234883
2020-03-24,2020-04-02,HI,20,0.190891037
2020-03-25,2020-04-03,HI,20,0.138417879
2020-03-26,2020-04-04,HI,20,0.06401779
2020-03-27,2020-04-05,HI,20,0.015894163
2020-03-28,2020-04-06,HI,20,0.015937517
2020-03-29,2020-04-07,HI,20,0
2020-03-30,2020-04-08,HI,20,0
2020-03-31,2020-04-09,HI,20,0
2020-04-01,2020-04-10,HI,20,0
2020-04-02,2020-04-11,HI,20,0
2020-04-03,2020-04-12,HI,20,0
2020-03-09,2020-03-18,IA,20,0.766104646
2020-03-10,2020-03-19,IA,20,0.607079973
2020-03-11,2020-03-20,IA,20,0.486402766
2020-03-12,2020-03-21,IA,20,0.427361828
2020-03-13,2020-03-22,IA,20,0.422988333
2020-03-14,2020-03-23,IA,20,0.441998319
2020-03-15,2020-03-24,IA,20,0.45920511
2020-03-16,2020-03-25,IA,20,0.492982041
2020-03-17,2020-03-26,IA,20,0.506914704
2020-03-18,2020-03-27,IA,20,0.510868305
2020-03-19,2020-03-28,IA,20,0.493960171
2020-03-20,2020-03-29,IA,20,0.403740917
2020-03-21,2020-03-30,IA,20,0.370018428
2020-03-22,2020-03-31,IA,20,0.338202838
2020-03-23,2020-04-01,IA,20,0.300995599
2020-03-24,2020-04-02,IA,20,0.27036509
2020-03-25,2020-04-03,IA,20,0.249241055
2020-03-26,2020-04-04,IA,20,0.241274246
2020-03-27,2020-04-05,IA,20,0.251138379
2020-03-28,2020-04-06,IA,20,0.259172833
2020-03-29,2020-04-07,IA,20,0.235070072
2020-03-30,2020-04-08,IA,20,0.243603899
2020-03-31,2020-04-09,IA,20,0.237784937
2020-04-01,2020-04-10,IA,20,0.222571422
2020-04-02,2020-04-11,IA,20,0.225573218
2020-04-03,2020-04-12,IA,20,0.250566146
2020-03-14,2020-03-23,ID,20,0.933476498
2020-03-15,2020-03-24,ID,20,0.538150255
2020-03-16,2020-03-25,ID,20,0.387256542
2020-03-17,2020-03-26,ID,20,0.341022011
2020-03-18,2020-03-27,ID,20,0.319917739
2020-03-19,2020-03-28,ID,20,0.344517917
2020-03-20,2020-03-29,ID,20,0.38925699
2020-03-21,2020-03-30,ID,20,0.411330825
2020-03-22,2020-03-31,ID,20,0.420019721
2020-03-23,2020-04-01,ID,20,0.26402845
2020-03-24,2020-04-02,ID,20,0.125525353
2020-03-25,2020-04-03,ID,20,0.022998723
2020-03-26,2020-04-04,ID,20,0
2020-03-27,2020-04-05,ID,20,0
2020-03-28,2020-04-06,ID,20,0
2020-03-29,2020-04-07,ID,20,0
2020-03-30,2020-04-08,ID,20,0
2020-03-31,2020-04-09,ID,20,0
2020-04-01,2020-04-10,ID,20,0
2020-04-02,2020-04-11,ID,20,0
2020-04-03,2020-04-12,ID,20,0.097866601
2020-01-24,2020-02-02,IL,20,0
2020-01-25,2020-02-03,IL,20,0
2020-01-26,2020-02-04,IL,20,0
2020-01-27,2020-02-05,IL,20,0
2020-01-28,2020-02-06,IL,20,0
2020-01-29,2020-02-07,IL,20,0
2020-01-30,2020-02-08,IL,20,0
2020-01-31,2020-02-09,IL,20,0
2020-02-01,2020-02-10,IL,20,0
2020-02-02,2020-02-11,IL,20,0
2020-02-03,2020-02-12,IL,20,0
2020-02-04,2020-02-13,IL,20,0
2020-02-05,2020-02-14,IL,20,0
2020-02-06,2020-02-15,IL,20,0
2020-02-07,2020-02-16,IL,20,0
2020-02-08,2020-02-17,IL,20,0
2020-02-09,2020-02-18,IL,20,0
2020-02-10,2020-02-19,IL,20,0
2020-02-11,2020-02-20,IL,20,0
2020-02-12,2020-02-21,IL,20,0
2020-02-13,2020-02-22,IL,20,0
2020-02-14,2020-02-23,IL,20,0.121634387
2020-02-15,2020-02-24,IL,20,0.522786631
2020-02-16,2020-02-25,IL,20,0.927481025
2020-02-17,2020-02-26,IL,20,1.183822825
2020-02-18,2020-02-27,IL,20,1.131324787
2020-02-19,2020-02-28,IL,20,1.132184075
2020-02-20,2020-02-29,IL,20,0.930421845
2020-02-21,2020-03-01,IL,20,0.764218876
2020-02-22,2020-03-02,IL,20,0.814517892
2020-02-23,2020-03-03,IL,20,1.107181185
2020-02-24,2020-03-04,IL,20,1.135423286
2020-02-25,2020-03-05,IL,20,1.162144949
2020-02-26,2020-03-06,IL,20,1.202855592
2020-02-27,2020-03-07,IL,20,1.231976576
2020-02-28,2020-03-08,IL,20,1.250144717
2020-02-29,2020-03-09,IL,20,1.26272034
2020-03-01,2020-03-10,IL,20,1.266191006
2020-03-02,2020-03-11,IL,20,1.263454678
2020-03-03,2020-03-12,IL,20,1.522715665
2020-03-04,2020-03-13,IL,20,1.563478919
2020-03-05,2020-03-14,IL,20,1.510219624
2020-03-06,2020-03-15,IL,20,1.377416842
2020-03-07,2020-03-16,IL,20,1.225395298
2020-03-08,2020-03-17,IL,20,1.068659987
2020-03-09,2020-03-18,IL,20,0.939006252
2020-03-10,2020-03-19,IL,20,0.830265524
2020-03-11,2020-03-20,IL,20,0.748742981
2020-03-12,2020-03-21,IL,20,0.695807396
2020-03-13,2020-03-22,IL,20,0.658881694
2020-03-14,2020-03-23,IL,20,0.621069578
2020-03-15,2020-03-24,IL,20,0.579396062
2020-03-16,2020-03-25,IL,20,0.519981623
2020-03-17,2020-03-26,IL,20,0.466279181
2020-03-18,2020-03-27,IL,20,0.423485706
2020-03-19,2020-03-28,IL,20,0.378516942
2020-03-20,2020-03-29,IL,20,0.340887007
2020-03-21,2020-03-30,IL,20,0.306429493
2020-03-22,2020-03-31,IL,20,0.284399701
2020-03-23,2020-04-01,IL,20,0.249320461
2020-03-24,2020-04-02,IL,20,0.211326536
2020-03-25,2020-04-03,IL,20,0.179031393
2020-03-26,2020-04-04,IL,20,0.172515237
2020-03-27,2020-04-05,IL,20,0.154672716
2020-03-28,2020-04-06,IL,20,0.133452898
2020-03-29,2020-04-07,IL,20,0.138397501
2020-03-30,2020-04-08,IL,20,0.101659706
2020-03-31,2020-04-09,IL,20,0.080700849
2020-04-01,2020-04-10,IL,20,0.057809655
2020-04-02,2020-04-11,IL,20,0.026128089
2020-04-03,2020-04-12,IL,20,0.018828978
2020-03-06,2020-03-15,IN,20,1.352979043
2020-03-07,2020-03-16,IN,20,0.524769264
2020-03-08,2020-03-17,IN,20,0.244923388
2020-03-09,2020-03-18,IN,20,0.149771635
