start.date,start.middate,state,window,b1
2020-03-12,2020-03-21,AK,20,0.764842571
2020-03-13,2020-03-22,AK,20,0.696030928
2020-03-14,2020-03-23,AK,20,0.525371464
2020-03-15,2020-03-24,AK,20,0.455686426
2020-03-16,2020-03-25,AK,20,0.410640006
2020-03-17,2020-03-26,AK,20,0.360499479
2020-03-18,2020-03-27,AK,20,0.245700309
2020-03-19,2020-03-28,AK,20,0.171103457
2020-03-20,2020-03-29,AK,20,0.123430931
2020-03-21,2020-03-30,AK,20,0.08428563
2020-03-22,2020-03-31,AK,20,0.061211236
2020-03-23,2020-04-01,AK,20,0.109380592
2020-03-24,2020-04-02,AK,20,0.114445169
2020-03-25,2020-04-03,AK,20,0.177515786
2020-03-26,2020-04-04,AK,20,0.186022016
2020-03-27,2020-04-05,AK,20,0.210894636
2020-03-28,2020-04-06,AK,20,0.226760297
2020-03-29,2020-04-07,AK,20,0.204387676
2020-03-30,2020-04-08,AK,20,0.141234461
2020-03-31,2020-04-09,AK,20,0.127009606
2020-04-01,2020-04-10,AK,20,0.086062016
2020-04-02,2020-04-11,AK,20,0.028452363
2020-04-03,2020-04-12,AK,20,0
2020-03-13,2020-03-22,AL,20,0.81423671
2020-03-14,2020-03-23,AL,20,0.755195979
2020-03-15,2020-03-24,AL,20,0.646768967
2020-03-16,2020-03-25,AL,20,0.51742694
2020-03-17,2020-03-26,AL,20,0.406867215
2020-03-18,2020-03-27,AL,20,0.327108263
2020-03-19,2020-03-28,AL,20,0.297987324
2020-03-20,2020-03-29,AL,20,0.30064545
2020-03-21,2020-03-30,AL,20,0.311154132
2020-03-22,2020-03-31,AL,20,0.318194769
2020-03-23,2020-04-01,AL,20,0.300693081
2020-03-24,2020-04-02,AL,20,0.283817185
2020-03-25,2020-04-03,AL,20,0.319333333
2020-03-26,2020-04-04,AL,20,0.355128386
2020-03-27,2020-04-05,AL,20,0.362457155
2020-03-28,2020-04-06,AL,20,0.338830128
2020-03-29,2020-04-07,AL,20,0.311084698
2020-03-30,2020-04-08,AL,20,0.272007145
2020-03-31,2020-04-09,AL,20,0.206038972
2020-04-01,2020-04-10,AL,20,0.155475804
2020-04-02,2020-04-11,AL,20,0.117149887
2020-04-03,2020-04-12,AL,20,0.101836154
2020-01-27,2020-02-05,AR,20,9.708573161
2020-01-28,2020-02-06,AR,20,0.427737298
2020-01-29,2020-02-07,AR,20,0.298137433
2020-01-30,2020-02-08,AR,20,0
2020-01-31,2020-02-09,AR,20,0
2020-02-01,2020-02-10,AR,20,0
2020-02-02,2020-02-11,AR,20,0
2020-02-03,2020-02-12,AR,20,0
2020-02-04,2020-02-13,AR,20,0
2020-02-05,2020-02-14,AR,20,0
2020-02-06,2020-02-15,AR,20,0
2020-02-07,2020-02-16,AR,20,0
2020-02-08,2020-02-17,AR,20,0
2020-02-09,2020-02-18,AR,20,0
2020-02-10,2020-02-19,AR,20,0
2020-02-11,2020-02-20,AR,20,0
2020-02-12,2020-02-21,AR,20,0
2020-02-13,2020-02-22,AR,20,0
2020-02-14,2020-02-23,AR,20,0
2020-02-15,2020-02-24,AR,20,0
2020-02-16,2020-02-25,AR,20,0
2020-02-17,2020-02-26,AR,20,0
2020-02-18,2020-02-27,AR,20,0
2020-02-19,2020-02-28,AR,20,0
2020-02-20,2020-02-29,AR,20,0
2020-02-21,2020-03-01,AR,20,0
2020-02-22,2020-03-02,AR,20,0
2020-02-23,2020-03-03,AR,20,0
2020-02-24,2020-03-04,AR,20,0.124752066
2020-02-25,2020-03-05,AR,20,0.63688337
2020-02-26,2020-03-06,AR,20,1.17644064
2020-02-27,2020-03-07,AR,20,1.33664546
2020-02-28,2020-03-08,AR,20,1.513170663
2020-02-29,2020-03-09,AR,20,1.571545024
2020-03-01,2020-03-10,AR,20,1.600443759
