fips,Asthma,COPD,Current.Smoker.Status,Diabetes,Kidney.Disease,Percent.of.pop.AIAN,HIV.Prevalence,Adult.Obesity,Percent.of.pop.65.,Avg.Res.Per.Day,Heart.Disease,Cancer,Organ.Transplant.Pct,f0886817,f0892117,f1256517,f0913917,f0913317,f1330917,f1130917,f1266417,f0931717,f0932017,f1321418,f1321818,f1321918,f1322018,f1525319,f1331817,f1392917,f1393717,f1198418,f1484010,f1348310,f0453110,f0453210,f0453310,f1332610,f1332710,f0453510,f1332810,f0453610,f1463510,f1433613,f1433713,f1491610,f1139619,f1319118,f1419612,f1193515,f1193615,f1194115,f1433913,f1434013,f1434113,f1434213,f1434313,f1434413,f1322317,f1440813,f1408416,f1547217,f1546116,f0679218,f0679418,f0679518,f1461311,f1461413,f1351510,f1492110,HPSA.Score,HPSA.Designation.Population,HPSA.Estimated.Underserved.Population,Total.workers
1001,55.50955414,67.80254777,58.34394904,85.12738854,71.84713376,51.84713376,73.94829097,51.60828025,18.78980892,56.01910828,88.53503185,93.94904459,37.92993631,45.22332506,53.75310174,71.77419355,69.40136476,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,54.60893855,23.24643079,36.29733085,85.35071384,47.08436725,60.25124069,73.43362283,46.99131514,71.06488668,65.95348837,23.24031008,69.64341085,82.51162791,62.82568238,72.43410853,74.68217054,54.86821705,67.2248062,55.1627907,72.58064516,61.47515528,71.13354037,65.95348837,77.88736876,69.17573872,63.06429549,NA,57.69402319,68.39874411,65.83850932,68.94409938,67.22049689,69.08385093,71.52173913,75.31055901,69.59567017,39.76708075,70.96466094,72.3336517,69.26480599,71.5128922,67.59863312,39.77943461,68.45866998,86.67287978,68.31007752,66.17054264,20.15455951,20.15455951,20.17001546,56.80825724
1003,43.34394904,60.12738854,50.95541401,77.80254777,67.10191083,74.96815287,64.19807187,35.70063694,64.57006369,68.59872611,88.53503185,93.94904459,37.92993631,90.29156328,84.69292804,28.30334988,28.90818859,42.78846154,45.70409429,93.28473945,46.6191067,85.20471464,88.50806452,92.55121043,23.24643079,76.70701428,85.35071384,85.48387097,20.93672457,22.08436725,46.99131514,90.37565973,91.62790698,58.40310078,90.41860465,88.43410853,86.22828784,83.03875969,85.90697674,84.37209302,84.03100775,81.27131783,90.13647643,84.7826087,85.35714286,65.70542636,92.68215081,92.31726283,87.14090287,68.68592731,87.0205174,91.30298273,88.63354037,91.45962733,90.77639752,90.74534161,89.9068323,89.34782609,88.44317096,27.48447205,88.28398599,89.62113976,90.06126617,89.12705809,88.81640261,39.77943461,81.43256681,84.80894688,91.75193798,67.51937984,20.15455951,20.15455951,20.17001546,90.47240969
1005,93.66242038,93.63057325,90.38216561,99.10828025,90.31847134,45.50955414,90.97283085,95.47770701,49.53821656,95.89171975,88.53503185,93.94904459,37.92993631,45.22332506,49.82940447,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,20.43761639,57.13842334,36.29733085,27.90192427,64.26799007,20.93672457,22.08436725,46.99131514,48.5253027,49.39534884,37.96899225,34.63565891,85.89147287,47.50310174,49.11627907,73.42635659,65.02325581,37.86046512,56.37209302,53.81513648,52.51552795,57.63975155,39.84496124,48.83868915,52.62830482,57.18194254,NA,20.49509367,49.65463108,63.47826087,62.2515528,55.29503106,48.81987578,40.65217391,37.85714286,69.69118115,92.29813665,67.17605858,45.59057625,51.73587474,40.16775396,45.8527493,80.08698354,31.44810441,17.30351041,48.89922481,43.75193798,20.15455951,20.15455951,20.17001546,32.67169512
1007,70.44585987,78.59872611,69.58598726,90.2866242,77.77070064,10.92356688,70.57405784,81.46496815,32.4522293,28.56687898,88.53503185,93.94904459,37.92993631,45.22332506,75.72890819,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,54.60893855,57.13842334,36.29733085,27.90192427,85.48387097,44.24627792,49.51923077,46.99131514,45.35858429,38.04651163,28.23255814,43.37984496,73.95348837,32.9869727,18.52713178,60.04651163,39.24031008,31.72093023,33.68992248,49.22456576,29.65838509,16.92546584,39.2248062,36.97104677,43.67029549,44.93844049,NA,25.78055308,44.58398744,31.36645963,37.99689441,43.33850932,40.91614907,37.23602484,43.68012422,52.18083413,48.80434783,50.33428844,45.2722063,29.40776038,41.03758931,39.25132029,52.64057161,42.09136109,58.32556695,39.6744186,33.96899225,20.15455951,20.15455951,20.17001546,3.731639539
1009,66.81528662,75.76433121,67.1656051,89.26751592,75.89171975,40.95541401,40.53461876,55.52547771,47.62738854,54.39490446,88.53503185,93.94904459,37.92993631,45.22332506,36.87965261,71.77419355,69.40136476,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,82.97641217,90.98386096,36.29733085,27.90192427,47.08436725,60.25124069,73.43362283,46.99131514,71.96522819,72.27906977,37.96899225,74.10852713,49.65891473,68.05210918,50.57364341,77.11627907,79.2248062,61.95348837,74.57364341,72.42555831,74.19254658,73.71118012,23.65891473,70.56951957,71.88180404,67.27086183,56.19757689,73.77341659,74.2700157,70.90062112,68.21428571,68.50931677,72.76397516,72.17391304,66.98757764,69.27730022,51.39751553,68.75198981,71.50588984,66.64397549,70.76731904,65.89002796,36.14476546,55.99751398,40.95992544,70.10852713,24.18604651,20.15455951,20.15455951,20.17001546,62.76300119
1011,93.21656051,93.08917197,89.39490446,99.07643312,88.75796178,83.75796178,96.66958808,79.15605096,26.14649682,92.4522293,88.53503185,93.94904459,37.92993631,45.22332506,53.31885856,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,54.60893855,84.761018,36.29733085,27.90192427,17.99007444,20.93672457,22.08436725,46.99131514,22.63272276,18.75968992,33.82945736,5.76744186,79.72093023,13.04280397,17.13178295,78.46511628,58.04651163,13.76744186,46.18604651,26.79900744,26.31987578,16.92546584,57.10077519,14.922049,19.9688958,34.57592339,NA,NA,23.01412873,47.06521739,38.85093168,18.69565217,19.56521739,17.2515528,13.41614907,41.67462592,93.36956522,41.89748488,20.98057943,21.03471749,24.23112768,26.70083877,70.70518795,6.743318832,28.11432122,19.50387597,45.05426357,20.15455951,20.15455951,20.17001546,77.05438666
1013,89.55414013,90.89171975,84.26751592,97.6433121,87.22929936,7.643312102,84.7063979,97.65923567,59.58598726,93.15286624,88.53503185,93.94904459,37.92993631,76.08560794,62.01923077,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,82.97641217,84.761018,36.29733085,85.35071384,17.99007444,20.93672457,22.08436725,46.99131514,40.91896926,45.06976744,48.89922481,30.60465116,81.82945736,31.49813896,58.12403101,47.41085271,18.10852713,25.87596899,19.13178295,46.68114144,27.99689441,16.92546584,36.4496124,43.9707286,43.4214619,51.67578659,NA,13.96074933,45.3689168,49.00621118,51.95652174,48.60248447,38.85093168,35.76086957,31.61490683,52.40369309,87.81055901,58.40496657,42.59789876,43.39686862,42.1248835,45.47996272,72.80211246,15.53760099,20.95371233,43.06976744,37.30232558,20.15455951,20.15455951,20.17001546,8.336641524
1015,79.7133758,83.02547771,72.96178344,92.89808917,80.98726115,37.57961783,75.56967572,86.16242038,37.10191083,82.51592357,88.53503185,93.94904459,37.92993631,86.46091811,85.82506203,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,85.04962779,86.60049628,74.27063935,23.24643079,76.70701428,85.35071384,64.26799007,20.93672457,22.08436725,46.99131514,83.11083514,85.24031008,31.14728682,83.1627907,91.28682171,76.95409429,78.68217054,86.51162791,76.09302326,79.65891473,71.96899225,85.29776675,76.28881988,69.03726708,73.06976744,86.44607063,85.59875583,86.83310534,68.68592731,85.70472792,87.3155416,88.38509317,89.22360248,86.24223602,85.43478261,83.22981366,79.8447205,87.61540911,69.76708075,88.60235594,82.71251194,83.45813479,80.7082945,83.34886611,70.70518795,44.81044127,39.63963964,84.80620155,74.94573643,20.15455951,20.15455951,20.17001546,27.78880508
1017,83.31210191,86.27388535,77.10191083,94.10828025,83.31210191,51.68789809,89.63628396,92.1656051,58.69426752,83.85350318,88.53503185,93.94904459,37.92993631,10.98014888,10.98014888,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,74.27063935,23.24643079,36.29733085,68.68404718,47.08436725,20.93672457,22.08436725,46.99131514,57.34244024,61.17829457,62.01550388,47.72093023,86.13953488,34.941067,57.39534884,54.62015504,41.95348837,48.35658915,39.31782946,60.88709677,43.26086957,16.92546584,59.37984496,57.74737512,62.92379471,62.99589603,NA,54.17038359,64.28571429,64.30124224,67.96583851,68.32298137,62.82608696,57.32919255,48.16770186,64.07195161,70.82298137,67.49442853,57.52944922,52.41660994,57.53339546,55.0481516,49.47188568,17.41765071,51.78626903,60.46511628,62.3875969,20.15455951,20.15455951,20.17001546,18.26121477
1019,76.30573248,81.36942675,71.78343949,91.78343949,80.73248408,80.12738854,48.20333041,64.9044586,80.71656051,92.07006369,88.53503185,93.94904459,37.92993631,45.22332506,49.11600496,28.30334988,28.90818859,42.78846154,45.70409429,42.63337469,46.6191067,40.53970223,40.98945409,74.27063935,57.13842334,36.29733085,27.90192427,47.08436725,20.93672457,22.08436725,46.99131514,49.95343061,54.51162791,78.97674419,53.17829457,55.00775194,51.31823821,35.75193798,17.68992248,32.35658915,48.43410853,28.7751938,53.16377171,24.05279503,57.12732919,25.14728682,50.33407572,55.62986003,49.79480164,NA,33.27386262,56.10675039,58.71118012,59.48757764,52.6863354,55.34161491,51.18012422,49.28571429,54.50493473,54.72049689,54.48901624,49.82489653,NA,50.51258155,44.74992234,39.77943461,44.22001243,23.67194781,58.75968992,24.93023256,20.15455951,20.15455951,20.17001546,53.31480746
