"cve_ent","poblacion","nombre","X04.02.2020","X05.02.2020","X06.02.2020","X07.02.2020","X08.02.2020","X09.02.2020","X10.02.2020","X11.02.2020","X12.02.2020","X13.02.2020","X14.02.2020","X15.02.2020","X16.02.2020","X17.02.2020","X18.02.2020","X19.02.2020","X20.02.2020","X21.02.2020","X22.02.2020","X23.02.2020","X24.02.2020","X25.02.2020","X26.02.2020","X27.02.2020","X28.02.2020","X29.02.2020","X01.03.2020","X02.03.2020","X03.03.2020","X04.03.2020","X05.03.2020","X06.03.2020","X07.03.2020","X08.03.2020","X09.03.2020","X10.03.2020","X11.03.2020","X12.03.2020","X13.03.2020","X14.03.2020","X15.03.2020","X16.03.2020","X17.03.2020","X18.03.2020","X19.03.2020","X20.03.2020","X21.03.2020","X22.03.2020","X23.03.2020","X24.03.2020","X25.03.2020","X26.03.2020","X27.03.2020","X28.03.2020","X29.03.2020","X30.03.2020","X31.03.2020","X01.04.2020","X02.04.2020","X03.04.2020","X04.04.2020","X05.04.2020","X06.04.2020","X07.04.2020","X08.04.2020","X09.04.2020","X10.04.2020","X11.04.2020","X12.04.2020","X13.04.2020","X14.04.2020","X15.04.2020","X16.04.2020","X17.04.2020","X18.04.2020","X19.04.2020","X20.04.2020","X21.04.2020","X22.04.2020","X23.04.2020","X24.04.2020","X25.04.2020","X26.04.2020","X27.04.2020","X28.04.2020","X29.04.2020","X30.04.2020","X01.05.2020","X02.05.2020","X03.05.2020","X04.05.2020","X05.05.2020","X06.05.2020","X07.05.2020","X08.05.2020","X09.05.2020","X10.05.2020","X11.05.2020","X12.05.2020","X13.05.2020","X14.05.2020","X15.05.2020","X16.05.2020","X17.05.2020","X18.05.2020","X19.05.2020","X20.05.2020","X21.05.2020","X22.05.2020","X23.05.2020","X24.05.2020","X25.05.2020","X26.05.2020","X27.05.2020","X28.05.2020","X29.05.2020","X30.05.2020","X31.05.2020","X01.06.2020","X02.06.2020","X03.06.2020","X04.06.2020","X05.06.2020","X06.06.2020","X07.06.2020","X08.06.2020","X09.06.2020","X10.06.2020"
11,6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,3,4,0,2,5,2,4,4,5,7,8,2,4,1,0
12,3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,6,3,3,1,4,1,8,5,3,2,2,8,4,4,5,10,6,4,10,5,7,7,7,7,13,14,15,15,9,14,12,15,17,17,20,16,19,13,15,15,18,17,18,10,8,14,9,6,3,1,0
13,3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,1,2,2,0,7,7,1,5,2,3,7,2,7,9,9,7,8,9,6,10,8,12,9,13,14,7,11,13,7,15,15,12,10,10,10,10,12,11,10,10,10,9,5,14,5,3,2,8,6,4,0
14,8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,3,2,4,14,8,17,9,17,19,13,11,12,6,4,0
15,17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,2,1,4,3,5,5,4,10,6,3,6,11,16,17,12,18,15,16,23,21,27,30,29,28,45,39,57,38,39,49,42,52,45,45,66,41,40,40,40,39,39,47,33,54,51,46,46,70,48,65,55,57,59,47,61,60,56,63,52,49,52,72,59,41,50,26,29,36,27,26,10,0
16,4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,0,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,3,5,0,2,4,4,3,3,2,5,10,3,6,6,4,8,9,10,7,4,8,11,6,12,8,2,3,6,8,4,4,9,7,7,5,5,1,0
17,2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,4,6,7,6,3,4,8,5,5,8,7,13,12,11,15,12,13,10,8,9,6,6,6,10,4,4,5,7,5,10,6,6,4,4,5,1,6,2,3,0,3,4,4,4,3,2,4,2,4,3,0,0
18,1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,4,4,4,0,0
19,5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,1,2,1,2,3,2,2,3,1,2,0,3,3,3,4,4,3,3,3,3,4,5,5,3,3,2,1,9,5,3,2,4,3,2,4,2,4,6,1,2,1,1,1,0
20,4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,3,5,6,6,8,3,7,7,11,4,3,6,7,12,8,6,9,6,10,11,15,9,8,5,9,3,5,12,6,4,1
