region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Connecticut,2020-03-26,1.2864259636356898,1.2867588060623312,1.1785384712476288,1.3865578556566522,1.239150391469731,1.3303462391295942
Connecticut,2020-03-27,1.2625755536793144,1.2583155629305722,1.1628901991606675,1.3631594402888827,1.2100210464888077,1.2912935553590243
Connecticut,2020-03-28,1.2401012946694274,1.238093946058202,1.1361788664414934,1.3270985351157516,1.2056609170463541,1.2810579217299378
Connecticut,2020-03-29,1.211916410476086,1.2113654966806768,1.128469160946434,1.306806607555265,1.1710801839737461,1.2473711668857737
Connecticut,2020-03-30,1.1835318463838223,1.1819235494915346,1.0918509850277816,1.2671831846794226,1.152739832673899,1.2227880262604907
Connecticut,2020-03-31,1.1646061100351843,1.164799503587561,1.0806123771190441,1.2588140786664426,1.1315829368080343,1.202827044476574
Connecticut,2020-04-01,1.140827407002519,1.1401333229794897,1.056326644562061,1.2525201613726227,1.1047435614090466,1.174807717046714
Connecticut,2020-04-02,1.1184031939746126,1.1195601965333783,1.024837298035743,1.2102620533458406,1.0804594522662943,1.1543877744823279
Connecticut,2020-04-03,1.096063739550118,1.0964468804681178,1.0132476046033247,1.1924552261729133,1.0644037972794185,1.1352432740327694
Connecticut,2020-04-04,1.0786422020326032,1.0785911755280864,0.9999012725259651,1.1765146465909644,1.0383124938245625,1.1063125630219155
Connecticut,2020-04-05,1.0579609838250696,1.0570660650523633,0.9688657998885265,1.145461520615006,1.029558334870549,1.0941555946346662
Connecticut,2020-04-06,1.033723681942741,1.0327002529773244,0.945003327173204,1.1184019845729074,1.004371560496161,1.0726911777700292
Connecticut,2020-04-07,1.0241307206898838,1.0222344243246164,0.9333227020727822,1.1141732021389532,0.9835981126366584,1.0509028424400104
Connecticut,2020-04-08,1.014331238141941,1.013400566246888,0.9350557178540699,1.1101353868871648,0.977501758564358,1.0485957562703292
Connecticut,2020-04-09,1.0074868755938464,1.0067481421718703,0.9239685215926114,1.0945615915995148,0.974792617018212,1.0435922466420466
Connecticut,2020-04-10,1.0043227096946463,1.0020258273002347,0.9191260287751477,1.0963264547239544,0.9678859786772837,1.034444584977161
Connecticut,2020-04-11,0.9952258468542725,0.9959063213114498,0.9123156127745351,1.0920845954363876,0.9526565008786354,1.0261609479346987
Connecticut,2020-04-12,0.9811642260429189,0.9806138405072617,0.8987787195078794,1.0756553443079384,0.932206264925422,1.005568450078047
Connecticut,2020-04-13,0.9668675203073093,0.9673527910009934,0.8810620276070701,1.0584907042864249,0.9378743903667123,1.0088824100391487
Connecticut,2020-04-14,0.949813037391917,0.9503266001465898,0.863118263440891,1.044613002757486,0.9166087235853209,0.9873888162908413
Connecticut,2020-04-15,0.9317314460317773,0.9353109386415105,0.8326247054943638,1.0135342122914672,0.8889988676250082,0.9604742122401994
Connecticut,2020-04-16,0.9099919519894709,0.9124109314437476,0.8259979485843897,1.0051133942908013,0.8800387927843056,0.9510730563168427
Connecticut,2020-04-17,0.9000488103835479,0.9014349972320445,0.8028432341657005,0.9883407152403294,0.8572394147546083,0.9331893520437228
Connecticut,2020-04-18,0.8794620211647012,0.8821855190142551,0.7768262881595666,0.9718666548944159,0.8363305815716197,0.9165375412198296
Connecticut,2020-04-19,0.8689411793330721,0.8690236967551392,0.7848136854783089,0.9665035756743332,0.8340611424789818,0.9072390540658457
Connecticut,2020-04-20,0.8522725961010078,0.8518874879225733,0.7573099107055409,0.9465169317523459,0.8021200955242529,0.8767272809552715
Connecticut,2020-04-21,0.8521875636293336,0.8551688404380169,0.7551465829611635,0.9483454851765204,0.8148856270807512,0.8937716329311576
Connecticut,2020-04-22,0.8508647205428596,0.8532931578351709,0.7446507346736283,0.9431987458356567,0.8292472924266265,0.9102729254614428
Connecticut,2020-04-23,0.8647802374338462,0.8680725883173885,0.7577506316077077,0.9600279739072782,0.8247349163057228,0.9024779819707766
Connecticut,2020-04-24,0.8840793060717023,0.8849890819242274,0.7820134226170136,0.9762162997808985,0.8477126751355022,0.9269361435923367
