"start.date"	"start.middate"	"state"	"window"	"b1"
"1"	"2020-03-12"	"2020-03-21"	"AK"	20	0.755419876499903
"2"	"2020-03-13"	"2020-03-22"	"AK"	20	0.549645938488192
"3"	"2020-03-14"	"2020-03-23"	"AK"	20	0.396918549978744
"4"	"2020-03-15"	"2020-03-24"	"AK"	20	0.335204002347482
"5"	"2020-03-16"	"2020-03-25"	"AK"	20	0.297365292279917
"6"	"2020-03-17"	"2020-03-26"	"AK"	20	0.271795212005252
"7"	"2020-03-18"	"2020-03-27"	"AK"	20	0.263928364740125
"8"	"2020-03-19"	"2020-03-28"	"AK"	20	0.22539450623195
"9"	"2020-03-20"	"2020-03-29"	"AK"	20	0.177768634381947
"10"	"2020-03-21"	"2020-03-30"	"AK"	20	0.132197546900038
"11"	"2020-03-22"	"2020-03-31"	"AK"	20	0.0990501627946308
"12"	"2020-03-23"	"2020-04-01"	"AK"	20	0.145767010201025
"13"	"2020-03-24"	"2020-04-02"	"AK"	20	0.143061936563027
"14"	"2020-03-25"	"2020-04-03"	"AK"	20	0.21173894744708
"15"	"2020-03-26"	"2020-04-04"	"AK"	20	0.215216563018499
"16"	"2020-03-27"	"2020-04-05"	"AK"	20	0.19865867298656
"17"	"2020-03-28"	"2020-04-06"	"AK"	20	0.17588431733126
"18"	"2020-03-29"	"2020-04-07"	"AK"	20	0.164396029875881
"19"	"2020-03-30"	"2020-04-08"	"AK"	20	0.173322560244636
"20"	"2020-03-31"	"2020-04-09"	"AK"	20	0.154231182341356
"21"	"2020-04-01"	"2020-04-10"	"AK"	20	0.147694323494106
"22"	"2020-04-02"	"2020-04-11"	"AK"	20	0.0934835642019061
"23"	"2020-04-03"	"2020-04-12"	"AK"	20	0.0643546681416941
"24"	"2020-04-04"	"2020-04-13"	"AK"	20	0.0594071156498314
"25"	"2020-04-05"	"2020-04-14"	"AK"	20	0.0571871968399499
"26"	"2020-04-06"	"2020-04-15"	"AK"	20	0.00950979040209055
"27"	"2020-04-07"	"2020-04-16"	"AK"	20	0.0657777417622128
"28"	"2020-04-08"	"2020-04-17"	"AK"	20	0.0698811326680231
"29"	"2020-04-09"	"2020-04-18"	"AK"	20	0.0551842016765884
"30"	"2020-04-10"	"2020-04-19"	"AK"	20	0.0500218033586973
"31"	"2020-04-11"	"2020-04-20"	"AK"	20	0.0400166381230289
"32"	"2020-04-12"	"2020-04-21"	"AK"	20	0
"33"	"2020-04-13"	"2020-04-22"	"AK"	20	0.00788222822280728
"34"	"2020-04-14"	"2020-04-23"	"AK"	20	0.00256371136866726
"35"	"2020-04-15"	"2020-04-24"	"AK"	20	0
"36"	"2020-04-16"	"2020-04-25"	"AK"	20	0.00564714835003005
"37"	"2020-04-17"	"2020-04-26"	"AK"	20	0
"38"	"2020-04-18"	"2020-04-27"	"AK"	20	0.0238255380014475
"39"	"2020-03-13"	"2020-03-22"	"AL"	20	0.773736019195911
"40"	"2020-03-14"	"2020-03-23"	"AL"	20	0.55890925796694
"41"	"2020-03-15"	"2020-03-24"	"AL"	20	0.407704332572214
"42"	"2020-03-16"	"2020-03-25"	"AL"	20	0.334655380682625
"43"	"2020-03-17"	"2020-03-26"	"AL"	20	0.300393541909556
"44"	"2020-03-18"	"2020-03-27"	"AL"	20	0.286670688238377
"45"	"2020-03-19"	"2020-03-28"	"AL"	20	0.278260203658169
"46"	"2020-03-20"	"2020-03-29"	"AL"	20	0.278969148036859
"47"	"2020-03-21"	"2020-03-30"	"AL"	20	0.286912506652731
"48"	"2020-03-22"	"2020-03-31"	"AL"	20	0.294170614876552
"49"	"2020-03-23"	"2020-04-01"	"AL"	20	0.305475026528938
"50"	"2020-03-24"	"2020-04-02"	"AL"	20	0.310309625439652
"51"	"2020-03-25"	"2020-04-03"	"AL"	20	0.298576042512553
"52"	"2020-03-26"	"2020-04-04"	"AL"	20	0.286862074697807
"53"	"2020-03-27"	"2020-04-05"	"AL"	20	0.28533150834531
"54"	"2020-03-28"	"2020-04-06"	"AL"	20	0.2892115146895
"55"	"2020-03-29"	"2020-04-07"	"AL"	20	0.287923763964426
"56"	"2020-03-30"	"2020-04-08"	"AL"	20	0.282431353713475
"57"	"2020-03-31"	"2020-04-09"	"AL"	20	0.258636016923063
"58"	"2020-04-01"	"2020-04-10"	"AL"	20	0.208017125828054
"59"	"2020-04-02"	"2020-04-11"	"AL"	20	0.171962728327451
"60"	"2020-04-03"	"2020-04-12"	"AL"	20	0.1643427220988
"61"	"2020-04-04"	"2020-04-13"	"AL"	20	0.108479404524118
"62"	"2020-04-05"	"2020-04-14"	"AL"	20	0.091065761035385
"63"	"2020-04-06"	"2020-04-15"	"AL"	20	0.0704593903610522
"64"	"2020-04-07"	"2020-04-16"	"AL"	20	0.0703886396186681
"65"	"2020-04-08"	"2020-04-17"	"AL"	20	0.113049381144433
"66"	"2020-04-09"	"2020-04-18"	"AL"	20	0.176730627393742
"67"	"2020-04-10"	"2020-04-19"	"AL"	20	0.179350635460257
"68"	"2020-04-11"	"2020-04-20"	"AL"	20	0.201926231575409
"69"	"2020-04-12"	"2020-04-21"	"AL"	20	0.19009184917215
"70"	"2020-04-13"	"2020-04-22"	"AL"	20	0.182482040369834
"71"	"2020-04-14"	"2020-04-23"	"AL"	20	0.180371943980541
"72"	"2020-04-15"	"2020-04-24"	"AL"	20	0.157992741162675
"73"	"2020-04-16"	"2020-04-25"	"AL"	20	0.154041432831735
"74"	"2020-04-17"	"2020-04-26"	"AL"	20	0.159904218034459
"75"	"2020-04-18"	"2020-04-27"	"AL"	20	0.157218617502597
"76"	"2020-03-11"	"2020-03-20"	"AR"	20	0.600398726501559
"77"	"2020-03-12"	"2020-03-21"	"AR"	20	0.576464891168014
"78"	"2020-03-13"	"2020-03-22"	"AR"	20	0.512755239505477
"79"	"2020-03-14"	"2020-03-23"	"AR"	20	0.442833334312613
"80"	"2020-03-15"	"2020-03-24"	"AR"	20	0.375226574515163
"81"	"2020-03-16"	"2020-03-25"	"AR"	20	0.322024150137459
"82"	"2020-03-17"	"2020-03-26"	"AR"	20	0.278137228717698
"83"	"2020-03-18"	"2020-03-27"	"AR"	20	0.246519997572292
"84"	"2020-03-19"	"2020-03-28"	"AR"	20	0.243349649982739
"85"	"2020-03-20"	"2020-03-29"	"AR"	20	0.256404931732975
"86"	"2020-03-21"	"2020-03-30"	"AR"	20	0.230147283256284
"87"	"2020-03-22"	"2020-03-31"	"AR"	20	0.252464002371425
"88"	"2020-03-23"	"2020-04-01"	"AR"	20	0.245092640619318
"89"	"2020-03-24"	"2020-04-02"	"AR"	20	0.244788175420275
"90"	"2020-03-25"	"2020-04-03"	"AR"	20	0.288017283203615
"91"	"2020-03-26"	"2020-04-04"	"AR"	20	0.284342615237608
"92"	"2020-03-27"	"2020-04-05"	"AR"	20	0.272182490013858
"93"	"2020-03-28"	"2020-04-06"	"AR"	20	0.229417395966931
"94"	"2020-03-29"	"2020-04-07"	"AR"	20	0.208228163184793
"95"	"2020-03-30"	"2020-04-08"	"AR"	20	0.215084712884378
"96"	"2020-03-31"	"2020-04-09"	"AR"	20	0.225042240201928
"97"	"2020-04-01"	"2020-04-10"	"AR"	20	0.227556499059359
"98"	"2020-04-02"	"2020-04-11"	"AR"	20	0.219140333296449
"99"	"2020-04-03"	"2020-04-12"	"AR"	20	0.21043931569213
"100"	"2020-04-04"	"2020-04-13"	"AR"	20	0.164854914697047
"101"	"2020-04-05"	"2020-04-14"	"AR"	20	0.195230102571141
"102"	"2020-04-06"	"2020-04-15"	"AR"	20	0.194205647790141
"103"	"2020-04-07"	"2020-04-16"	"AR"	20	0.201666122929467
"104"	"2020-04-08"	"2020-04-17"	"AR"	20	0.213116930124109
"105"	"2020-04-09"	"2020-04-18"	"AR"	20	0.246014222756266
"106"	"2020-04-10"	"2020-04-19"	"AR"	20	0.272570245610458
"107"	"2020-04-11"	"2020-04-20"	"AR"	20	0.290966738549457
"108"	"2020-04-12"	"2020-04-21"	"AR"	20	0.29848796798792
"109"	"2020-04-13"	"2020-04-22"	"AR"	20	0.257155776729481
"110"	"2020-04-14"	"2020-04-23"	"AR"	20	0.202876358309006
"111"	"2020-04-15"	"2020-04-24"	"AR"	20	0.122392303008618
"112"	"2020-04-16"	"2020-04-25"	"AR"	20	0.0157492089548521
"113"	"2020-04-17"	"2020-04-26"	"AR"	20	0
"114"	"2020-04-18"	"2020-04-27"	"AR"	20	0
"115"	"2020-01-26"	"2020-02-04"	"AZ"	20	0.312177641509035
"116"	"2020-01-27"	"2020-02-05"	"AZ"	20	0.279932550262227
"117"	"2020-01-28"	"2020-02-06"	"AZ"	20	0.0948724330906128
"118"	"2020-01-29"	"2020-02-07"	"AZ"	20	0
"119"	"2020-01-30"	"2020-02-08"	"AZ"	20	0
"120"	"2020-01-31"	"2020-02-09"	"AZ"	20	0
"121"	"2020-02-01"	"2020-02-10"	"AZ"	20	0
"122"	"2020-02-02"	"2020-02-11"	"AZ"	20	0
"123"	"2020-02-03"	"2020-02-12"	"AZ"	20	0
"124"	"2020-02-04"	"2020-02-13"	"AZ"	20	0
"125"	"2020-02-05"	"2020-02-14"	"AZ"	20	0
"126"	"2020-02-06"	"2020-02-15"	"AZ"	20	0
"127"	"2020-02-07"	"2020-02-16"	"AZ"	20	0
"128"	"2020-02-08"	"2020-02-17"	"AZ"	20	0
"129"	"2020-02-09"	"2020-02-18"	"AZ"	20	0
"130"	"2020-02-10"	"2020-02-19"	"AZ"	20	0
"131"	"2020-02-11"	"2020-02-20"	"AZ"	20	0
"132"	"2020-02-12"	"2020-02-21"	"AZ"	20	0
"133"	"2020-02-13"	"2020-02-22"	"AZ"	20	0
"134"	"2020-02-14"	"2020-02-23"	"AZ"	20	0
"135"	"2020-02-15"	"2020-02-24"	"AZ"	20	0
"136"	"2020-02-16"	"2020-02-25"	"AZ"	20	0
"137"	"2020-02-17"	"2020-02-26"	"AZ"	20	0
"138"	"2020-02-18"	"2020-02-27"	"AZ"	20	0
"139"	"2020-02-19"	"2020-02-28"	"AZ"	20	0
"140"	"2020-02-20"	"2020-02-29"	"AZ"	20	0
"141"	"2020-02-21"	"2020-03-01"	"AZ"	20	0
"142"	"2020-02-22"	"2020-03-02"	"AZ"	20	0.273397444870518
"143"	"2020-02-23"	"2020-03-03"	"AZ"	20	0.552524042953899
"144"	"2020-02-24"	"2020-03-04"	"AZ"	20	0.771285608130835
"145"	"2020-02-25"	"2020-03-05"	"AZ"	20	0.84277119535569
"146"	"2020-02-26"	"2020-03-06"	"AZ"	20	0.887010704601356
"147"	"2020-02-27"	"2020-03-07"	"AZ"	20	0.77342840407361
"148"	"2020-02-28"	"2020-03-08"	"AZ"	20	0.594078936685958
"149"	"2020-02-29"	"2020-03-09"	"AZ"	20	0.469632936588721
"150"	"2020-03-01"	"2020-03-10"	"AZ"	20	0.410369765806405
"151"	"2020-03-02"	"2020-03-11"	"AZ"	20	0.452730831577462
"152"	"2020-03-03"	"2020-03-12"	"AZ"	20	0.644367329033772
"153"	"2020-03-04"	"2020-03-13"	"AZ"	20	0.951206814172389
"154"	"2020-03-05"	"2020-03-14"	"AZ"	20	1.03110067950428
"155"	"2020-03-06"	"2020-03-15"	"AZ"	20	1.09997318798221
"156"	"2020-03-07"	"2020-03-16"	"AZ"	20	1.15518787813039
"157"	"2020-03-08"	"2020-03-17"	"AZ"	20	1.19466197773128
"158"	"2020-03-09"	"2020-03-18"	"AZ"	20	1.21788356938451
"159"	"2020-03-10"	"2020-03-19"	"AZ"	20	1.21366142518825
"160"	"2020-03-11"	"2020-03-20"	"AZ"	20	1.16903338387202
"161"	"2020-03-12"	"2020-03-21"	"AZ"	20	1.00180941068174
"162"	"2020-03-13"	"2020-03-22"	"AZ"	20	0.863444134261759
"163"	"2020-03-14"	"2020-03-23"	"AZ"	20	0.750829315563565
"164"	"2020-03-15"	"2020-03-24"	"AZ"	20	0.646127889957537
"165"	"2020-03-16"	"2020-03-25"	"AZ"	20	0.557518609682044
"166"	"2020-03-17"	"2020-03-26"	"AZ"	20	0.465004593002381
"167"	"2020-03-18"	"2020-03-27"	"AZ"	20	0.383656057939126
"168"	"2020-03-19"	"2020-03-28"	"AZ"	20	0.317132127293633
"169"	"2020-03-20"	"2020-03-29"	"AZ"	20	0.260337934242219
"170"	"2020-03-21"	"2020-03-30"	"AZ"	20	0.222887525220491
"171"	"2020-03-22"	"2020-03-31"	"AZ"	20	0.191204011316717
"172"	"2020-03-23"	"2020-04-01"	"AZ"	20	0.170462830576312
"173"	"2020-03-24"	"2020-04-02"	"AZ"	20	0.145226832830157
"174"	"2020-03-25"	"2020-04-03"	"AZ"	20	0.106209005355114
"175"	"2020-03-26"	"2020-04-04"	"AZ"	20	0.0747304376548934
"176"	"2020-03-27"	"2020-04-05"	"AZ"	20	0.0573184726491875
"177"	"2020-03-28"	"2020-04-06"	"AZ"	20	0.0273452160395833
"178"	"2020-03-29"	"2020-04-07"	"AZ"	20	0.00949342626541655
"179"	"2020-03-30"	"2020-04-08"	"AZ"	20	0.0156869627015939
"180"	"2020-03-31"	"2020-04-09"	"AZ"	20	0
"181"	"2020-04-01"	"2020-04-10"	"AZ"	20	0
"182"	"2020-04-02"	"2020-04-11"	"AZ"	20	0
"183"	"2020-04-03"	"2020-04-12"	"AZ"	20	0
"184"	"2020-04-04"	"2020-04-13"	"AZ"	20	0.0169539922586059
"185"	"2020-04-05"	"2020-04-14"	"AZ"	20	0.0560902048186152
"186"	"2020-04-06"	"2020-04-15"	"AZ"	20	0.0662120015446395
"187"	"2020-04-07"	"2020-04-16"	"AZ"	20	0.0464111240032623
"188"	"2020-04-08"	"2020-04-17"	"AZ"	20	0.0324081879752842
"189"	"2020-04-09"	"2020-04-18"	"AZ"	20	0.0606790974039474
"190"	"2020-04-10"	"2020-04-19"	"AZ"	20	0.0403359676499633
"191"	"2020-04-11"	"2020-04-20"	"AZ"	20	0.0781649686517905
"192"	"2020-04-12"	"2020-04-21"	"AZ"	20	0.0747570656916733
"193"	"2020-04-13"	"2020-04-22"	"AZ"	20	0.0692697857421405
"194"	"2020-04-14"	"2020-04-23"	"AZ"	20	0.0449648119325267
"195"	"2020-04-15"	"2020-04-24"	"AZ"	20	0.0352579819726236
"196"	"2020-04-16"	"2020-04-25"	"AZ"	20	0.0600428386753378
"197"	"2020-04-17"	"2020-04-26"	"AZ"	20	0.0940041806494573
"198"	"2020-04-18"	"2020-04-27"	"AZ"	20	0.113878545559477
"199"	"2020-01-26"	"2020-02-04"	"CA"	20	0
"200"	"2020-01-27"	"2020-02-05"	"CA"	20	0.282512002390209
"201"	"2020-01-28"	"2020-02-06"	"CA"	20	0.0533334513743728
"202"	"2020-01-29"	"2020-02-07"	"CA"	20	0
"203"	"2020-01-30"	"2020-02-08"	"CA"	20	0
"204"	"2020-01-31"	"2020-02-09"	"CA"	20	0
"205"	"2020-02-01"	"2020-02-10"	"CA"	20	0
"206"	"2020-02-02"	"2020-02-11"	"CA"	20	0
"207"	"2020-02-03"	"2020-02-12"	"CA"	20	0
"208"	"2020-02-04"	"2020-02-13"	"CA"	20	0
"209"	"2020-02-05"	"2020-02-14"	"CA"	20	0
"210"	"2020-02-06"	"2020-02-15"	"CA"	20	0
"211"	"2020-02-07"	"2020-02-16"	"CA"	20	0
"212"	"2020-02-08"	"2020-02-17"	"CA"	20	0
"213"	"2020-02-09"	"2020-02-18"	"CA"	20	0
"214"	"2020-02-10"	"2020-02-19"	"CA"	20	0
"215"	"2020-02-11"	"2020-02-20"	"CA"	20	0
"216"	"2020-02-12"	"2020-02-21"	"CA"	20	0
"217"	"2020-02-13"	"2020-02-22"	"CA"	20	0
"218"	"2020-02-14"	"2020-02-23"	"CA"	20	0
"219"	"2020-02-15"	"2020-02-24"	"CA"	20	0
"220"	"2020-02-16"	"2020-02-25"	"CA"	20	0.125366562711601
"221"	"2020-02-17"	"2020-02-26"	"CA"	20	0.268259238686136
"222"	"2020-02-18"	"2020-02-27"	"CA"	20	0.366410155381091
"223"	"2020-02-19"	"2020-02-28"	"CA"	20	0.541147404539692
"224"	"2020-02-20"	"2020-02-29"	"CA"	20	0.64410658665742
"225"	"2020-02-21"	"2020-03-01"	"CA"	20	0.712012029034779
"226"	"2020-02-22"	"2020-03-02"	"CA"	20	0.787228437763225
"227"	"2020-02-23"	"2020-03-03"	"CA"	20	0.849922948508163
"228"	"2020-02-24"	"2020-03-04"	"CA"	20	0.880056907168276
"229"	"2020-02-25"	"2020-03-05"	"CA"	20	0.890289819789454
"230"	"2020-02-26"	"2020-03-06"	"CA"	20	0.885443362371963
"231"	"2020-02-27"	"2020-03-07"	"CA"	20	0.785201837456825
"232"	"2020-02-28"	"2020-03-08"	"CA"	20	0.706391108095451
"233"	"2020-02-29"	"2020-03-09"	"CA"	20	0.65675206719071
"234"	"2020-03-01"	"2020-03-10"	"CA"	20	0.614741088208022
