fips,Asthma,COPD,Current.Smoker.Status,Diabetes,Kidney.Disease,Percent.of.pop.AIAN,HIV.Prevalence,Adult.Obesity,Percent.of.pop.65.,Avg.Res.Per.Day,Heart.Disease,Cancer,Organ.Transplant.Pct,f0886817,f0892117,f1256517,f0913917,f0913317,f1330917,f1130917,f1266417,f0931717,f0932017,f1321418,f1321818,f1321918,f1322018,f1525319,f1331817,f1392917,f1393717,f1198418,f1484010,f1348310,f0453110,f0453210,f0453310,f1332610,f1332710,f0453510,f1332810,f0453610,f1463510,f1433613,f1433713,f1491610,f1139619,f1319118,f1419612,f1193515,f1193615,f1194115,f1433913,f1434013,f1434113,f1434213,f1434313,f1434413,f1322317,f1440813,f1408416,f1547217,f1546116,f0679218,f0679418,f0679518,f1461311,f1461413,f1351510,f1492110,HPSA.Score,HPSA.Designation.Population,HPSA.Estimated.Underserved.Population,Total.workers
1001,9.780070848,8.64797188,18.88870793,13.96753109,3.288365197,0.002880435,219.1,0.333,14.6,49.5913269,12.03451408,20.92037542,0.000497345,1,55,1,6,0,0,0,0,0,0,1,0,0,2,1,3,5,0,55601,6546,37,42855,9643,232,474,32,466,869,1310,53261,1163,66,58,5950,11439,10029,NA,37,524,1334,1179,2155,4853,6693,4840,7390,13.7,7844,42836,78,25957,942,3.6,141300,932,22135,57.1,0,0,0,392.7419568
1003,9.344575975,8.05420814,18.17183449,13.39845317,3.170899189,0.006717698,166.5,0.31,19.5,59.29596841,12.03451408,20.92037542,0.000497345,4,348,0,0,0,0,9,0,30,9,7,0,1,2,6,0,0,0,218022,30568,41.1,156153,17105,1216,1348,89,3631,2723,7992,174273,6606,216,57.7,19877,54145,32213,33,118,2085,4273,4333,8037,18976,23734,16780,21199,11.8,21406,149577,347,93849,3393,3.6,169300,904,104061,58.4,0,0,0,1165.252981
1005,11.78889876,11.75771657,23.32892851,16.63342973,3.936841092,0.002443565,420.6,0.417,18,92.40297192,12.03451408,20.92037542,0.000497345,1,47,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,24881,3909,39,13180,12875,114,107,29,894,258,1387,26070,697,25,32.2,1691,6681,8124,NA,16,290,1234,944,1466,2513,2128,906,7414,27.2,6675,15311,43,8373,433,5.2,92200,569,11829,33.8,0,0,0,220.9501179
1007,10.23158394,9.44749316,20.23693619,14.54269445,3.470410397,0.000355129,196.8,0.376,16.3,29.26907266,12.03451408,20.92037542,0.000497345,1,180,0,0,0,0,0,0,0,0,1,1,0,0,6,1,1,0,22400,2906,37.8,17381,5047,64,22,13,185,203,406,22509,231,0,31.6,1148,5128,5629,NA,18,249,432,438,1025,1984,1922,1115,4137,15.2,3740,15194,22,8661,344,4,102700,710,8981,23.9,0,0,0,48.67511217
1009,10.11661662,9.248170702,19.93752286,14.40700431,3.410057111,0.002151097,99.8,0.338,17.8,48.52129789,12.03451408,20.92037542,0.000497345,1,25,1,6,0,0,0,0,0,0,3,4,0,0,1,3,5,0,57840,8439,39,53068,761,307,117,38,2347,684,4626,52696,2621,78,10,3962,13175,11791,24,64,674,1672,1145,2238,5772,6868,2995,7343,15.6,7037,41067,71,25006,878,3.5,119800,649,23887,10,0,0,0,455.5420305
1011,11.72229186,11.61014028,23.14006358,16.60279645,3.838042184,0.011785162,632.9,0.372,15.6,83.15015576,12.03451408,20.92037542,0.000497345,1,54,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,10138,1469,38.5,2507,7666,23,20,43,569,86,777,10137,192,0,48.6,459,2198,3986,NA,NA,126,727,451,400,912,873,307,2956,28.5,2827,6216,17,4776,224,4.7,68600,611,4493,35,0,0,0,648.3644102
1013,11.28787943,10.95441011,22.19954585,15.92290049,3.772846197,9.99E-05,311,0.433,19,84.8675228,12.03451408,20.92037542,0.000497345,2,83,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,19680,3489,40.1,11399,9095,60,177,7,48,161,191,20756,211,0,28.8,1412,5073,6946,NA,14,256,767,680,1203,1852,1833,715,4154,24.4,4921,13966,33,8914,427,4.8,78900,585,9964,27.8,0,0,0,75.05281408
1015,10.54103223,9.851509542,20.62593708,14.94706566,3.567350175,0.001972232,226.3,0.385,16.8,71.21139714,12.03451408,20.92037542,0.000497345,3,402,0,0,0,0,0,0,29,6,2,0,1,2,2,0,0,0,114277,16990,38.2,88840,24382,540,845,96,1894,1975,3893,114679,3021,57,66.3,10599,28487,31205,33,107,1470,4189,3358,5438,11976,13465,6673,19832,18.6,22183,81366,181,45972,2139,4.7,105900,645,53289,67.6,0,0,0,192.9208276
1017,10.71075224,10.15433161,21.16340536,15.13858628,3.643703793,0.002867617,387.7,0.401,18.9,72.72274,12.03451408,20.92037542,0.000497345,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,33615,5706,41.5,20112,13257,69,168,10,214,385,536,33679,441,0,50.9,2374,9276,9978,NA,34,449,1264,1127,2221,3949,3771,1362,6036,18.8,6745,23664,44,15276,597,3.9,80800,684,17004,53,0,0,0,138.7033548
1019,10.41956198,9.704332771,20.48477785,14.75169209,3.561476021,0.009128534,116.9,0.35,21.7,82.61322668,12.03451408,20.92037542,0.000497345,1,45,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,26032,4651,43.9,24081,1208,135,54,1,123,387,320,25669,173,24,14.3,1791,7493,6532,NA,21,351,1055,861,1373,3099,2993,1414,4381,16.1,4257,17642,NA,11622,415,3.6,105100,596,16267,12,0,0,0,358.8405281
1021,10.66097735,10.02823463,20.96083934,15.10437356,3.574790569,0.000887776,110.2,0.377,15.8,46.16742662,12.03451408,20.92037542,0.000497345,1,36,1,6,0,0,0,0,0,0,2,1,0,0,2,3,3,0,44153,5921,37.6,36713,4230,155,130,55,1854,506,3420,40223,2218,34,13.3,2772,9785,11289,11,40,508,1667,1290,1840,4558,4989,2424,7303,19.4,7800,31432,72,19476,703,3.6,100100,678,19278,13.2,0,0,0,563.8191369
1023,11.02425553,10.59997437,21.66224,15.59013825,3.732396117,0.000688337,231.5,0.413,22.1,20.1662169,12.03451408,20.92037542,0.000497345,1,25,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,12841,2519,43.4,7731,6012,18,12,0,28,58,73,13786,50,0,0,788,3934,4200,NA,NA,180,702,544,993,1303,1308,613,3031,22.3,3566,8786,41,4694,260,5.5,61100,521,7269,0,0,0,0,40.46921241
1025,11.16396528,10.74570045,21.83229771,15.79710512,3.717162292,0.001025136,159.5,0.341,19,49.11146983,12.03451408,20.92037542,0.000497345,2,60,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,23920,4174,40.2,14070,11336,103,77,4,67,176,271,25562,106,6,24,1502,6677,7626,NA,16,291,1867,700,1152,2404,2071,1408,5541,25.3,6377,16889,36,7627,570,7.5,86900,546,12638,23.2,0,0,0,24.56800723
1027,10.7095069,10.15156442,21.10684509,15.16469172,3.642395706,0.008895201,174.2,0.406,19.8,76.41170022,12.03451408,20.92037542,0.000497345,1,129,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,13275,2449,42,11380,2066,55,24,0,172,235,399,13533,261,0,0,1110,3796,3696,NA,11,177,540,463,795,1554,1366,620,2363,19.1,1832,9050,NA,5963,233,3.9,84100,482,6776,0,0,0,0,56.45086
1029,10.57005321,9.968937172,20.90091548,15.02295586,3.583840644,0.002610791,120.3,0.373,18.8,46.17167379,12.03451408,20.92037542,0.000497345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14987,2361,40.6,14079,498,51,23,10,151,160,307,14665,245,4,0,854,3708,3862,NA,19,197,630,467,954,1426,1582,714,2365,19.1,2318,10325,NA,5743,244,4.2,108000,549,6718,0,0,0,0,NA
1031,9.903498079,8.899780207,19.33637321,14.14163419,3.346834581,0.011328186,152.5,0.342,16.3,19.73030649,12.03451408,20.92037542,0.000497345,1,70,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,51909,7210,37.6,37330,8359,645,644,100,1623,1247,3180,46768,1893,52,52.8,7345,11095,9936,NA,35,512,1418,1243,2229,4949,5823,3958,7954,16.1,7429,37816,64,20817,822,3.9,142400,731,22330,51.7,0,0,0,287.7421149
1033,10.18745865,9.335426275,19.98724621,14.50886518,3.432065344,0.006734563,99.7,0.306,19.3,58.04957151,12.03451408,20.92037542,0.000497345,2,282,1,12,0,10,0,0,0,0,0,1,0,1,1,12,4,0,54762,9463,41.8,43789,8768,267,229,20,510,845,1093,53335,959,4,56.1,3695,14459,13155,14,63,715,1971,1545,3051,5303,7173,2940,8324,16.8,8165,39339,90,23258,1074,4.6,99400,655,25758,56.1,0,0,0,199.1616834
1035,11.64234472,11.57567563,22.9969219,16.31195703,4.022192068,0.004474988,310.4,0.43,21.6,38.804517,12.03451408,20.92037542,0.000497345,1,39,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,12277,2362,43,6788,6149,44,17,1,97,132,161,13067,103,0,19.1,870,3745,4539,NA,13,172,644,567,853,1321,1023,308,2939,26.4,3708,8414,NA,4494,235,5.2,70100,566,7093,17.1,0,0,0,58.20242699
1037,10.45471776,9.707514351,20.57433219,14.77615767,3.516980482,0.000736988,146.7,0.403,21.8,42.86410666,12.03451408,20.92037542,0.000497345,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10715,1970,44.2,7648,3582,40,16,15,135,103,230,11309,64,0,0,847,2863,2573,NA,10,148,294,465,629,1405,1047,364,1823,14.4,1820,7004,NA,4376,183,4.2,78300,547,6478,0,0,0,0,190.5940588
1039,10.50715793,9.830460832,20.70408298,14.93324742,3.532301973,0.001552837,155.5,0.317,20.5,87.40087912,12.03451408,20.92037542,0.000497345,2,147,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,36986,6939,42.4,32022,4716,214,155,1,135,522,483,37282,300,29,30.3,3115,10139,10710,13,31,535,1519,964,2124,4437,4278,1963,6447,17.6,7647,25584,52,15617,715,4.6,93600,589,18829,29.4,0,0,0,302.5275246
