"mState.Providence","Country.Region","population"
"Montgomery County, IA","United States",10234
"Muscatine County, IA","United States",43011
"O'Brien County, IA","United States",13984
"Osceola County, IA","United States",6154
"Page County, IA","United States",15527
"Palo Alto County, IA","United States",9133
"Plymouth County, IA","United States",24800
"Pocahontas County, IA","United States",7008
"Polk County, IA","United States",467711
"Pottawattamie County, IA","United States",93671
"Poweshiek County, IA","United States",18550
"Ringgold County, IA","United States",5068
"Sac County, IA","United States",10021
"Scott County, IA","United States",172126
"Shelby County, IA","United States",11927
"Sioux County, IA","United States",34937
"Story County, IA","United States",96021
"Tama County, IA","United States",17337
"Taylor County, IA","United States",6205
"Union County, IA","United States",12469
"Van Buren County, IA","United States",7344
"Wapello County, IA","United States",35173
"Warren County, IA","United States",48626
"Washington County, IA","United States",22247
"Wayne County, IA","United States",6385
"Webster County, IA","United States",37071
"Winnebago County, IA","United States",10609
"Winneshiek County, IA","United States",20709
"Woodbury County, IA","United States",102782
"Worth County, IA","United States",7569
"Wright County, IA","United States",12773
"Allen County, KS","United States",12717
"Anderson County, KS","United States",7808
"Atchison County, KS","United States",16398
"Barber County, KS","United States",4823
"Barton County, KS","United States",27103
"Bourbon County, KS","United States",14712
"Brown County, KS","United States",9776
"Butler County, KS","United States",66741
"Chase County, KS","United States",2679
"Chautauqua County, KS","United States",3402
"Cherokee County, KS","United States",20533
"Cheyenne County, KS","United States",2679
"Clark County, KS","United States",2096
"Clay County, KS","United States",8347
"Cloud County, KS","United States",9219
"Coffey County, KS","United States",8384
"Comanche County, KS","United States",1843
"Cowley County, KS","United States",35788
"Crawford County, KS","United States",39217
"Decatur County, KS","United States",2932
"Dickinson County, KS","United States",19303
"Doniphan County, KS","United States",7797
"Douglas County, KS","United States",118053
"Edwards County, KS","United States",2968
"Elk County, KS","United States",2605
"Ellis County, KS","United States",29029
"Ellsworth County, KS","United States",6343
"Finney County, KS","United States",37118
"Ford County, KS","United States",34536
"Franklin County, KS","United States",25609
"Geary County, KS","United States",37030
"Gove County, KS","United States",2640
"Graham County, KS","United States",2591
"Grant County, KS","United States",7733
"Gray County, KS","United States",6133
"Greeley County, KS","United States",1330
"Greenwood County, KS","United States",6244
"Hamilton County, KS","United States",2474
"Harper County, KS","United States",5817
"Harvey County, KS","United States",35073
"Haskell County, KS","United States",4064
"Hodgeman County, KS","United States",1893
"Jackson County, KS","United States",13338
"Jefferson County, KS","United States",18930
"Jewell County, KS","United States",2970
"Johnson County, KS","United States",580159
"Kearny County, KS","United States",3956
"Kingman County, KS","United States",7687
"Kiowa County, KS","United States",2564
"Labette County, KS","United States",20803
"Lane County, KS","United States",1670
"Leavenworth County, KS","United States",79315
"Lincoln County, KS","United States",3105
"Linn County, KS","United States",9536
"Logan County, KS","United States",2825
"Lyon County, KS","United States",33339
"McPherson County, KS","United States",28941
"Marion County, KS","United States",12103
"Marshall County, KS","United States",9936
"Meade County, KS","United States",4330
"Miami County, KS","United States",32553
"Mitchell County, KS","United States",6282
"Montgomery County, KS","United States",33314
"Morris County, KS","United States",5645
"Morton County, KS","United States",3007
"Nemaha County, KS","United States",10227
"Neosho County, KS","United States",16346
"Ness County, KS","United States",3005
"Norton County, KS","United States",5550
"Osage County, KS","United States",15847
"Osborne County, KS","United States",3683
"Ottawa County, KS","United States",5975
"Pawnee County, KS","United States",6838
"Phillips County, KS","United States",5428
"Pottawatomie County, KS","United States",23298
"Pratt County, KS","United States",9691
"Rawlins County, KS","United States",2506
"Reno County, KS","United States",63718
"Republic County, KS","United States",4725
"Rice County, KS","United States",9977
"Riley County, KS","United States",75247
"Rooks County, KS","United States",5174
"Rush County, KS","United States",3130
"Russell County, KS","United States",7039
"Saline County, KS","United States",55691
"Scott County, KS","United States",4964
"Sedgwick County, KS","United States",511574
"Seward County, KS","United States",23152
"Shawnee County, KS","United States",178725
"Sheridan County, KS","United States",2512
"Sherman County, KS","United States",5983
"Smith County, KS","United States",3704
"Stafford County, KS","United States",4236
"Stanton County, KS","United States",2072
"Stevens County, KS","United States",5806
"Sumner County, KS","United States",23535
"Thomas County, KS","United States",7904
"Trego County, KS","United States",2927
"Wabaunsee County, KS","United States",6951
"Wallace County, KS","United States",1518
"Washington County, KS","United States",5598
"Wichita County, KS","United States",2157
"Wilson County, KS","United States",8856
"Woodson County, KS","United States",3115
"Wyandotte County, KS","United States",163369
"Adair County, KY","United States",19027
"Allen County, KY","United States",20640
"Anderson County, KY","United States",21979
"Ballard County, KY","United States",8212
"Barren County, KY","United States",43570
"Bath County, KY","United States",12228
"Bell County, KY","United States",27337
"Boone County, KY","United States",127712
"Bourbon County, KY","United States",20116
"Boyd County, KY","United States",48325
"Boyle County, KY","United States",29809
"Bracken County, KY","United States",8321
"Breathitt County, KY","United States",13484
"Breckinridge County, KY","United States",20018
"Bullitt County, KY","United States",78702
"Butler County, KY","United States",12938
"Caldwell County, KY","United States",12681
"Calloway County, KY","United States",38343
"Campbell County, KY","United States",92066
"Carlisle County, KY","United States",4874
"Carroll County, KY","United States",10699
"Carter County, KY","United States",27158
"Casey County, KY","United States",15808
"Christian County, KY","United States",73309
"Clark County, KY","United States",35757
"Clay County, KY","United States",21013
"Clinton County, KY","United States",10174
"Crittenden County, KY","United States",9183
"Cumberland County, KY","United States",6759
"Daviess County, KY","United States",99259
"Edmonson County, KY","United States",12007
"Elliott County, KY","United States",7648
"Estill County, KY","United States",14375
"Fayette County, KY","United States",314488
"Fleming County, KY","United States",14637
"Floyd County, KY","United States",37756
"Franklin County, KY","United States",50375
"Fulton County, KY","United States",6238
"Gallatin County, KY","United States",8636
"Garrard County, KY","United States",17237
"Grant County, KY","United States",24757
"Graves County, KY","United States",37421
"Grayson County, KY","United States",26221
"Green County, KY","United States",11010
"Greenup County, KY","United States",36068
"Hancock County, KY","United States",8692
"Hardin County, KY","United States",106439
"Harlan County, KY","United States",27703
"Harrison County, KY","United States",18763
"Hart County, KY","United States",18454
"Henderson County, KY","United States",46407
"Henry County, KY","United States",15620
"Hickman County, KY","United States",4612
"Hopkins County, KY","United States",46222
"Jackson County, KY","United States",13352
"Jefferson County, KY","United States",763623
"Jessamine County, KY","United States",51961
"Johnson County, KY","United States",23175
"Kenton County, KY","United States",165012
"Knott County, KY","United States",15693
"Knox County, KY","United States",31730
"Larue County, KY","United States",14241
"Laurel County, KY","United States",60094
"Lawrence County, KY","United States",15745
"Lee County, KY","United States",6752
"Leslie County, KY","United States",10711
"Letcher County, KY","United States",23123
"Lewis County, KY","United States",13682
"Lincoln County, KY","United States",24463
"Livingston County, KY","United States",9316
"Logan County, KY","United States",26910
"Lyon County, KY","United States",8306
"McCracken County, KY","United States",65018
"McCreary County, KY","United States",17878
"McLean County, KY","United States",9512
"Madison County, KY","United States",87824
"Magoffin County, KY","United States",12808
"Marion County, KY","United States",19365
"Marshall County, KY","United States",31101
"Martin County, KY","United States",12307
"Mason County, KY","United States",17099
"Meade County, KY","United States",27924
"Menifee County, KY","United States",6358
"Mercer County, KY","United States",21407
"Metcalfe County, KY","United States",9909
"Monroe County, KY","United States",10667
"Montgomery County, KY","United States",27608
"Morgan County, KY","United States",13275
"Muhlenberg County, KY","United States",31183
"Nelson County, KY","United States",45126
"Nicholas County, KY","United States",7131
"Ohio County, KY","United States",24216
"Oldham County, KY","United States",64875
"Owen County, KY","United States",10730
"Owsley County, KY","United States",4461
"Pendleton County, KY","United States",14408
"Perry County, KY","United States",27565
"Pike County, KY","United States",61792
"Powell County, KY","United States",12269
"Pulaski County, KY","United States",63782
"Robertson County, KY","United States",2138
"Rockcastle County, KY","United States",16942
"Rowan County, KY","United States",23892
"Russell County, KY","United States",17662
"Scott County, KY","United States",52420
"Shelby County, KY","United States",45632
"Simpson County, KY","United States",18006
"Spencer County, KY","United States",17894
"Taylor County, KY","United States",25420
"Todd County, KY","United States",12531
"Trigg County, KY","United States",14233
"Trimble County, KY","United States",8769
"Union County, KY","United States",15050
"Warren County, KY","United States",122851
"Washington County, KY","United States",12063
"Wayne County, KY","United States",20464
"Webster County, KY","United States",13170
"Whitley County, KY","United States",36129
"Wolfe County, KY","United States",7259
"Woodford County, KY","United States",25793
"Acadia Parish, LA","United States",62577
"Allen Parish, LA","United States",25683
"Ascension Parish, LA","United States",119455
"Assumption Parish, LA","United States",22842
"Avoyelles Parish, LA","United States",41103
"Beauregard Parish, LA","United States",36462
"Bienville Parish, LA","United States",13786
"Bossier Parish, LA","United States",125175
"Caddo Parish, LA","United States",251460
"Calcasieu Parish, LA","United States",198788
"Caldwell Parish, LA","United States",9993
"Cameron Parish, LA","United States",6817
"Catahoula Parish, LA","United States",10147
"Claiborne Parish, LA","United States",16295
"Concordia Parish, LA","United States",20142
"De Soto Parish, LA","United States",27052
"East Baton Rouge Parish, LA","United States",446753
"East Carroll Parish, LA","United States",7307
"East Feliciana Parish, LA","United States",19696
"Evangeline Parish, LA","United States",33743
"Franklin Parish, LA","United States",20410
"Grant Parish, LA","United States",22343
"Iberia Parish, LA","United States",74103
"Iberville Parish, LA","United States",33095
"Jackson Parish, LA","United States",15858
"Jefferson Parish, LA","United States",436275
"Jefferson Davis Parish, LA","United States",31439
"Lafayette Parish, LA","United States",240098
"Lafourche Parish, LA","United States",98325
"LaSalle Parish, LA","United States",14974
"Lincoln Parish, LA","United States",47774
"Livingston Parish, LA","United States",137788
"Madison Parish, LA","United States",11514
"Morehouse Parish, LA","United States",26395
"Natchitoches Parish, LA","United States",39179
"Orleans Parish, LA","United States",389617
"Ouachita Parish, LA","United States",156761
"Plaquemines Parish, LA","United States",23495
"Pointe Coupee Parish, LA","United States",22251
"Rapides Parish, LA","United States",132141
"Red River Parish, LA","United States",8593
"Richland Parish, LA","United States",20523
"Sabine Parish, LA","United States",24186
"St. Bernard Parish, LA","United States",45408
"St. Charles Parish, LA","United States",52812
"St. Helena Parish, LA","United States",10567
"St. James Parish, LA","United States",21567
"St. John the Baptist Parish, LA","United States",43626
"St. Landry Parish, LA","United States",83848
"St. Martin Parish, LA","United States",53835
"St. Mary Parish, LA","United States",52810
"St. Tammany Parish, LA","United States",250088
"Tangipahoa Parish, LA","United States",128755
"Tensas Parish, LA","United States",4740
"Terrebonne Parish, LA","United States",113972
"Union Parish, LA","United States",22477
"Vermilion Parish, LA","United States",59875
"Vernon Parish, LA","United States",50803
"Washington Parish, LA","United States",46371
"Webster Parish, LA","United States",40021
"West Baton Rouge Parish, LA","United States",25490
"West Carroll Parish, LA","United States",11293
"West Feliciana Parish, LA","United States",15385
"Winn Parish, LA","United States",14568
"Androscoggin County, ME","United States",107233
"Aroostook County, ME","United States",68628
"Cumberland County, ME","United States",289977
"Franklin County, ME","United States",29991
"Hancock County, ME","United States",54659
"Kennebec County, ME","United States",119980
"Knox County, ME","United States",39855
"Lincoln County, ME","United States",33969
"Oxford County, ME","United States",57202
"Penobscot County, ME","United States",152692
"Piscataquis County, ME","United States",16931
"Sagadahoc County, ME","United States",35149
"Somerset County, ME","United States",51113
"Waldo County, ME","United States",39155
"Washington County, ME","United States",31625
"York County, ME","United States",201169
"Allegany County, MD","United States",72528
"Anne Arundel County, MD","United States",564195
"Baltimore County, MD","United States",831128
"Calvert County, MD","United States",90595
"Caroline County, MD","United States",32579
"Carroll County, MD","United States",167627
"Cecil County, MD","United States",102382
"Charles County, MD","United States",156118
"Dorchester County, MD","United States",32384
"Frederick County, MD","United States",245322
"Garrett County, MD","United States",29460
"Harford County, MD","United States",250290
"Howard County, MD","United States",313414
"Kent County, MD","United States",19787
"Montgomery County, MD","United States",1040116
"Prince George's County, MD","United States",909535
"Queen Anne's County, MD","United States",48904
"St. Mary's County, MD","United States",111413
"Somerset County, MD","United States",25768
"Talbot County, MD","United States",37512
"Washington County, MD","United States",149585
"Wicomico County, MD","United States",102370
"Worcester County, MD","United States",51540
"Baltimore City, MD","United States",621849
"Barnstable County, MA","United States",214333
"Berkshire County, MA","United States",127828
"Bristol County, MA","United States",556772
"Dukes County, MA","United States",17299
"Essex County, MA","United States",776043
"Franklin County, MA","United States",70601
"Hampden County, MA","United States",470690
"Hampshire County, MA","United States",161292
"Middlesex County, MA","United States",1585139
"Nantucket County, MA","United States",10925
"Norfolk County, MA","United States",696023
"Plymouth County, MA","United States",510393
"Suffolk County, MA","United States",778121
"Worcester County, MA","United States",818963
"Alcona County, MI","United States",10349
"Alger County, MI","United States",9383
"Allegan County, MI","United States",114625
"Alpena County, MI","United States",28803
"Antrim County, MI","United States",23154
"Arenac County, MI","United States",15261
"Baraga County, MI","United States",8575
"Barry County, MI","United States",59314
"Bay County, MI","United States",105659
"Benzie County, MI","United States",17457
"Berrien County, MI","United States",154636
"Branch County, MI","United States",43664
"Calhoun County, MI","United States",134314
"Cass County, MI","United States",51657
"Charlevoix County, MI","United States",26238
"Cheboygan County, MI","United States",25427
"Chippewa County, MI","United States",38033
"Clare County, MI","United States",30553
"Clinton County, MI","United States",77390
"Crawford County, MI","United States",13801
"Delta County, MI","United States",36377
"Dickinson County, MI","United States",25788
"Eaton County, MI","United States",108801
"Emmet County, MI","United States",33161
"Genesee County, MI","United States",410849
"Gladwin County, MI","United States",25164
"Gogebic County, MI","United States",15431
"Grand Traverse County, MI","United States",91636
"Gratiot County, MI","United States",41540
"Hillsdale County, MI","United States",45941
"Houghton County, MI","United States",36380
"Huron County, MI","United States",31883
"Ingham County, MI","United States",286085
"Ionia County, MI","United States",64223
"Iosco County, MI","United States",25345
"Iron County, MI","United States",11348
"Isabella County, MI","United States",70698
"Jackson County, MI","United States",159494
"Kalamazoo County, MI","United States",260263
"Kalkaska County, MI","United States",17260
"Kent County, MI","United States",636369
"Keweenaw County, MI","United States",2168
"Lake County, MI","United States",11424
"Lapeer County, MI","United States",88373
"Leelanau County, MI","United States",21981
"Lenawee County, MI","United States",98573
"Livingston County, MI","United States",187316
"Luce County, MI","United States",6415
"Mackinac County, MI","United States",10890
"Macomb County, MI","United States",864840
"Manistee County, MI","United States",24461
"Marquette County, MI","United States",67215
"Mason County, MI","United States",28783
"Mecosta County, MI","United States",43067
"Menominee County, MI","United States",23548
"Midland County, MI","United States",83632
"Missaukee County, MI","United States",14903
"Monroe County, MI","United States",149568
"Montcalm County, MI","United States",62945
"Montmorency County, MI","United States",9259
"Muskegon County, MI","United States",172790
"Newaygo County, MI","United States",47948
"Oakland County, MI","United States",1242304
"Oceana County, MI","United States",26105
"Ogemaw County, MI","United States",20937
"Ontonagon County, MI","United States",6007
"Osceola County, MI","United States",23058
"Oscoda County, MI","United States",8251
"Otsego County, MI","United States",24253
"Ottawa County, MI","United States",279955
"Presque Isle County, MI","United States",12841
"Roscommon County, MI","United States",23898
"Saginaw County, MI","United States",193307
"St. Clair County, MI","United States",159875
"St. Joseph County, MI","United States",61018
"Sanilac County, MI","United States",41475
"Schoolcraft County, MI","United States",8173
"Shiawassee County, MI","United States",68619
"Tuscola County, MI","United States",53777
"Van Buren County, MI","United States",75077
"Washtenaw County, MI","United States",358880
"Wayne County, MI","United States",1759335
"Wexford County, MI","United States",33003
"Aitkin County, MN","United States",15702
"Anoka County, MN","United States",344151
"Becker County, MN","United States",33386
"Beltrami County, MN","United States",45672
"Benton County, MN","United States",39710
"Big Stone County, MN","United States",5040
"Blue Earth County, MN","United States",65787
"Brown County, MN","United States",25313
"Carlton County, MN","United States",35569
"Carver County, MN","United States",98741
"Cass County, MN","United States",28706
"Chippewa County, MN","United States",12109
"Chisago County, MN","United States",54293
"Clay County, MN","United States",62324
"Clearwater County, MN","United States",8803
"Cook County, MN","United States",5194
"Cottonwood County, MN","United States",11549
"Crow Wing County, MN","United States",63428
"Dakota County, MN","United States",414686
"Dodge County, MN","United States",20364
"Douglas County, MN","United States",37075
"Faribault County, MN","United States",14050
"Fillmore County, MN","United States",20834
"Freeborn County, MN","United States",30613
"Goodhue County, MN","United States",46435
"Grant County, MN","United States",5903
"Hennepin County, MN","United States",1223149
"Houston County, MN","United States",18773
"Hubbard County, MN","United States",20655
"Isanti County, MN","United States",38429
"Itasca County, MN","United States",45435
"Jackson County, MN","United States",10079
"Kanabec County, MN","United States",15837
"Kandiyohi County, MN","United States",42542
"Kittson County, MN","United States",4424
"Koochiching County, MN","United States",12841
"Lac qui Parle County, MN","United States",6856
"Lake County, MN","United States",10631
"Lake of the Woods County, MN","United States",3923
"Le Sueur County, MN","United States",27663
"Lincoln County, MN","United States",5771
"Lyon County, MN","United States",25673
"McLeod County, MN","United States",35932
"Mahnomen County, MN","United States",5457
"Marshall County, MN","United States",9423
"Martin County, MN","United States",20022
"Meeker County, MN","United States",23102
"Mille Lacs County, MN","United States",25788
"Morrison County, MN","United States",32775
"Mower County, MN","United States",39116
"Murray County, MN","United States",8413
"Nicollet County, MN","United States",33347
"Nobles County, MN","United States",21770
"Norman County, MN","United States",6678
"Olmsted County, MN","United States",151436
"Otter Tail County, MN","United States",57716
"Pennington County, MN","United States",14219
"Pine County, MN","United States",29069
"Pipestone County, MN","United States",9271
"Polk County, MN","United States",31533
"Pope County, MN","United States",11041
"Ramsey County, MN","United States",538133
"Red Lake County, MN","United States",4055
"Redwood County, MN","United States",15471
"Renville County, MN","United States",14892
"Rice County, MN","United States",65400
"Rock County, MN","United States",9600
"Roseau County, MN","United States",15770
"St. Louis County, MN","United States",200431
"Scott County, MN","United States",141660
"Sherburne County, MN","United States",91705
"Sibley County, MN","United States",14875
"Stearns County, MN","United States",154708
"Steele County, MN","United States",36755
"Stevens County, MN","United States",9796
"Swift County, MN","United States",9340
"Todd County, MN","United States",24257
"Traverse County, MN","United States",3401
"Wabasha County, MN","United States",21239
"Wadena County, MN","United States",13875
"Waseca County, MN","United States",18989
"Washington County, MN","United States",251597
"Watonwan County, MN","United States",10952
"Wilkin County, MN","United States",6396
"Winona County, MN","United States",50885
"Wright County, MN","United States",131311
"Yellow Medicine County, MN","United States",9875
"Adams County, MS","United States",31254
"Alcorn County, MS","United States",37388
"Amite County, MS","United States",12574
"Attala County, MS","United States",19043
"Benton County, MS","United States",8182
"Bolivar County, MS","United States",33322
"Calhoun County, MS","United States",14717
"Carroll County, MS","United States",10243
"Chickasaw County, MS","United States",17328
"Choctaw County, MS","United States",8299
"Claiborne County, MS","United States",9150
"Clarke County, MS","United States",16006
"Clay County, MS","United States",20048
"Coahoma County, MS","United States",24620
"Copiah County, MS","United States",28773
"Covington County, MS","United States",19543
"DeSoto County, MS","United States",173323
"Forrest County, MS","United States",75944
"Franklin County, MS","United States",7743
"George County, MS","United States",23373
"Greene County, MS","United States",13522
"Grenada County, MS","United States",21578
"Hancock County, MS","United States",46420
"Harrison County, MS","United States",201410
"Hinds County, MS","United States",242891
"Holmes County, MS","United States",18340
"Humphreys County, MS","United States",8669
"Issaquena County, MS","United States",1337
"Itawamba County, MS","United States",23609
"Jackson County, MS","United States",141425
"Jasper County, MS","United States",16569
"Jefferson County, MS","United States",7507
"Jefferson Davis County, MS","United States",11665
"Jones County, MS","United States",68215
"Kemper County, MS","United States",9969
"Lafayette County, MS","United States",53154
"Lamar County, MS","United States",60618
"Lauderdale County, MS","United States",78524
"Lawrence County, MS","United States",12622
"Leake County, MS","United States",22763
"Lee County, MS","United States",85300
"Leflore County, MS","United States",30999
"Lincoln County, MS","United States",34649
"Lowndes County, MS","United States",59710
"Madison County, MS","United States",103465
"Marion County, MS","United States",25563
"Marshall County, MS","United States",35916
"Monroe County, MS","United States",35827
"Montgomery County, MS","United States",10152
"Neshoba County, MS","United States",29463
"Newton County, MS","United States",21747
"Noxubee County, MS","United States",11043
"Oktibbeha County, MS","United States",49800
"Panola County, MS","United States",34167
"Pearl River County, MS","United States",55191
"Perry County, MS","United States",12277
"Pike County, MS","United States",39956
"Pontotoc County, MS","United States",30908
"Prentiss County, MS","United States",25459
"Quitman County, MS","United States",7486
"Rankin County, MS","United States",149039
"Scott County, MS","United States",28265
"Sharkey County, MS","United States",4585
"Simpson County, MS","United States",27222
"Smith County, MS","United States",16059
"Stone County, MS","United States",18070
"Sunflower County, MS","United States",27005
"Tallahatchie County, MS","United States",14588
"Tate County, MS","United States",28296
"Tippah County, MS","United States",22131
"Tishomingo County, MS","United States",19552
"Tunica County, MS","United States",10343
"Union County, MS","United States",28429
"Walthall County, MS","United States",14638
"Warren County, MS","United States",47485
"Washington County, MS","United States",48130
"Wayne County, MS","United States",20566
"Webster County, MS","United States",9899
"Wilkinson County, MS","United States",9122
"Winston County, MS","United States",18317
"Yalobusha County, MS","United States",12447
"Yazoo County, MS","United States",27387
"Adair County, MO","United States",25378
"Andrew County, MO","United States",17296
"Atchison County, MO","United States",5306
"Audrain County, MO","United States",26096
"Barry County, MO","United States",35829
"Barton County, MO","United States",11880
"Bates County, MO","United States",16446
"Benton County, MO","United States",18670
"Bollinger County, MO","United States",12182
"Boone County, MO","United States",174974
"Buchanan County, MO","United States",89100
"Butler County, MO","United States",42951
"Caldwell County, MO","United States",9014
"Callaway County, MO","United States",44834
"Camden County, MO","United States",44237
"Cape Girardeau County, MO","United States",78572
"Carroll County, MO","United States",8992
"Carter County, MO","United States",6263
"Cass County, MO","United States",101603
"Cedar County, MO","United States",13934
"Chariton County, MO","United States",7589
"Christian County, MO","United States",83279
"Clark County, MO","United States",6801
"Clay County, MO","United States",235637
"Clinton County, MO","United States",20609
"Cole County, MO","United States",76720
"Cooper County, MO","United States",17642
"Crawford County, MO","United States",24526
"Dade County, MO","United States",7595
"Dallas County, MO","United States",16393
"Daviess County, MO","United States",8253
"DeKalb County, MO","United States",12687
"Dent County, MO","United States",15593
"Douglas County, MO","United States",13373
"Dunklin County, MO","United States",30895
"Franklin County, MO","United States",102426
"Gasconade County, MO","United States",14858
"Gentry County, MO","United States",6692
"Greene County, MO","United States",288072
"Grundy County, MO","United States",10097
"Harrison County, MO","United States",8615
"Henry County, MO","United States",21737
"Hickory County, MO","United States",9201
"Holt County, MO","United States",4484
"Howard County, MO","United States",10139
"Howell County, MO","United States",40117
"Iron County, MO","United States",10125
"Jackson County, MO","United States",687623
"Jasper County, MO","United States",118596
"Jefferson County, MO","United States",224124
"Johnson County, MO","United States",53951
"Knox County, MO","United States",3910
"Laclede County, MO","United States",35473
"Lafayette County, MO","United States",32701
"Lawrence County, MO","United States",38180
"Lewis County, MO","United States",10207
"Lincoln County, MO","United States",54696
"Linn County, MO","United States",12308
"Livingston County, MO","United States",15028
"McDonald County, MO","United States",22643
"Macon County, MO","United States",15335
"Madison County, MO","United States",12408
"Maries County, MO","United States",8963
"Marion County, MO","United States",28880
"Mercer County, MO","United States",3694
"Miller County, MO","United States",25113
"Mississippi County, MO","United States",14036
"Moniteau County, MO","United States",15963
"Monroe County, MO","United States",8583
"Montgomery County, MO","United States",11703
"Morgan County, MO","United States",20171
"New Madrid County, MO","United States",18208
"Newton County, MO","United States",58615
"Nodaway County, MO","United States",22810
"Oregon County, MO","United States",10953
"Osage County, MO","United States",13628
"Ozark County, MO","United States",9409
"Pemiscot County, MO","United States",17482
"Perry County, MO","United States",19183
"Pettis County, MO","United States",42255
"Phelps County, MO","United States",44794
"Pike County, MO","United States",18348
"Platte County, MO","United States",96096
"Polk County, MO","United States",31229
"Pulaski County, MO","United States",53221
"Putnam County, MO","United States",4858
"Ralls County, MO","United States",10196
"Randolph County, MO","United States",25104
"Ray County, MO","United States",22810
"Reynolds County, MO","United States",6432
"Ripley County, MO","United States",13802
"St. Charles County, MO","United States",385590
"St. Clair County, MO","United States",9440
"Ste. Genevieve County, MO","United States",17919
"St. Francois County, MO","United States",66520
"St. Louis County, MO","United States",1003362
"Saline County, MO","United States",23258
"Schuyler County, MO","United States",4436
"Scotland County, MO","United States",4854
"Scott County, MO","United States",39008
"Shannon County, MO","United States",8258
"Shelby County, MO","United States",6128
"Stoddard County, MO","United States",29862
"Stone County, MO","United States",30943
"Sullivan County, MO","United States",6353
"Taney County, MO","United States",54592
"Texas County, MO","United States",25690
"Vernon County, MO","United States",20826
"Warren County, MO","United States",33513
"Washington County, MO","United States",24788
"Wayne County, MO","United States",13405
"Webster County, MO","United States",37483
"Worth County, MO","United States",2057
"Wright County, MO","United States",18268
"St. Louis City, MO","United States",315685
"Beaverhead County, MT","United States",9300
"Big Horn County, MT","United States",13242
"Blaine County, MT","United States",6577
"Broadwater County, MT","United States",5689
"Carbon County, MT","United States",10408
"Carter County, MT","United States",1180
"Cascade County, MT","United States",82278
"Chouteau County, MT","United States",5767
"Custer County, MT","United States",12135
"Daniels County, MT","United States",1760
"Dawson County, MT","United States",9625
"Deer Lodge County, MT","United States",9139
"Fallon County, MT","United States",3190
"Fergus County, MT","United States",11427
"Flathead County, MT","United States",96165
"Gallatin County, MT","United States",100739
"Garfield County, MT","United States",1314
"Glacier County, MT","United States",13647
"Golden Valley County, MT","United States",827
"Granite County, MT","United States",3240
"Hill County, MT","United States",16572
"Jefferson County, MT","United States",11645
"Judith Basin County, MT","United States",1926
"Lake County, MT","United States",29457
"Lewis and Clark County, MT","United States",66418
"Liberty County, MT","United States",2408
"Lincoln County, MT","United States",19052
"McCone County, MT","United States",1683
"Madison County, MT","United States",7915
"Meagher County, MT","United States",1830
"Mineral County, MT","United States",4251
"Missoula County, MT","United States",114181
"Musselshell County, MT","United States",4582
"Park County, MT","United States",15972
"Petroleum County, MT","United States",475
"Phillips County, MT","United States",4169
"Pondera County, MT","United States",6184
"Powder River County, MT","United States",1773
"Powell County, MT","United States",6840
"Prairie County, MT","United States",1160
"Ravalli County, MT","United States",41373
"Richland County, MT","United States",11960
"Roosevelt County, MT","United States",11476
"Rosebud County, MT","United States",9398
"Sanders County, MT","United States",11336
"Sheridan County, MT","United States",3687
"Silver Bow County, MT","United States",34622
"Stillwater County, MT","United States",9486
"Sweet Grass County, MT","United States",3634
"Teton County, MT","United States",6104
"Toole County, MT","United States",5087
"Treasure County, MT","United States",697
"Valley County, MT","United States",7659
"Wheatland County, MT","United States",2110
"Wibaux County, MT","United States",1130
"Yellowstone County, MT","United States",157048
"Adams County, NE","United States",31587
"Antelope County, NE","United States",6414
"Arthur County, NE","United States",456
"Banner County, NE","United States",788
"Blaine County, NE","United States",487
"Boone County, NE","United States",5315
"Box Butte County, NE","United States",11337
"Boyd County, NE","United States",2006
"Brown County, NE","United States",2946
"Buffalo County, NE","United States",48863
"Burt County, NE","United States",6585
"Butler County, NE","United States",8115
"Cass County, NE","United States",25512
"Cedar County, NE","United States",8564
"Chase County, NE","United States",3956
"Cherry County, NE","United States",5848
"Cheyenne County, NE","United States",10167
"Clay County, NE","United States",6309
"Colfax County, NE","United States",10520
"Cuming County, NE","United States",9125
"Custer County, NE","United States",10806
"Dakota County, NE","United States",20781
"Dawes County, NE","United States",9055
"Dawson County, NE","United States",23886
"Deuel County, NE","United States",1921
"Dixon County, NE","United States",5797
"Dodge County, NE","United States",36706
"Douglas County, NE","United States",550064
"Dundy County, NE","United States",1799
"Fillmore County, NE","United States",5619
"Franklin County, NE","United States",2985
"Frontier County, NE","United States",2624
"Furnas County, NE","United States",4862
"Gage County, NE","United States",21900
"Garden County, NE","United States",1918
"Garfield County, NE","United States",2028
"Gosper County, NE","United States",1973
"Grant County, NE","United States",641
"Greeley County, NE","United States",2429
"Hall County, NE","United States",61680
"Hamilton County, NE","United States",9190
"Harlan County, NE","United States",3452
"Hayes County, NE","United States",932
"Hitchcock County, NE","United States",2883
"Holt County, NE","United States",10313
"Hooker County, NE","United States",732
"Howard County, NE","United States",6409
"Jefferson County, NE","United States",7263
"Johnson County, NE","United States",5173
"Kearney County, NE","United States",6585
"Keith County, NE","United States",8063
"Keya Paha County, NE","United States",804
"Kimball County, NE","United States",3689
"Knox County, NE","United States",8543
"Lancaster County, NE","United States",306468
"Lincoln County, NE","United States",35656
"Logan County, NE","United States",777
"Loup County, NE","United States",585
"McPherson County, NE","United States",475
"Madison County, NE","United States",35039
