"mState.Providence","Country.Region","population"
"Madison County, AR","United States",15767
"Marion County, AR","United States",16185
"Miller County, AR","United States",43908
"Mississippi County, AR","United States",43738
"Monroe County, AR","United States",7399
"Montgomery County, AR","United States",8970
"Nevada County, AR","United States",8558
"Newton County, AR","United States",7913
"Ouachita County, AR","United States",24358
"Perry County, AR","United States",10189
"Phillips County, AR","United States",19513
"Pike County, AR","United States",10824
"Poinsett County, AR","United States",24040
"Polk County, AR","United States",20216
"Pope County, AR","United States",63390
"Prairie County, AR","United States",8291
"Pulaski County, AR","United States",392664
"Randolph County, AR","United States",17469
"St. Francis County, AR","United States",26589
"Saline County, AR","United States",117460
"Scott County, AR","United States",10513
"Searcy County, AR","United States",7869
"Sebastian County, AR","United States",127780
"Sevier County, AR","United States",17290
"Sharp County, AR","United States",16912
"Stone County, AR","United States",12456
"Union County, AR","United States",40144
"Van Buren County, AR","United States",16771
"Washington County, AR","United States",225477
"White County, AR","United States",79161
"Woodruff County, AR","United States",6741
"Yell County, AR","United States",21713
"Alameda County, CA","United States",1638215
"Alpine County, CA","United States",1110
"Amador County, CA","United States",37001
"Butte County, CA","United States",225411
"Calaveras County, CA","United States",44828
"Colusa County, CA","United States",21482
"Contra Costa County, CA","United States",1126745
"Del Norte County, CA","United States",27254
"El Dorado County, CA","United States",184452
"Fresno County, CA","United States",974861
"Glenn County, CA","United States",28017
"Humboldt County, CA","United States",135727
"Imperial County, CA","United States",180191
"Inyo County, CA","United States",18260
"Kern County, CA","United States",882176
"Kings County, CA","United States",150965
"Lake County, CA","United States",64591
"Lassen County, CA","United States",31345
"Los Angeles County, CA","United States",10170292
"Madera County, CA","United States",154998
"Marin County, CA","United States",261221
"Mariposa County, CA","United States",17531
"Mendocino County, CA","United States",87649
"Merced County, CA","United States",268455
"Modoc County, CA","United States",8965
"Mono County, CA","United States",13909
"Monterey County, CA","United States",433898
"Napa County, CA","United States",142456
"Nevada County, CA","United States",98877
"Orange County, CA","United States",3169776
"Placer County, CA","United States",375391
"Plumas County, CA","United States",18409
"Riverside County, CA","United States",2361026
"Sacramento County, CA","United States",1501335
"San Benito County, CA","United States",58792
"San Bernardino County, CA","United States",2128133
"San Diego County, CA","United States",3299521
"San Francisco County, CA","United States",864816
"San Joaquin County, CA","United States",726106
"San Luis Obispo County, CA","United States",281401
"San Mateo County, CA","United States",765135
"Santa Barbara County, CA","United States",444769
"Santa Clara County, CA","United States",1918044
"Santa Cruz County, CA","United States",274146
"Shasta County, CA","United States",179533
"Sierra County, CA","United States",2967
"Siskiyou County, CA","United States",43554
"Solano County, CA","United States",436092
"Sonoma County, CA","United States",502146
"Stanislaus County, CA","United States",538388
"Sutter County, CA","United States",96463
"Tehama County, CA","United States",63308
"Trinity County, CA","United States",13069
"Tulare County, CA","United States",459863
"Tuolumne County, CA","United States",53709
"Ventura County, CA","United States",850536
"Yolo County, CA","United States",213016
"Yuba County, CA","United States",74492
"Adams County, CO","United States",491337
"Alamosa County, CO","United States",16496
"Arapahoe County, CO","United States",631096
"Archuleta County, CO","United States",12352
"Baca County, CO","United States",3615
"Bent County, CO","United States",5830
"Boulder County, CO","United States",319372
"Broomfield County, CO","United States",65065
"Chaffee County, CO","United States",18658
"Cheyenne County, CO","United States",1829
"Clear Creek County, CO","United States",9303
"Conejos County, CO","United States",8130
"Costilla County, CO","United States",3584
"Crowley County, CO","United States",5562
"Custer County, CO","United States",4445
"Delta County, CO","United States",29979
"Denver County, CO","United States",682545
"Dolores County, CO","United States",1978
"Douglas County, CO","United States",322387
"Eagle County, CO","United States",53605
"Elbert County, CO","United States",24735
"El Paso County, CO","United States",674471
"Fremont County, CO","United States",46692
"Garfield County, CO","United States",58095
"Gilpin County, CO","United States",5828
"Grand County, CO","United States",14615
"Gunnison County, CO","United States",16067
"Hinsdale County, CO","United States",774
"Huerfano County, CO","United States",6492
"Jackson County, CO","United States",1356
"Jefferson County, CO","United States",565524
"Kiowa County, CO","United States",1423
"Kit Carson County, CO","United States",7758
"Lake County, CO","United States",7485
"La Plata County, CO","United States",54688
"Larimer County, CO","United States",333577
"Las Animas County, CO","United States",14058
"Lincoln County, CO","United States",5557
"Logan County, CO","United States",22036
"Mesa County, CO","United States",148513
"Mineral County, CO","United States",726
"Moffat County, CO","United States",12937
"Montezuma County, CO","United States",26168
"Montrose County, CO","United States",40946
"Morgan County, CO","United States",28360
"Otero County, CO","United States",18343
"Ouray County, CO","United States",4691
"Park County, CO","United States",16510
"Phillips County, CO","United States",4349
"Pitkin County, CO","United States",17787
"Prowers County, CO","United States",11954
"Pueblo County, CO","United States",163591
