"region","b1","start_date","loss","initial.infected"
"Forrest County, MS",0.38,"2020-03-14",0.367337084140513,1
"Forsyth County, NC",0.94,"2020-03-13",0.265221639317621,1
"Fort Bend County, TX",1.17,"2020-03-13",0.646699845756655,1
"Franklin County, MA",1.09,"2020-03-06",1.01328110212758,1
"Franklin County, MO",0.57,"2020-03-13",0.616639675208659,1
"Franklin County, NC",0,"2020-03-14",0.293806500827346,1
"Franklin County, OH",0.95,"2020-03-06",0.603517533790862,1
"Frederick County, MD",0.83,"2020-03-07",1.61615536605598,1
"Fresno County, CA",0,"2020-03-10",0.231754057935693,1
"Fulton County, GA",0.67,"2020-02-27",3.38614104945241,1
"Fulton County, NY",0,"2020-03-10",0.272191942248486,1
"Geauga County, OH",0,"2020-03-10",0.286663023551393,1
"Genesee County, MI",1.15,"2020-03-06",1.60654466946296,1
"Gloucester County, NJ",0.48,"2020-03-07",0.342143563816764,1
"Gordon County, GA",0.37,"2020-03-06",0.376521066908038,1
"Grant County, IN",0.28,"2020-03-14",0.451914911037387,1
"Granville County, NC",0,"2020-03-14",0.293809542590219,1
"Graves County, KY",0,"2020-03-16",0.229786241608857,1
"Greene County, IN",0,"2020-03-16",0.216731338036745,1
"Greenville County, SC",1.13,"2020-03-13",0.746381436169793,1
"Guilford County, NC",0.66,"2020-03-06",1.15101983030076,1
"Gwinnett County, GA",0.79,"2020-03-06",1.46359260257539,1
"Habersham County, GA",0.13,"2020-03-16",0.407979694192875,1
"Hall County, GA",0,"2020-01-27",0.878609978278398,1
"Hall County, NE",0.38,"2020-02-24",6.81000273655393,1
"Hamilton County, IN",1.28,"2020-03-12",0.760261230401997,1
"Hamilton County, OH",0.33,"2020-03-07",0.57516350857203,1
"Hamilton County, TN",0.68,"2020-03-07",0.945081037419985,1
"Hampden County, MA",0.93,"2020-02-29",4.34560289812667,1
"Hampshire County, MA",0.7,"2020-03-06",0.382434094893931,1
"Hancock County, GA",0,"2020-03-16",0.357519395204897,1
"Hancock County, IN",0.43,"2020-03-07",0.276805631707897,1
"Hanover County, VA",0,"2020-03-16",0.298628169391914,1
"Harford County, MD",0,"2020-03-10",0.368073503297955,1
"Harnett County, NC",1.02,"2020-03-13",0.282912775576183,1
"Harris County, TX",0.97,"2020-03-06",1.65356389049652,1
"Harrison County, IN",0.23,"2020-03-15",0.256611164743966,1
"Harrison County, TX",0.23,"2020-03-15",0.247120916548216,1
"Hartford County, CT",1.33,"2020-03-06",1.42368878652931,1
"Henderson County, NC",0.28,"2020-03-14",0.440433411307615,1
"Hendricks County, IN",1.3,"2020-03-13",0.586032184991538,1
"Hendry County, FL",0,"2020-03-16",0.329925580082745,1
"Hennepin County, MN",1.08,"2020-03-06",1.36234371478803,1
"Henrico County, VA",1.01,"2020-03-06",3.73333084263127,1
"Hidalgo County, TX",0.57,"2020-03-20",0.234960103738591,1
"Hillsdale County, MI",1.16,"2020-03-13",0.297254671716836,1
"Hinds County, MS",0.48,"2020-03-14",0.607999773035737,1
"Hopkins County, KY",1.23,"2020-03-13",0.278754990056933,1
"Horry County, SC",0.58,"2020-03-05",0.609490501349526,1
"Houston County, GA",0.42,"2020-03-01",0.801233251730248,1
"Howard County, IN",0.38,"2020-03-07",0.26325678598784,1
"Howard County, MD",0.68,"2020-03-07",0.606548639134199,1
"Hudson County, NJ",0.98,"2020-02-28",6.92608996603348,1
"Hunterdon County, NJ",0,"2020-03-16",0.175655312229368,1
"Imperial County, CA",0,"2020-03-10",0.231762552569867,1
"Indian River County, FL",0,"2020-03-16",0.294109331236072,1
"Ingham County, MI",0.48,"2020-03-14",0.236766585302322,1
"Jackson County, IL",0.02,"2020-03-13",0.224963359523043,1
"Jackson County, MI",1.33,"2020-03-13",0.366562051174485,1
"Jackson County, MO",1.08,"2020-03-13",1.55197250240176,1
"Jackson County, MS",0.42,"2020-03-06",0.856486270762348,1
"Jefferson County, AL",1.27,"2020-03-12",1.26601630056044,1
"Jefferson County, AR",0.02,"2020-03-16",0.245629663133696,1
"Jefferson County, CO",1.11,"2020-03-06",1.04017535877471,1
"Jefferson County, KY",1.29,"2020-03-06",1.42652483477307,1
"Jefferson County, MO",1.09,"2020-03-20",0.642702600007819,1
"Jefferson County, TX",0.84,"2020-03-13",0.624788029014328,1
"Johnson County, IN",0.37,"2020-02-26",0.529978109226196,1
"Johnson County, KS",0.81,"2020-03-06",0.698889203451462,1
"Johnston County, NC",1.27,"2020-03-12",0.424422587480227,1
"Jones County, MS",0,"2020-03-17",0.344615387095765,1
"Kalamazoo County, MI",1.13,"2020-03-13",0.410328319207429,1
"Kanawha County, WV",0,"2020-03-14",0.247177980995411,1
"Kane County, IL",1.15,"2020-03-06",0.811212752886015,1
"Kankakee County, IL",0.02,"2020-03-12",0.373935179730909,1
"Kendall County, IL",0.48,"2020-03-07",0.430849384062314,1
"Kenosha County, WI",0.02,"2020-03-16",0.238342947215438,1
"Kent County, DE",0.53,"2020-03-07",0.442722682550322,1
"Kent County, MD",0,"2020-03-10",0.378831310613019,1
"Kent County, MI",1.33,"2020-03-13",0.472110034351687,1
"Kent County, RI",0,"2020-03-16",0.274236317371154,1
"Kenton County, KY",0.68,"2020-03-07",1.19002796809623,1
"Kern County, CA",0.23,"2020-03-07",0.253519445288074,1
"King County, WA",0.47,"2020-01-30",7.83322167813188,1
"Kings County, CA",0,"2020-03-10",0.231764570127669,1
"Kings County, NY",1.09,"2020-02-21",24.1232492879861,1
"Lackawanna County, PA",1,"2020-03-06",0.477645429899603,1
"Lake County, FL",0.82,"2020-03-13",0.444097094277352,1
"Lake County, IL",0.02,"2020-01-27",1.48422488531509,1
"Lake County, IN",0.8,"2020-03-06",0.970855981329013,1
"Lake County, OH",0.63,"2020-03-07",0.455166780420234,1
"Lancaster County, PA",1,"2020-03-06",0.878843292105405,1
"Lapeer County, MI",0,"2020-03-16",0.2218250485322,1
"LaPorte County, IN",0.81,"2020-03-13",0.451519035330513,1
"Larimer County, CO",0.85,"2020-03-06",0.729221200146968,1
"LaSalle County, IL",0.99,"2020-03-13",0.211211678743248,1
"Lauderdale County, MS",0.96,"2020-03-13",0.939205248935628,1
"Lawrence County, IN",1.27,"2020-03-12",0.828988883050547,1
"Lebanon County, PA",0,"2020-03-10",0.284192984851659,1
"Lee County, AL",1.21,"2020-03-13",0.548502923060642,1
"Lee County, FL",0.4,"2020-02-20",0.806922419130645,1
"Lee County, GA",0.52,"2020-02-27",1.37464865641669,1
"Lee County, SC",0.8,"2020-03-13",0.389765957223979,1
"Leflore County, MS",0.76,"2020-03-13",0.551389026922899,1
"Lehigh County, PA",1.15,"2020-03-06",0.672648799665469,1
"Lexington County, SC",0.57,"2020-03-06",0.667237642685304,1
"Lincoln County, MS",0.63,"2020-03-14",0.737306184358234,1
"Linn County, IA",0.77,"2020-03-06",0.938584475876525,1
"Litchfield County, CT",0.18,"2020-03-08",0.354985808678358,1
