"region","b1","start_date","loss","initial.infected","state"
"Delaware County, OK",0,2020-03-17,0.205771576527977,1,"Delaware County, OK"
"Delaware County, PA",1.27,2020-03-05,1.28881658295948,1,"Delaware County, PA"
"Denton County, TX",0.66,2020-03-06,0.686532771191829,1,"Denton County, TX"
"Denver County, CO",1.14,2020-03-06,2.06256342858901,1,"Denver County, CO"
"District of Columbia",0.53,2020-02-23,5.36261999110765,1,"District of Columbia"
"Dougherty County, GA",0.84,2020-02-28,3.94986614998572,1,"Dougherty County, GA"
"Douglas County, CO",1.33,2020-03-13,0.999999917931504,1,"Douglas County, CO"
"DuPage County, IL",1.33,2020-03-06,1.24640047969257,1,"DuPage County, IL"
"Durham County, NC",0.18,2020-03-14,0.273925977145502,1,"Durham County, NC"
"Dutchess County, NY",1.04,2020-03-06,0.919662402384092,1,"Dutchess County, NY"
"Duval County, FL",0.48,2020-02-27,0.813354972789344,1,"Duval County, FL"
"Elkhart County, IN",1.21,2020-03-13,0.460874103664523,1,"Elkhart County, IN"
"El Paso County, CO",0.74,2020-02-28,0.760907649968503,1,"El Paso County, CO"
"El Paso County, TX",1.26,2020-03-20,0.524592652124741,1,"El Paso County, TX"
"Erie County, NY",0.8,2020-02-28,2.40582079297972,1,"Erie County, NY"
"Escambia County, FL",0.74,2020-03-13,0.480963043308782,1,"Escambia County, FL"
"Essex County, MA",0.88,2020-02-29,2.97802398046962,1,"Essex County, MA"
"Essex County, NJ",1.24,2020-02-28,12.0674389817079,1,"Essex County, NJ"
"Fairfax County, VA",0.85,2020-03-06,1.86270674964036,1,"Fairfax County, VA"
"Fairfield County, CT",1.16,2020-02-28,4.40851580676208,1,"Fairfield County, CT"
"Florence County, SC",0.37,2020-02-27,0.466953654194368,1,"Florence County, SC"
"Florida",1.2,2020-02-28,19.5684473988286,1,"Florida"
"Floyd County, IN",0,2020-03-16,0.227750486560891,1,"Floyd County, IN"
"Forrest County, MS",0.38,2020-03-14,0.367337084140513,1,"Forrest County, MS"
"Fort Bend County, TX",1.17,2020-03-13,0.646699845756655,1,"Fort Bend County, TX"
"Franklin County, MA",1.09,2020-03-06,1.01328110212758,1,"Franklin County, MA"
"Franklin County, OH",0.95,2020-03-06,0.603517533790862,1,"Franklin County, OH"
"Frederick County, MD",0.83,2020-03-07,1.61615536605598,1,"Frederick County, MD"
"Fulton County, GA",0.67,2020-02-27,3.38614104945241,1,"Fulton County, GA"
"Geauga County, OH",0,2020-03-10,0.286663023551393,1,"Geauga County, OH"
"Genesee County, MI",1.15,2020-03-06,1.60654466946296,1,"Genesee County, MI"
"Georgia",0.63,2020-02-13,16.4722503988258,1,"Georgia"
"Gloucester County, NJ",0.48,2020-03-07,0.342143563816764,1,"Gloucester County, NJ"
"Graves County, KY",0,2020-03-16,0.229786241608857,1,"Graves County, KY"
"Greenville County, SC",1.13,2020-03-13,0.746381436169793,1,"Greenville County, SC"
"Guilford County, NC",0.66,2020-03-06,1.15101983030076,1,"Guilford County, NC"
"Gwinnett County, GA",0.79,2020-03-06,1.46359260257539,1,"Gwinnett County, GA"
"Habersham County, GA",0.13,2020-03-16,0.407979694192875,1,"Habersham County, GA"
"Hall County, GA",0,2020-01-27,0.878609978278398,1,"Hall County, GA"
"Hamilton County, IN",1.28,2020-03-12,0.760261230401997,1,"Hamilton County, IN"
"Hamilton County, OH",0.33,2020-03-07,0.57516350857203,1,"Hamilton County, OH"
"Hampden County, MA",0.93,2020-02-29,4.34560289812667,1,"Hampden County, MA"
"Hampshire County, MA",0.7,2020-03-06,0.382434094893931,1,"Hampshire County, MA"
"Hancock County, IN",0.43,2020-03-07,0.276805631707897,1,"Hancock County, IN"
"Hanover County, VA",0,2020-03-16,0.298628169391914,1,"Hanover County, VA"
"Harford County, MD",0,2020-03-10,0.368073503297955,1,"Harford County, MD"
"Harris County, TX",0.97,2020-03-06,1.65356389049652,1,"Harris County, TX"
"Hartford County, CT",1.33,2020-03-06,1.42368878652931,1,"Hartford County, CT"
"Hawaii",0.63,2020-03-07,0.831336039310208,1,"Hawaii"
"Henderson County, NC",0.28,2020-03-14,0.440433411307615,1,"Henderson County, NC"
"Hendricks County, IN",1.3,2020-03-13,0.586032184991538,1,"Hendricks County, IN"
"Hennepin County, MN",1.08,2020-03-06,1.36234371478803,1,"Hennepin County, MN"
"Henrico County, VA",1.01,2020-03-06,3.73333084263127,1,"Henrico County, VA"
"Hillsdale County, MI",1.16,2020-03-13,0.297254671716836,1,"Hillsdale County, MI"
"Hopkins County, KY",1.23,2020-03-13,0.278754990056933,1,"Hopkins County, KY"
"Horry County, SC",0.58,2020-03-05,0.609490501349526,1,"Horry County, SC"
"Howard County, MD",0.68,2020-03-07,0.606548639134199,1,"Howard County, MD"
"Hudson County, NJ",0.98,2020-02-28,6.92608996603348,1,"Hudson County, NJ"
"Hunterdon County, NJ",0,2020-03-16,0.175655312229368,1,"Hunterdon County, NJ"
"Idaho",0.56,2020-02-29,1.02694057242692,1,"Idaho"
"Illinois",0.92,2020-02-21,14.6303991216895,1,"Illinois"
"Indiana",1.24,2020-02-28,4.03456970681503,1,"Indiana"
"Ingham County, MI",0.48,2020-03-14,0.236766585302322,1,"Ingham County, MI"
"Iowa",1.2,2020-03-06,1.58974763603088,1,"Iowa"
"Jackson County, MI",1.33,2020-03-13,0.366562051174485,1,"Jackson County, MI"
"Jackson County, MO",1.08,2020-03-13,1.55197250240176,1,"Jackson County, MO"
"Jefferson County, AL",1.27,2020-03-12,1.26601630056044,1,"Jefferson County, AL"
"Jefferson County, CO",1.11,2020-03-06,1.04017535877471,1,"Jefferson County, CO"
"Jefferson County, KY",1.29,2020-03-06,1.42652483477307,1,"Jefferson County, KY"
"Jefferson County, TX",0.84,2020-03-13,0.624788029014328,1,"Jefferson County, TX"
"Johnson County, IN",0.37,2020-02-26,0.529978109226196,1,"Johnson County, IN"
"Johnson County, KS",0.81,2020-03-06,0.698889203451462,1,"Johnson County, KS"
"Johnston County, NC",1.27,2020-03-12,0.424422587480227,1,"Johnston County, NC"
"Kalamazoo County, MI",1.13,2020-03-13,0.410328319207429,1,"Kalamazoo County, MI"
"Kane County, IL",1.15,2020-03-06,0.811212752886015,1,"Kane County, IL"
"Kankakee County, IL",0.02,2020-03-12,0.373935179730909,1,"Kankakee County, IL"
"Kansas",1.23,2020-03-06,1.18534105459007,1,"Kansas"
"Kent County, DE",0.53,2020-03-07,0.442722682550322,1,"Kent County, DE"
"Kent County, MI",1.33,2020-03-13,0.472110034351687,1,"Kent County, MI"
"Kent County, RI",0,2020-03-16,0.274236317371154,1,"Kent County, RI"
"Kenton County, KY",0.68,2020-03-07,1.19002796809623,1,"Kenton County, KY"
"Kentucky",0.98,2020-02-29,3.87262705478614,1,"Kentucky"
"King County, WA",0.47,2020-01-30,7.83322167813188,1,"King County, WA"
"Kings County, NY",1.09,2020-02-21,24.1232492879861,1,"Kings County, NY"
"Lackawanna County, PA",1,2020-03-06,0.477645429899603,1,"Lackawanna County, PA"
"Lake County, IL",0.02,2020-01-27,1.48422488531509,1,"Lake County, IL"
"Lake County, IN",0.8,2020-03-06,0.970855981329013,1,"Lake County, IN"
"Lancaster County, PA",1,2020-03-06,0.878843292105405,1,"Lancaster County, PA"
"Lapeer County, MI",0,2020-03-16,0.2218250485322,1,"Lapeer County, MI"
"Larimer County, CO",0.85,2020-03-06,0.729221200146968,1,"Larimer County, CO"
"Lauderdale County, MS",0.96,2020-03-13,0.939205248935628,1,"Lauderdale County, MS"
"Lawrence County, IN",1.27,2020-03-12,0.828988883050547,1,"Lawrence County, IN"
"Lebanon County, PA",0,2020-03-10,0.284192984851659,1,"Lebanon County, PA"
"Lee County, AL",1.21,2020-03-13,0.548502923060642,1,"Lee County, AL"
"Lee County, FL",0.4,2020-02-20,0.806922419130645,1,"Lee County, FL"
"Leflore County, MS",0.76,2020-03-13,0.551389026922899,1,"Leflore County, MS"
"Lehigh County, PA",1.15,2020-03-06,0.672648799665469,1,"Lehigh County, PA"
"Lexington County, SC",0.57,2020-03-06,0.667237642685304,1,"Lexington County, SC"
"Litchfield County, CT",0.18,2020-03-08,0.354985808678358,1,"Litchfield County, CT"
"Livingston County, MI",0.43,2020-03-07,0.446093407716492,1,"Livingston County, MI"
"Lorain County, OH",0.53,2020-03-07,0.444582206244775,1,"Lorain County, OH"
"Los Angeles County, CA",1.26,2020-02-28,2.7091763348454,1,"Los Angeles County, CA"
"Loudoun County, VA",0.58,2020-03-07,0.391938401440594,1,"Loudoun County, VA"
"Louisiana",1.05,2020-02-21,10.3444782829361,1,"Louisiana"
"Lubbock County, TX",1.31,2020-03-13,1.40426957629032,1,"Lubbock County, TX"
"Lucas County, OH",0.91,2020-03-06,0.643522908824434,1,"Lucas County, OH"
"Luzerne County, PA",1.02,2020-03-06,0.494150243058819,1,"Luzerne County, PA"
"Macomb County, MI",1.01,2020-02-28,3.05311221856097,1,"Macomb County, MI"
"Madison County, IL",0.02,2020-03-13,0.224976984854565,1,"Madison County, IL"
"Madison County, IN",0.83,2020-03-07,1.27214493493872,1,"Madison County, IN"
"Mahoning County, OH",1.32,2020-03-06,1.28458766761174,1,"Mahoning County, OH"
"Maine",0.96,2020-03-06,0.932906152806133,1,"Maine"
"Manatee County, FL",0.76,2020-03-06,1.2673195946891,1,"Manatee County, FL"
"Maricopa County, AZ",0.76,2020-02-28,2.69916764704378,1,"Maricopa County, AZ"
"Marion County, IN",0.82,2020-02-28,1.70582828676542,1,"Marion County, IN"
"Marion County, OR",0.87,2020-03-06,0.373971175701065,1,"Marion County, OR"
"Maryland",1.22,2020-02-28,19.2465327939374,1,"Maryland"
"Massachusetts",0.95,2020-02-21,18.0098454419064,1,"Massachusetts"
"McHenry County, IL",0.62,2020-03-06,0.367692963319854,1,"McHenry County, IL"
"McKinley County, NM",0.2,2020-03-13,0.374417364977506,1,"McKinley County, NM"
"Mecklenburg County, NC",0.73,2020-03-07,1.09918538188952,1,"Mecklenburg County, NC"
"Medina County, OH",0.33,2020-03-08,0.333634189625992,1,"Medina County, OH"
"Mercer County, NJ",0.63,2020-03-07,0.892297769695836,1,"Mercer County, NJ"
"Miami County, OH",1.16,2020-03-06,0.60559040488056,1,"Miami County, OH"
"Miami-Dade County, FL",1.33,2020-03-06,5.78952356768642,1,"Miami-Dade County, FL"
"Michigan",1.06,2020-02-21,30.5541693818422,1,"Michigan"
"Middlesex County, CT",0.48,2020-03-07,0.29093336644652,1,"Middlesex County, CT"
"Middlesex County, MA",0.95,2020-02-28,3.96544435376326,1,"Middlesex County, MA"
"Middlesex County, NJ",1.01,2020-02-28,5.63688717295279,1,"Middlesex County, NJ"
"Milwaukee County, WI",0.8,2020-02-28,3.65994498004218,1,"Milwaukee County, WI"
"Minnesota",0.8,2020-02-28,2.68924025987335,1,"Minnesota"
"Mississippi",0.63,2020-02-23,3.54477036082851,1,"Mississippi"
"Missouri",0.83,2020-02-29,6.04805511753016,1,"Missouri"
"Mobile County, AL",0.7,2020-03-06,0.898610088228886,1,"Mobile County, AL"
"Mohave County, AZ",0.02,2020-03-15,0.454984050444773,1,"Mohave County, AZ"
"Monmouth County, NJ",0.96,2020-02-28,4.27582618205459,1,"Monmouth County, NJ"
"Monroe County, MI",0,2020-03-16,0.221818570553253,1,"Monroe County, MI"
"Monroe County, MS",0.43,2020-03-14,0.283672296890922,1,"Monroe County, MS"
"Monroe County, NY",1.33,2020-03-06,0.743253853702095,1,"Monroe County, NY"
"Monroe County, PA",1.27,2020-03-05,0.973183424409941,1,"Monroe County, PA"
"Montana",0.58,2020-03-05,0.689714396740093,1,"Montana"
"Montgomery County, MD",1.27,2020-03-05,4.18499599144475,1,"Montgomery County, MD"
"Montgomery County, PA",0.78,2020-02-29,1.86536069295998,1,"Montgomery County, PA"
"Montgomery County, TX",0.83,2020-03-13,0.535038316094332,1,"Montgomery County, TX"
"Morgan County, CO",0,2020-03-17,0.209749791756192,1,"Morgan County, CO"
"Morris County, NJ",0.97,2020-02-28,3.91823207260991,1,"Morris County, NJ"
"Multnomah County, OR",0.87,2020-03-06,0.699105973859134,1,"Multnomah County, OR"
"Muskegon County, MI",1.33,2020-03-13,0.455184475543683,1,"Muskegon County, MI"
"Nassau County, NY",1.33,2020-02-28,9.0792225526974,1,"Nassau County, NY"
"Navajo County, AZ",1.31,2020-03-13,0.859655883697741,1,"Navajo County, AZ"
"Nebraska",0.37,2020-02-11,14.7932437307012,1,"Nebraska"
"Nevada",1.09,2020-02-28,6.02025958678756,1,"Nevada"
"New Castle County, DE",1.04,2020-03-06,0.959223487705263,1,"New Castle County, DE"
"New Hampshire",0.99,2020-03-06,1.19022224779594,1,"New Hampshire"
"New Haven County, CT",0.75,2020-02-28,1.91595664962074,1,"New Haven County, CT"
"New Jersey",1.16,2020-02-21,47.2879771836289,1,"New Jersey"
"New London County, CT",0.07,2020-03-10,0.257512992780043,1,"New London County, CT"
"New Mexico",1.12,2020-03-06,1.15934415573877,1,"New Mexico"
"New York",1.18,2020-02-15,191.035631950597,1,"New York"
"New York County, NY",1,2020-02-21,11.1886934487155,1,"New York County, NY"
"Nez Perce County, ID",0.38,2020-03-07,0.313320332670561,1,"Nez Perce County, ID"
"Niagara County, NY",0,2020-03-10,0.272153959542439,1,"Niagara County, NY"
"Norfolk County, MA",0.88,2020-02-29,2.32494423545313,1,"Norfolk County, MA"
"Northampton County, PA",0.66,2020-02-28,0.909363254177823,1,"Northampton County, PA"
"North Carolina",0.87,2020-02-28,5.28252372476442,1,"North Carolina"
"North Dakota",0.25,2020-02-03,5.03174912319844,1,"North Dakota"
"Oakland County, MI",1.22,2020-02-28,7.38554667051606,1,"Oakland County, MI"
"Ocean County, NJ",0.94,2020-02-28,4.79667678209078,1,"Ocean County, NJ"
"Ohio",1.26,2020-02-28,5.32488077754279,1,"Ohio"
"Oklahoma",0.86,2020-02-28,1.6178373104563,1,"Oklahoma"
"Oklahoma County, OK",0.92,2020-03-06,0.956963347026489,1,"Oklahoma County, OK"
"Oneida County, NY",0.23,2020-03-08,0.401304934761181,1,"Oneida County, NY"
"Onondaga County, NY",0.63,2020-03-07,0.529135073093539,1,"Onondaga County, NY"
"Orange County, CA",1.28,2020-03-06,0.930451291055418,1,"Orange County, CA"
"Orange County, FL",0.51,2020-02-28,0.729618930053201,1,"Orange County, FL"
"Orange County, NY",0.96,2020-02-28,5.53571740391841,1,"Orange County, NY"
"Oregon",0.88,2020-02-28,1.00586192521146,1,"Oregon"
"Ottawa County, MI",0,2020-03-16,0.221814213891596,1,"Ottawa County, MI"
"Palm Beach County, FL",0.86,2020-02-28,4.50137176093737,1,"Palm Beach County, FL"
"Passaic County, NJ",0.82,2020-02-28,3.51862815716998,1,"Passaic County, NJ"
"Pearl River County, MS",0.88,2020-03-14,0.742838659020079,1,"Pearl River County, MS"
"Pennsylvania",0.9,2020-02-21,12.7529661672038,1,"Pennsylvania"
"Philadelphia County, PA",0.88,2020-02-29,3.08483489408514,1,"Philadelphia County, PA"
"Pickaway County, OH",0,2020-03-10,0.286683095208061,1,"Pickaway County, OH"
"Pierce County, WA",0.63,2020-02-29,0.684569014385779,1,"Pierce County, WA"
"Pima County, AZ",1.02,2020-03-06,1.28106287561071,1,"Pima County, AZ"
"Pinal County, AZ",0.73,2020-03-14,0.652521213717241,1,"Pinal County, AZ"
"Pinellas County, FL",0.52,2020-02-29,0.762516469908401,1,"Pinellas County, FL"
"Plymouth County, MA",1.02,2020-03-06,1.52402346414812,1,"Plymouth County, MA"
"Polk County, FL",1.24,2020-03-13,0.625283549413573,1,"Polk County, FL"
"Portage County, OH",0.58,2020-03-07,0.600923019007993,1,"Portage County, OH"
"Prince George's County, MD",0.84,2020-02-28,5.25918643350613,1,"Prince George's County, MD"
"Prince William County, VA",1.16,2020-03-13,0.290976710828212,1,"Prince William County, VA"
"Providence County, RI",0.89,2020-03-06,1.88520168033675,1,"Providence County, RI"
"Putnam County, NY",0,2020-01-27,1.11769244768553,1,"Putnam County, NY"
"Queens County, NY",1.06,2020-02-21,15.4523380671785,1,"Queens County, NY"
"Racine County, WI",0.33,2020-03-14,0.357320705530379,1,"Racine County, WI"
"Ramsey County, MN",0.32,2020-02-29,0.419067261157995,1,"Ramsey County, MN"
"Rensselaer County, NY",0,2020-03-10,0.268586141246379,1,"Rensselaer County, NY"
"Rhode Island",1.26,2020-03-06,2.48514337849446,1,"Rhode Island"
"Richland County, SC",0.69,2020-03-06,0.843994314318047,1,"Richland County, SC"
"Richmond County, GA",0.79,2020-03-13,0.780464872834651,1,"Richmond County, GA"
"Richmond County, NY",1.15,2020-02-28,3.59278262380647,1,"Richmond County, NY"
"Riverside County, CA",0.51,2020-02-21,0.836713559954279,1,"Riverside County, CA"
"Rockingham County, NH",0.79,2020-03-13,0.251767130704127,1,"Rockingham County, NH"
"Rock Island County, IL",0.02,2020-03-13,0.224973771587949,1,"Rock Island County, IL"
"Rowan County, NC",0.86,2020-03-13,0.253574093874423,1,"Rowan County, NC"
"Sacramento County, CA",0.44,2020-02-21,0.339156107263595,1,"Sacramento County, CA"
"Saginaw County, MI",0.02,2020-03-15,0.381591477501547,1,"Saginaw County, MI"
"Salem County, NJ",1.1,2020-03-13,0.327653139454776,1,"Salem County, NJ"
"San Bernardino County, CA",1.13,2020-03-06,0.562281159264511,1,"San Bernardino County, CA"
"San Diego County, CA",0.72,2020-02-28,1.46436692079884,1,"San Diego County, CA"
"San Francisco County, CA",1.25,2020-03-06,0.64797420202566,1,"San Francisco County, CA"
"Sangamon County, IL",0.23,2020-02-29,0.272016061954883,1,"Sangamon County, IL"
"San Joaquin County, CA",0.68,2020-02-29,0.542718925452368,1,"San Joaquin County, CA"
"San Juan County, NM",0,2020-03-13,0.248565213660066,1,"San Juan County, NM"
"San Mateo County, CA",0.7,2020-02-28,0.818295147549433,1,"San Mateo County, CA"
"Santa Clara County, CA",0.38,2020-02-04,1.45139506857468,1,"Santa Clara County, CA"
"Sarasota County, FL",0.75,2020-03-06,0.79563095290795,1,"Sarasota County, FL"
"Schenectady County, NY",0.76,2020-03-06,0.868475730933739,1,"Schenectady County, NY"
"Sedgwick County, KS",0.57,2020-03-13,0.25630211174007,1,"Sedgwick County, KS"
"Shelby County, AL",0.58,2020-03-07,0.765304182687901,1,"Shelby County, AL"
"Shelby County, IN",0,2020-03-16,0.216718762393956,1,"Shelby County, IN"
"Shelby County, TN",0.88,2020-03-07,1.57557292996964,1,"Shelby County, TN"
"Shiawassee County, MI",0,2020-03-16,0.22182960689644,1,"Shiawassee County, MI"
"Snohomish County, WA",0.53,2020-02-15,1.44199506319388,1,"Snohomish County, WA"
"Somerset County, NJ",0.77,2020-02-28,1.9948561787465,1,"Somerset County, NJ"
"South Carolina",0.84,2020-02-28,3.70272700116443,1,"South Carolina"
"South Dakota",0.26,2020-02-02,7.20044028034292,1,"South Dakota"
"Spokane County, WA",1.02,2020-03-06,0.970316816697521,1,"Spokane County, WA"
"Stanislaus County, CA",0,2020-03-10,0.231755619398539,1,"Stanislaus County, CA"
"Stark County, OH",0.82,2020-03-06,0.335111855825426,1,"Stark County, OH"
"St. Charles County, MO",0.57,2020-03-06,0.679950242444611,1,"St. Charles County, MO"
"St. Clair County, IL",1.33,2020-03-12,0.319895703967696,1,"St. Clair County, IL"
"St. Clair County, MI",0.73,2020-03-13,0.561029099167004,1,"St. Clair County, MI"
"Steuben County, NY",0,2020-03-10,0.268587128814743,1,"Steuben County, NY"
"St. Joseph County, IN",0.56,2020-03-13,0.231350519133182,1,"St. Joseph County, IN"
"St. Louis County, MO",0.93,2020-03-06,3.36240138893376,1,"St. Louis County, MO"
"St. Lucie County, FL",0.63,2020-03-07,0.53733980892322,1,"St. Lucie County, FL"
"Suffolk County, MA",0.88,2020-02-29,3.11238087757526,1,"Suffolk County, MA"
"Suffolk County, NY",1.31,2020-02-28,11.0535239504054,1,"Suffolk County, NY"
"Summit County, OH",1.09,2020-03-06,0.83324498400158,1,"Summit County, OH"
"Sumner County, TN",0.85,2020-03-06,1.27006664415778,1,"Sumner County, TN"
"Sussex County, DE",0.63,2020-03-07,0.445636345868113,1,"Sussex County, DE"
"Sussex County, NJ",0.89,2020-03-06,1.29585332871535,1,"Sussex County, NJ"
"Tallapoosa County, AL",0.73,2020-03-13,0.468014240712497,1,"Tallapoosa County, AL"
"Tarrant County, TX",0.88,2020-03-07,1.30114436191256,1,"Tarrant County, TX"
"Tennessee",0.84,2020-02-28,4.12476195375024,1,"Tennessee"
"Texas",0.77,2020-02-22,6.42431650988659,1,"Texas"
"Thomas County, GA",0.83,2020-03-13,1.61901024108364,1,"Thomas County, GA"
"Tolland County, CT",1.31,2020-03-06,0.625783969578929,1,"Tolland County, CT"
"Travis County, TX",0.61,2020-03-06,0.746651861099095,1,"Travis County, TX"
"Trumbull County, OH",0.92,2020-03-06,0.733494221605314,1,"Trumbull County, OH"
"Tulare County, CA",0.33,2020-03-08,0.330733627442077,1,"Tulare County, CA"
"Tulsa County, OK",0.79,2020-03-06,0.633208923731013,1,"Tulsa County, OK"
