"state_abb","policy_long","policy","start_date","end_date","exp_start_date","exp_end_date","Prop_Reduction_Mild_Trans","Prop_Reduction_Severe_Trans","Prop_Reduction_Death","Country.Region","state","Details","Category"
"AK","State-Mandated School Closures","S",2020-03-20,NA,NA,NA,0.2,0,0,"United States","Alaska",NA,NA
"AL","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Alabama",NA,NA
"AR","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Arkansas",NA,NA
"AZ","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Arizona",NA,NA
"CA","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","California",NA,NA
"CO","State-Mandated School Closures","S",2020-03-23,NA,NA,NA,0.2,0,0,"United States","Colorado",NA,NA
"CT","State-Mandated School Closures","S",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Connecticut",NA,NA
"DC","State-Mandated School Closures","S",2020-03-20,NA,NA,NA,0.2,0,0,"United States","District of Columbia",NA,NA
"DE","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Delaware",NA,NA
"FL","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Florida",NA,NA
"GA","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Georgia",NA,NA
"HI","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Hawaii",NA,NA
"IA","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Iowa",NA,NA
"ID","State-Mandated School Closures","S",2020-03-25,NA,NA,NA,0.2,0,0,"United States","Idaho",NA,NA
"IL","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Illinois",NA,NA
"IN","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Indiana",NA,NA
"KS","State-Mandated School Closures","S",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Kansas",NA,NA
"KY","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Kentucky",NA,NA
"LA","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Louisiana",NA,NA
"MA","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Massachusetts",NA,NA
"MD","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Maryland",NA,NA
"ME","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Maine",NA,NA
"MI","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Michigan",NA,NA
"MN","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Minnesota",NA,NA
"MO","State-Mandated School Closures","S",2020-03-21,NA,NA,NA,0.2,0,0,"United States","Missouri",NA,NA
"MS","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Mississippi",NA,NA
"MT","State-Mandated School Closures","S",2020-03-15,2020-05-07,NA,NA,0.2,0,0,"United States","Montana",NA,NA
"NC","State-Mandated School Closures","S",2020-03-14,NA,NA,NA,0.2,0,0,"United States","North Carolina",NA,NA
"ND","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","North Dakota",NA,NA
"NE","State-Mandated School Closures","S",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Nebraska",NA,NA
"NH","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","New Hampshire",NA,NA
"NJ","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","New Jersey",NA,NA
"NM","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","New Mexico",NA,NA
"NV","State-Mandated School Closures","S",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Nevada",NA,NA
"NY","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","New York",NA,NA
"OH","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Ohio",NA,NA
"OK","State-Mandated School Closures","S",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Oklahoma",NA,NA
"OR","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Oregon",NA,NA
"PA","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Pennsylvania",NA,NA
"RI","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Rhode Island",NA,NA
"SC","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","South Carolina",NA,NA
"SD","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","South Dakota",NA,NA
"TN","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Tennessee",NA,NA
"TX","State-Mandated School Closures","S",2020-03-20,2020-06-01,NA,NA,0.2,0,0,"United States","Texas",NA,NA
"UT","State-Mandated School Closures","S",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Utah",NA,NA
"VA","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Virginia",NA,NA
"VT","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Vermont",NA,NA
"WA","State-Mandated School Closures","S",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Washington",NA,NA
"WI","State-Mandated School Closures","S",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Wisconsin",NA,NA
"WV","State-Mandated School Closures","S",2020-03-14,NA,NA,NA,0.2,0,0,"United States","West Virginia",NA,NA
"WY","State-Mandated School Closures","S",2020-03-20,NA,NA,NA,0.2,0,0,"United States","Wyoming",NA,NA
"AK","Large Gatherings Ban","G",2020-03-24,2020-05-22,NA,NA,0.2,0,0,"United States","Alaska",NA,NA
"AL","Large Gatherings Ban","G",2020-03-17,2020-05-11,NA,NA,0.2,0,0,"United States","Alabama",NA,NA
"AR","Large Gatherings Ban","G",2020-03-26,2020-06-15,NA,NA,0.2,0,0,"United States","Arkansas",NA,NA
"AZ","Large Gatherings Ban","G",2020-03-15,2020-05-15,NA,NA,0.2,0,0,"United States","Arizona",NA,NA
"CA","Large Gatherings Ban","G",2020-03-12,NA,NA,NA,0.2,0,0,"United States","California",NA,NA
"CO","Large Gatherings Ban","G",2020-03-19,2020-06-19,NA,NA,0.2,0,0,"United States","Colorado",NA,NA
"CT","Large Gatherings Ban","G",2020-03-12,NA,NA,NA,0.2,0,0,"United States","Connecticut",NA,NA
"DC","Large Gatherings Ban","G",2020-03-20,NA,NA,NA,0.2,0,0,"United States","District of Columbia",NA,NA
"DE","Large Gatherings Ban","G",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Delaware",NA,NA
"FL","Large Gatherings Ban","G",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Florida",NA,NA
"GA","Large Gatherings Ban","G",2020-03-24,2020-06-16,NA,NA,0.2,0,0,"United States","Georgia",NA,NA
"HI","Large Gatherings Ban","G",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Hawaii",NA,NA
"IA","Large Gatherings Ban","G",2020-03-17,2020-06-01,NA,NA,0.2,0,0,"United States","Iowa",NA,NA
"ID","Large Gatherings Ban","G",2020-03-25,2020-06-13,NA,NA,0.2,0,0,"United States","Idaho",NA,NA
"IL","Large Gatherings Ban","G",2020-03-21,NA,NA,NA,0.2,0,0,"United States","Illinois",NA,NA
"IN","Large Gatherings Ban","G",2020-03-24,2020-06-01,NA,NA,0.2,0,0,"United States","Indiana",NA,NA
"KS","Large Gatherings Ban","G",2020-03-17,2020-05-26,NA,NA,0.2,0,0,"United States","Kansas",NA,NA
"KY","Large Gatherings Ban","G",2020-03-19,NA,NA,NA,0.2,0,0,"United States","Kentucky",NA,NA
"LA","Large Gatherings Ban","G",2020-03-23,2020-06-04,NA,NA,0.2,0,0,"United States","Louisiana",NA,NA
"MA","Large Gatherings Ban","G",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Massachusetts",NA,NA
"MD","Large Gatherings Ban","G",2020-03-11,NA,NA,NA,0.2,0,0,"United States","Maryland",NA,NA
"ME","Large Gatherings Ban","G",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Maine",NA,NA
"MI","Large Gatherings Ban","G",2020-03-24,NA,NA,NA,0.2,0,0,"United States","Michigan",NA,NA
"MN","Large Gatherings Ban","G",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Minnesota",NA,NA
"MO","Large Gatherings Ban","G",2020-03-21,2020-05-04,NA,NA,0.2,0,0,"United States","Missouri",NA,NA
"MS","Large Gatherings Ban","G",2020-03-24,NA,NA,NA,0.2,0,0,"United States","Mississippi",NA,NA
"MT","Large Gatherings Ban","G",2020-03-24,NA,NA,NA,0.2,0,0,"United States","Montana",NA,NA
"NC","Large Gatherings Ban","G",2020-03-14,NA,NA,NA,0.2,0,0,"United States","North Carolina",NA,NA
"ND","Large Gatherings Ban","G",NA,2020-05-15,NA,NA,0.2,0,0,"United States","North Dakota",NA,NA
"NE","Large Gatherings Ban","G",2020-03-16,2020-06-01,NA,NA,0.2,0,0,"United States","Nebraska",NA,NA
"NH","Large Gatherings Ban","G",2020-03-16,NA,NA,NA,0.2,0,0,"United States","New Hampshire",NA,NA
"NJ","Large Gatherings Ban","G",2020-03-16,NA,NA,NA,0.2,0,0,"United States","New Jersey",NA,NA
"NM","Large Gatherings Ban","G",2020-03-16,NA,NA,NA,0.2,0,0,"United States","New Mexico",NA,NA
"NV","Large Gatherings Ban","G",2020-03-15,NA,NA,NA,0.2,0,0,"United States","Nevada",NA,NA
"NY","Large Gatherings Ban","G",2020-03-12,NA,NA,NA,0.2,0,0,"United States","New York",NA,NA
"OH","Large Gatherings Ban","G",2020-03-12,NA,NA,NA,0.2,0,0,"United States","Ohio",NA,NA
"OK","Large Gatherings Ban","G",2020-03-24,2020-05-15,NA,NA,0.2,0,0,"United States","Oklahoma",NA,NA
"OR","Large Gatherings Ban","G",2020-03-11,NA,NA,NA,0.2,0,0,"United States","Oregon",NA,NA
"PA","Large Gatherings Ban","G",2020-03-12,NA,NA,NA,0.2,0,0,"United States","Pennsylvania",NA,NA
"RI","Large Gatherings Ban","G",2020-03-16,NA,NA,NA,0.2,0,0,"United States","Rhode Island",NA,NA
"SC","Large Gatherings Ban","G",2020-03-18,NA,NA,NA,0.2,0,0,"United States","South Carolina",NA,NA
"SD","Large Gatherings Ban","G",2020-03-23,2020-06-01,NA,NA,0.2,0,0,"United States","South Dakota",NA,NA
"TN","Large Gatherings Ban","G",2020-03-23,NA,NA,NA,0.2,0,0,"United States","Tennessee",NA,NA
"TX","Large Gatherings Ban","G",2020-03-20,2020-05-05,NA,NA,0.2,0,0,"United States","Texas",NA,NA
"UT","Large Gatherings Ban","G",2020-03-18,NA,NA,NA,0.2,0,0,"United States","Utah",NA,NA
"VA","Large Gatherings Ban","G",2020-03-24,NA,NA,NA,0.2,0,0,"United States","Virginia",NA,NA
"VT","Large Gatherings Ban","G",2020-03-17,NA,NA,NA,0.2,0,0,"United States","Vermont",NA,NA
"WA","Large Gatherings Ban","G",2020-03-13,NA,NA,NA,0.2,0,0,"United States","Washington",NA,NA
"WI","Large Gatherings Ban","G",2020-03-16,2020-05-13,NA,NA,0.2,0,0,"United States","Wisconsin",NA,NA
"WV","Large Gatherings Ban","G",2020-03-24,2020-06-05,NA,NA,0.2,0,0,"United States","West Virginia",NA,NA
"WY","Large Gatherings Ban","G",2020-03-20,2020-06-15,NA,NA,0.2,0,0,"United States","Wyoming",NA,NA
"AK","Bar/Restaurant Limits","R",2020-03-18,2020-04-24,NA,NA,0.1,0,0,"United States","Alaska",NA,NA
"AL","Bar/Restaurant Limits","R",2020-03-17,2020-05-11,NA,NA,0.1,0,0,"United States","Alabama",NA,NA
"AR","Bar/Restaurant Limits","R",2020-03-19,2020-05-11,NA,NA,0.1,0,0,"United States","Arkansas",NA,NA
"AZ","Bar/Restaurant Limits","R",2020-03-20,2020-05-11,NA,NA,0.1,0,0,"United States","Arizona",NA,NA
"CA","Bar/Restaurant Limits","R",2020-03-15,NA,NA,NA,0.1,0,0,"United States","California",NA,NA
"CO","Bar/Restaurant Limits","R",2020-03-17,2020-05-27,NA,NA,0.1,0,0,"United States","Colorado",NA,NA
"CT","Bar/Restaurant Limits","R",2020-03-16,2020-06-20,NA,NA,0.1,0,0,"United States","Connecticut",NA,NA
"DC","Bar/Restaurant Limits","R",2020-03-20,2020-06-22,NA,NA,0.1,0,0,"United States","District of Columbia",NA,NA
"DE","Bar/Restaurant Limits","R",2020-03-16,2020-06-01,NA,NA,0.1,0,0,"United States","Delaware",NA,NA
"FL","Bar/Restaurant Limits","R",2020-03-20,2020-05-18,NA,NA,0.1,0,0,"United States","Florida",NA,NA
"GA","Bar/Restaurant Limits","R",2020-03-24,2020-04-27,NA,NA,0.1,0,0,"United States","Georgia",NA,NA
"HI","Bar/Restaurant Limits","R",2020-03-17,2020-06-05,NA,NA,0.1,0,0,"United States","Hawaii",NA,NA
"IA","Bar/Restaurant Limits","R",2020-03-17,2020-05-15,NA,NA,0.1,0,0,"United States","Iowa",NA,NA
"ID","Bar/Restaurant Limits","R",2020-03-25,2020-05-16,NA,NA,0.1,0,0,"United States","Idaho",NA,NA
"IL","Bar/Restaurant Limits","R",2020-03-16,2020-06-26,NA,NA,0.1,0,0,"United States","Illinois",NA,NA
"IN","Bar/Restaurant Limits","R",2020-03-16,2020-05-18,NA,NA,0.1,0,0,"United States","Indiana",NA,NA
"KS","Bar/Restaurant Limits","R",2020-03-17,2020-05-04,NA,NA,0.1,0,0,"United States","Kansas",NA,NA
"KY","Bar/Restaurant Limits","R",2020-03-16,2020-05-22,NA,NA,0.1,0,0,"United States","Kentucky",NA,NA
"LA","Bar/Restaurant Limits","R",2020-03-17,2020-05-15,NA,NA,0.1,0,0,"United States","Louisiana",NA,NA
"MA","Bar/Restaurant Limits","R",2020-03-15,2020-06-22,NA,NA,0.1,0,0,"United States","Massachusetts",NA,NA
"MD","Bar/Restaurant Limits","R",2020-03-16,2020-06-12,NA,NA,0.1,0,0,"United States","Maryland",NA,NA
"ME","Bar/Restaurant Limits","R",2020-03-18,2020-06-17,NA,NA,0.1,0,0,"United States","Maine",NA,NA
"MI","Bar/Restaurant Limits","R",2020-03-16,2020-06-08,NA,NA,0.1,0,0,"United States","Michigan",NA,NA
"MN","Bar/Restaurant Limits","R",2020-03-17,2020-06-09,NA,NA,0.1,0,0,"United States","Minnesota",NA,NA
"MO","Bar/Restaurant Limits","R",2020-03-21,2020-05-04,NA,NA,0.1,0,0,"United States","Missouri",NA,NA
"MS","Bar/Restaurant Limits","R",2020-03-24,2020-05-07,NA,NA,0.1,0,0,"United States","Mississippi",NA,NA
"MT","Bar/Restaurant Limits","R",2020-03-20,2020-05-04,NA,NA,0.1,0,0,"United States","Montana",NA,NA
"NC","Bar/Restaurant Limits","R",2020-03-17,2020-05-22,NA,NA,0.1,0,0,"United States","North Carolina",NA,NA
"ND","Bar/Restaurant Limits","R",2020-03-20,2020-05-01,NA,NA,0.1,0,0,"United States","North Dakota",NA,NA
"NE","Bar/Restaurant Limits","R",2020-03-16,2020-05-21,NA,NA,0.1,0,0,"United States","Nebraska",NA,NA
"NH","Bar/Restaurant Limits","R",2020-03-16,2020-06-15,NA,NA,0.1,0,0,"United States","New Hampshire",NA,NA
"NJ","Bar/Restaurant Limits","R",2020-03-16,2020-07-02,NA,NA,0.1,0,0,"United States","New Jersey",NA,NA
"NM","Bar/Restaurant Limits","R",2020-03-16,2020-06-01,NA,NA,0.1,0,0,"United States","New Mexico",NA,NA
"NV","Bar/Restaurant Limits","R",2020-03-18,2020-05-09,NA,NA,0.1,0,0,"United States","Nevada",NA,NA
"NY","Bar/Restaurant Limits","R",2020-03-16,NA,NA,NA,0.1,0,0,"United States","New York",NA,NA
"OH","Bar/Restaurant Limits","R",2020-03-15,2020-05-21,NA,NA,0.1,0,0,"United States","Ohio",NA,NA
"OK","Bar/Restaurant Limits","R",2020-03-25,2020-05-01,NA,NA,0.1,0,0,"United States","Oklahoma",NA,NA
"OR","Bar/Restaurant Limits","R",2020-03-17,2020-06-19,NA,NA,0.1,0,0,"United States","Oregon",NA,NA
"PA","Bar/Restaurant Limits","R",2020-03-16,NA,NA,NA,0.1,0,0,"United States","Pennsylvania",NA,NA
"RI","Bar/Restaurant Limits","R",2020-03-17,2020-06-01,NA,NA,0.1,0,0,"United States","Rhode Island",NA,NA
"SC","Bar/Restaurant Limits","R",2020-03-18,2020-05-11,NA,NA,0.1,0,0,"United States","South Carolina",NA,NA
"SD","Bar/Restaurant Limits","R",NA,NA,NA,NA,0.1,0,0,"United States","South Dakota",NA,NA
"TN","Bar/Restaurant Limits","R",2020-03-24,2020-04-27,NA,NA,0.1,0,0,"United States","Tennessee",NA,NA
"TX","Bar/Restaurant Limits","R",2020-03-20,2020-05-01,NA,NA,0.1,0,0,"United States","Texas",NA,NA
"UT","Bar/Restaurant Limits","R",2020-03-18,2020-05-01,NA,NA,0.1,0,0,"United States","Utah",NA,NA
"VA","Bar/Restaurant Limits","R",2020-03-24,2020-06-12,NA,NA,0.1,0,0,"United States","Virginia",NA,NA
"VT","Bar/Restaurant Limits","R",2020-03-16,2020-06-08,NA,NA,0.1,0,0,"United States","Vermont",NA,NA
"WA","Bar/Restaurant Limits","R",2020-03-16,2020-06-05,NA,NA,0.1,0,0,"United States","Washington",NA,NA
"WI","Bar/Restaurant Limits","R",2020-03-17,2020-05-13,NA,NA,0.1,0,0,"United States","Wisconsin",NA,NA
"WV","Bar/Restaurant Limits","R",2020-03-18,2020-05-21,NA,NA,0.1,0,0,"United States","West Virginia",NA,NA
"WY","Bar/Restaurant Limits","R",2020-03-20,2020-05-15,NA,NA,0.1,0,0,"United States","Wyoming",NA,NA
"AK","Non-Essential Business Closures","B",2020-03-18,2020-04-24,NA,NA,0.4,0,0,"United States","Alaska",NA,NA
"AL","Non-Essential Business Closures","B",2020-03-27,2020-04-30,NA,NA,0.4,0,0,"United States","Alabama",NA,NA
"AR","Non-Essential Business Closures","B",2020-03-25,2020-05-04,NA,NA,0.4,0,0,"United States","Arkansas",NA,NA
"AZ","Non-Essential Business Closures","B",2020-03-31,2020-05-08,NA,NA,0.4,0,0,"United States","Arizona",NA,NA
"CA","Non-Essential Business Closures","B",2020-03-19,2020-05-25,NA,NA,0.4,0,0,"United States","California",NA,NA
"CO","Non-Essential Business Closures","B",2020-03-22,2020-05-01,NA,NA,0.4,0,0,"United States","Colorado",NA,NA
"CT","Non-Essential Business Closures","B",2020-03-23,2020-05-20,NA,NA,0.4,0,0,"United States","Connecticut",NA,NA
"DC","Non-Essential Business Closures","B",2020-03-25,2020-06-22,NA,NA,0.4,0,0,"United States","District of Columbia",NA,NA
"DE","Non-Essential Business Closures","B",2020-03-24,2020-06-01,NA,NA,0.4,0,0,"United States","Delaware",NA,NA
"FL","Non-Essential Business Closures","B",2020-04-03,2020-05-18,NA,NA,0.4,0,0,"United States","Florida",NA,NA
"GA","Non-Essential Business Closures","B",2020-04-03,2020-05-01,NA,NA,0.4,0,0,"United States","Georgia",NA,NA
"HI","Non-Essential Business Closures","B",2020-03-23,2020-05-07,NA,NA,0.4,0,0,"United States","Hawaii",NA,NA
"IA","Non-Essential Business Closures","B",2020-03-26,2020-05-08,NA,NA,0.4,0,0,"United States","Iowa",NA,NA
"ID","Non-Essential Business Closures","B",2020-03-25,2020-05-01,NA,NA,0.4,0,0,"United States","Idaho",NA,NA
"IL","Non-Essential Business Closures","B",2020-03-21,2020-05-29,NA,NA,0.4,0,0,"United States","Illinois",NA,NA
"IN","Non-Essential Business Closures","B",2020-03-24,2020-05-18,NA,NA,0.4,0,0,"United States","Indiana",NA,NA
"KS","Non-Essential Business Closures","B",2020-03-30,2020-05-04,NA,NA,0.4,0,0,"United States","Kansas",NA,NA
"KY","Non-Essential Business Closures","B",2020-03-23,2020-05-20,NA,NA,0.4,0,0,"United States","Kentucky",NA,NA
"LA","Non-Essential Business Closures","B",2020-03-23,2020-05-15,NA,NA,0.4,0,0,"United States","Louisiana",NA,NA
"MA","Non-Essential Business Closures","B",2020-03-24,2020-05-19,NA,NA,0.4,0,0,"United States","Massachusetts",NA,NA
"MD","Non-Essential Business Closures","B",2020-03-23,2020-05-15,NA,NA,0.4,0,0,"United States","Maryland",NA,NA
"ME","Non-Essential Business Closures","B",2020-03-25,2020-06-01,NA,NA,0.4,0,0,"United States","Maine",NA,NA
"MI","Non-Essential Business Closures","B",2020-03-24,2020-05-26,NA,NA,0.4,0,0,"United States","Michigan",NA,NA
"MN","Non-Essential Business Closures","B",2020-03-27,2020-05-18,NA,NA,0.4,0,0,"United States","Minnesota",NA,NA
"MO","Non-Essential Business Closures","B",2020-04-06,2020-05-04,NA,NA,0.4,0,0,"United States","Missouri",NA,NA
"MS","Non-Essential Business Closures","B",2020-04-03,2020-05-11,NA,NA,0.4,0,0,"United States","Mississippi",NA,NA
"MT","Non-Essential Business Closures","B",2020-03-28,2020-04-27,NA,NA,0.4,0,0,"United States","Montana",NA,NA
"NC","Non-Essential Business Closures","B",2020-03-27,2020-05-08,NA,NA,0.4,0,0,"United States","North Carolina",NA,NA
"ND","Non-Essential Business Closures","B",NA,2020-05-01,NA,NA,0.4,0,0,"United States","North Dakota",NA,NA
"NE","Non-Essential Business Closures","B",NA,NA,NA,NA,0.4,0,0,"United States","Nebraska",NA,NA
"NH","Non-Essential Business Closures","B",2020-03-26,2020-05-11,NA,NA,0.4,0,0,"United States","New Hampshire",NA,NA
"NJ","Non-Essential Business Closures","B",2020-03-21,2020-06-15,NA,NA,0.4,0,0,"United States","New Jersey",NA,NA
"NM","Non-Essential Business Closures","B",2020-03-23,2020-05-15,NA,NA,0.4,0,0,"United States","New Mexico",NA,NA
"NV","Non-Essential Business Closures","B",2020-03-20,2020-05-09,NA,NA,0.4,0,0,"United States","Nevada",NA,NA
"NY","Non-Essential Business Closures","B",2020-03-22,2020-06-08,NA,NA,0.4,0,0,"United States","New York",NA,NA
"OH","Non-Essential Business Closures","B",2020-03-23,2020-05-12,NA,NA,0.4,0,0,"United States","Ohio",NA,NA
"OK","Non-Essential Business Closures","B",2020-03-25,2020-04-24,NA,NA,0.4,0,0,"United States","Oklahoma",NA,NA
"OR","Non-Essential Business Closures","B",2020-03-23,2020-05-15,NA,NA,0.4,0,0,"United States","Oregon",NA,NA
"PA","Non-Essential Business Closures","B",2020-03-19,2020-06-05,NA,NA,0.4,0,0,"United States","Pennsylvania",NA,NA
"RI","Non-Essential Business Closures","B",2020-03-30,2020-05-09,NA,NA,0.4,0,0,"United States","Rhode Island",NA,NA
"SC","Non-Essential Business Closures","B",2020-03-31,2020-04-20,NA,NA,0.4,0,0,"United States","South Carolina",NA,NA
"SD","Non-Essential Business Closures","B",NA,NA,NA,NA,0.4,0,0,"United States","South Dakota",NA,NA
"TN","Non-Essential Business Closures","B",2020-03-31,2020-04-29,NA,NA,0.4,0,0,"United States","Tennessee",NA,NA
"TX","Non-Essential Business Closures","B",2020-04-02,2020-05-01,NA,NA,0.4,0,0,"United States","Texas",NA,NA
"UT","Non-Essential Business Closures","B",NA,2020-05-01,NA,NA,0.4,0,0,"United States","Utah",NA,NA
"VA","Non-Essential Business Closures","B",2020-03-24,2020-05-29,NA,NA,0.4,0,0,"United States","Virginia",NA,NA
"VT","Non-Essential Business Closures","B",2020-03-25,2020-05-18,NA,NA,0.4,0,0,"United States","Vermont",NA,NA
"WA","Non-Essential Business Closures","B",2020-03-25,2020-06-01,NA,NA,0.4,0,0,"United States","Washington",NA,NA
"WI","Non-Essential Business Closures","B",2020-03-24,2020-05-13,NA,NA,0.4,0,0,"United States","Wisconsin",NA,NA
"WV","Non-Essential Business Closures","B",2020-03-24,2020-05-04,NA,NA,0.4,0,0,"United States","West Virginia",NA,NA
"WY","Non-Essential Business Closures","B",NA,2020-05-01,NA,NA,0.4,0,0,"United States","Wyoming",NA,NA
"AK","Stay At Home Order","H",2020-03-28,2020-04-24,NA,NA,0.7,0,0,"United States","Alaska",NA,NA
"AL","Stay At Home Order","H",2020-04-03,2020-04-30,NA,NA,0.7,0,0,"United States","Alabama",NA,NA
"AR","Stay At Home Order","H",NA,NA,NA,NA,0.7,0,0,"United States","Arkansas",NA,NA
"AZ","Stay At Home Order","H",2020-03-31,2020-05-15,NA,NA,0.7,0,0,"United States","Arizona",NA,NA
"CA","Stay At Home Order","H",2020-03-19,NA,NA,NA,0.7,0,0,"United States","California",NA,NA
"CO","Stay At Home Order","H",2020-03-25,2020-04-27,NA,NA,0.7,0,0,"United States","Colorado",NA,NA
"CT","Stay At Home Order","H",2020-03-20,2020-05-20,NA,NA,0.7,0,0,"United States","Connecticut",NA,NA
"DC","Stay At Home Order","H",2020-04-01,2020-05-29,NA,NA,0.7,0,0,"United States","District of Columbia",NA,NA
"DE","Stay At Home Order","H",2020-03-22,2020-06-01,NA,NA,0.7,0,0,"United States","Delaware",NA,NA
"FL","Stay At Home Order","H",2020-04-01,2020-05-18,NA,NA,0.7,0,0,"United States","Florida",NA,NA
"GA","Stay At Home Order","H",2020-04-03,2020-05-01,NA,NA,0.7,0,0,"United States","Georgia",NA,NA
"HI","Stay At Home Order","H",2020-03-25,2020-06-01,NA,NA,0.7,0,0,"United States","Hawaii",NA,NA
"IA","Stay At Home Order","H",NA,NA,NA,NA,0.7,0,0,"United States","Iowa",NA,NA
"ID","Stay At Home Order","H",2020-03-25,2020-05-01,NA,NA,0.7,0,0,"United States","Idaho",NA,NA
"IL","Stay At Home Order","H",2020-03-21,2020-05-29,NA,NA,0.7,0,0,"United States","Illinois",NA,NA
"IN","Stay At Home Order","H",2020-03-24,2020-05-18,NA,NA,0.7,0,0,"United States","Indiana",NA,NA
"KS","Stay At Home Order","H",2020-03-30,2020-05-04,NA,NA,0.7,0,0,"United States","Kansas",NA,NA
"KY","Stay At Home Order","H",2020-03-25,2020-05-22,NA,NA,0.7,0,0,"United States","Kentucky",NA,NA
"LA","Stay At Home Order","H",2020-03-23,2020-05-15,NA,NA,0.7,0,0,"United States","Louisiana",NA,NA
"MA","Stay At Home Order","H",2020-03-24,2020-05-18,NA,NA,0.7,0,0,"United States","Massachusetts",NA,NA
"MD","Stay At Home Order","H",2020-03-30,2020-05-15,NA,NA,0.7,0,0,"United States","Maryland",NA,NA
"ME","Stay At Home Order","H",2020-04-02,2020-06-01,NA,NA,0.7,0,0,"United States","Maine",NA,NA
"MI","Stay At Home Order","H",2020-03-24,2020-06-01,NA,NA,0.7,0,0,"United States","Michigan",NA,NA
"MN","Stay At Home Order","H",2020-03-27,2020-05-18,NA,NA,0.7,0,0,"United States","Minnesota",NA,NA
"MO","Stay At Home Order","H",2020-04-06,2020-05-04,NA,NA,0.7,0,0,"United States","Missouri",NA,NA
"MS","Stay At Home Order","H",2020-04-03,2020-04-28,NA,NA,0.7,0,0,"United States","Mississippi",NA,NA
"MT","Stay At Home Order","H",2020-03-28,2020-04-25,NA,NA,0.7,0,0,"United States","Montana",NA,NA
"NC","Stay At Home Order","H",2020-03-27,2020-05-22,NA,NA,0.7,0,0,"United States","North Carolina",NA,NA
"ND","Stay At Home Order","H",NA,NA,NA,NA,0.7,0,0,"United States","North Dakota",NA,NA
"NE","Stay At Home Order","H",NA,NA,NA,NA,0.7,0,0,"United States","Nebraska",NA,NA
"NH","Stay At Home Order","H",2020-03-26,2020-06-15,NA,NA,0.7,0,0,"United States","New Hampshire",NA,NA
