"week","age_group_small","pct_cases","pct_deaths","pct_cases_raw","pct_deaths_raw","cases_update_date"
2020-03-15,"10-14 Years",0.0119546585135983,0.000678206578005776,0.0125546092405454,0.00087719298245614,2020-07-12
2020-03-22,"10-14 Years",0.0100715352437141,0.000375435237249959,0.00916720119734873,0.000158730158730159,2020-07-12
2020-03-29,"10-14 Years",0.00954410242067559,0.000162619870947998,0.0091712969237024,0,2020-07-12
2020-04-05,"10-14 Years",0.0103604014312828,4.25348907771722e-05,0.0106425973326148,6.19847517510692e-05,2020-07-12
2020-04-12,"10-14 Years",0.0126171095489955,-5.30825123744237e-06,0.012967527964129,0,2020-07-12
2020-04-19,"10-14 Years",0.0157962593227418,5.73397216137433e-05,0.0152431689293693,3.25309043591412e-05,2020-07-12
2020-04-26,"10-14 Years",0.0200841812646011,9.38831520564142e-05,0.019739936367409,0.000114503816793893,2020-07-12
2020-05-03,"10-14 Years",0.024555122970878,0.000120171767731838,0.0253171834872935,0.000134916351861846,2020-07-12
2020-05-10,"10-14 Years",0.0282709949141337,9.82585264812601e-05,0.0286475504101817,0.000164473684210526,2020-07-12
2020-05-17,"10-14 Years",0.0312336510870109,6.40764096694676e-05,0.0306222264637114,0,2020-07-12
2020-05-24,"10-14 Years",0.0347826313065138,2.96590777955675e-05,0.0344219943546972,0,2020-07-12
2020-05-31,"10-14 Years",0.0385461547184883,1.46303478614434e-05,0.0384368138932294,0,2020-07-12
2020-06-07,"10-14 Years",0.0410961530229621,1.66512108503058e-05,0.0429567161330777,0.000120540019286403,2020-07-12
2020-06-14,"10-14 Years",0.0432116398171158,5.39735731478229e-05,0.041175547247353,0,2020-07-12
2020-06-21,"10-14 Years",0.0439795922042088,9.92487793413244e-05,0.0440931780366057,0,2020-07-12
2020-06-28,"10-14 Years",0.0446656016249204,0.000143620479682778,0.0472504426270972,0.000233644859813084,2020-07-12
2020-07-05,"10-14 Years",0.04538403856567,0.000192454225156489,0.0408307988966359,0.000282273240496801,2020-07-12
