"state","fi_date","fd_date","rt_date","fi_ct","fd_ct","tot_deaths","tot_cases","doubling_time","rt","rt_std","pop"
"Louisiana",2020-03-09,2020-03-14,2020-06-11,1,1,4195,133125,51.2245444672785,1.03261488068833,0.279,4670724
"Maine",2020-03-12,2020-03-27,2020-06-11,1,1,126,4052,232.428756359641,0.982189780674786,0.055,1329328
"Maryland",2020-03-06,2020-03-18,2020-06-11,3,1,3652,96843,86.7457474463326,0.933550130995784,0.202,6006401
"Massachusetts",2020-02-01,2020-03-20,2020-06-11,1,1,8751,121707,228.433742082508,0.814293907572223,0.281,6794422
"Michigan",2020-03-10,2020-03-18,2020-06-11,2,1,6533,98213,95.6585749719274,0.425957229610191,0.345,9922576
"Minnesota",2020-03-06,2020-03-20,2020-06-11,1,1,1666,61839,61.0211418600048,0.940945987395593,0.159,5489594
"Mississippi",2020-03-12,2020-03-19,2020-06-11,1,1,1937,68293,52.5113359837661,0.951105696305607,0.108,2992333
"Missouri",2020-03-08,2020-03-18,2020-06-11,1,1,1312,60920,40.0379413346789,1.02338531274838,0.101,6083672
"Montana",2020-03-13,2020-03-28,2020-06-11,4,1,79,5104,30.857739732019,1.02666133677023,0.083,1032949
"Nebraska",2020-03-06,2020-03-27,2020-06-11,1,2,349,28543,76.5774528474503,1.01990528827651,0.245,1896190
"Nevada",2020-03-05,2020-03-16,2020-06-11,1,1,980,57520,43.5866718009833,1.09559748176757,0.056,2890845
"New Hampshire",2020-03-02,2020-03-23,2020-06-11,1,1,419,6861,189.738049657509,0.953695430928974,0.085,1330608
"New Jersey",2020-03-05,2020-03-09,2020-06-11,2,1,15890,185475,372.80665282398,0.885225023069294,0.32,8958013
"New Mexico",2020-03-11,2020-03-26,2020-06-11,3,1,693,22643,81.7278038408756,0.989288314521152,0.085,2085109
"New York",2020-03-02,2020-03-14,2020-06-11,1,3,32477,422072,469.917189229207,0.861894729797986,0.324,19795791
"North Carolina",2020-03-03,2020-03-25,2020-06-11,1,1,2204,137892,64.9275258449281,1.06637986887156,0.075,10042802
"North Dakota",2020-03-12,2020-03-27,2020-06-11,1,1,118,7885,38.9769734833689,1.00076617935323,0.067,756927
"Ohio",2020-03-09,2020-03-20,2020-06-11,3,1,3708,102827,63.0931246107526,1.08043940432639,0.26,11613423
"Oklahoma",2020-03-07,2020-03-18,2020-06-11,1,1,618,44728,40.6641660006288,1.06783919763517,0.094,3911338
"Oregon",2020-02-29,2020-03-14,2020-06-11,1,1,368,21774,47.7549686284158,1.16251685605551,0.103,4028977
