"Stay At Home Order","State-Mandated School Closures","start_date","b1","loss"
0.75,0.3,2020-03-06,0.85,32.2004317292783
0.76,0.3,2020-03-06,0.85,32.5009455616636
0.77,0.3,2020-03-06,0.85,32.9010464965139
0.78,0.3,2020-03-06,0.85,33.3985322476599
0.79,0.3,2020-03-06,0.85,33.9886251418401
0.8,0.3,2020-03-06,0.85,34.6646402265141
0.81,0.3,2020-03-06,0.85,35.41828260478
0.82,0.3,2020-03-06,0.85,36.2407266488344
0.83,0.3,2020-03-06,0.85,37.1231200947416
0.84,0.3,2020-03-06,0.85,38.0562970961594
0.85,0.3,2020-03-06,0.85,39.0318696830726
0.86,0.3,2020-03-06,0.85,40.0418147278389
0.87,0.3,2020-03-06,0.85,41.0788606686808
0.88,0.3,2020-03-06,0.85,42.1364796716933
0.89,0.3,2020-03-06,0.85,43.2088643827415
0.9,0.3,2020-03-06,0.85,44.2909208217309
0.91,0.3,2020-03-06,0.85,45.3781137732181
0.92,0.3,2020-03-06,0.85,46.4667832903344
0.93,0.3,2020-03-06,0.85,47.5536097904524
0.94,0.3,2020-03-06,0.85,48.6357845907618
0.95,0.3,2020-03-06,0.85,49.7109508998707
