region,date,mean,median,lower_90,upper_90,lower_50,upper_50
AK,2020-03-10,1.216142452975737,1.1701131778822438,0.7719366128001858,1.7068733642260918,1.001316960822054,1.3322530519825864
AK,2020-03-11,1.2096639966459006,1.16961181948209,0.7582812750306146,1.682747084076461,0.9732048118392967,1.278254751099154
AK,2020-03-12,1.2086813995902088,1.1658864744270072,0.7895791902551398,1.6857698338454394,0.9734568096275338,1.2854680711678528
AK,2020-03-13,1.2026058396332078,1.165371571358158,0.7634938816562048,1.6777549149696016,0.9213411516971314,1.2406037694978067
AK,2020-03-14,1.1903296242251604,1.1527306072321175,0.7093231374191713,1.612327855140508,0.9959168669631401,1.3047956808964956
AK,2020-03-15,1.1781188670472396,1.1433868004086727,0.7679180638831754,1.657715699481038,1.002376974001755,1.315859303031442
AK,2020-03-16,1.1733129086789642,1.1412228678964915,0.7081183769728963,1.5953502832871849,0.972967645650813,1.2667608372068588
AK,2020-03-17,1.164577025901649,1.1330902931288334,0.7287238221142176,1.584512556984266,0.9868793172661974,1.2735644517157783
AK,2020-03-18,1.149014198800689,1.1231804993380488,0.7323875219090876,1.5909351560315377,0.9395128248926433,1.2290483666287368
AK,2020-03-19,1.138539128781122,1.1162737030878016,0.7039982091421706,1.528476691823224,0.9568689953987668,1.2431180085908822
AK,2020-03-20,1.1306898072495914,1.1107940925752748,0.6922319064798992,1.5078295099612724,0.9501357571934707,1.215268692913112
AK,2020-03-21,1.1180738010342368,1.097203876524151,0.7036242556544142,1.5260813289806117,0.9398297537856218,1.216980546942899
AK,2020-03-22,1.1153485313623752,1.0943302450916472,0.6713540780152994,1.5057173761349105,0.9180827222196728,1.2023049036517643
AK,2020-03-23,1.1031138065490425,1.0870930097407736,0.6783606581440043,1.480873394361861,0.9449957655835465,1.2206034485711688
AK,2020-03-24,1.0950703090385627,1.079322536917552,0.684127625788451,1.5029107838695865,0.9381927168003764,1.2056554540579552
AK,2020-03-25,1.084555861550366,1.067899496017287,0.6949285307825206,1.5052556654634763,0.9114082607410591,1.178175249700799
AK,2020-03-26,1.0723469383821393,1.0606178643544149,0.6333163957780141,1.460867587248078,0.9213793454911408,1.1793807427979934
AK,2020-03-27,1.0663646687873771,1.0525795243778733,0.6799050980689582,1.5103767720633199,0.9167743655957517,1.1884955842143572
AK,2020-03-28,1.0607815983000044,1.0501114144163723,0.6184953254059826,1.4816123507195154,0.918437744653705,1.188177500134072
AK,2020-03-29,1.0470529547127838,1.043866116831397,0.619183195848678,1.471180850035438,0.8879750994258817,1.1732767759632696
AK,2020-03-30,1.0334837288033993,1.0281576438600957,0.6249664053616204,1.506427219198236,0.9105210215626128,1.1910167468470587
AK,2020-03-31,1.0251648912943268,1.0265785537166185,0.6036292372223222,1.492271317512517,0.8903502171642421,1.1790269109867053
AK,2020-04-01,1.0149242195729402,1.0217472106805063,0.586178411962087,1.50541907272991,0.9143449739471772,1.197662784592297
AK,2020-04-02,1.0059840658505175,1.0187831624105,0.5283429511606164,1.4636716600691622,0.8934949201030147,1.1815884179177758
AK,2020-04-03,0.9951223784348151,1.0075796266347012,0.5391493656093205,1.4774218816123543,0.8665836842365908,1.1552302516058943
AK,2020-04-04,0.9839349864025229,1.005835881820846,0.5362925405745812,1.4958892601771199,0.8540729343282069,1.1449495613998064
AK,2020-04-05,0.9694662159528094,0.9946488350002299,0.5027071563092678,1.448223821992644,0.8452400623927467,1.1546500217862234
AK,2020-04-06,0.9612481756932979,0.9820128135234127,0.47512113542394574,1.4365148697146797,0.8564512503513091,1.1671760334924226
AK,2020-04-07,0.946616683015348,0.9781317591476215,0.4552808113906801,1.458133911388998,0.8024102682028906,1.124035858253305
AK,2020-04-08,0.9396735024242255,0.974714729572761,0.37513607098312085,1.4006249299118334,0.8051614384997727,1.1394154158980137
AK,2020-04-09,0.9415294294531223,0.9746755222266494,0.4373110581159567,1.466724615699205,0.8209961268598691,1.1577037402887635
AK,2020-04-10,0.93609610505623,0.9714511452019376,0.35320461773913814,1.407562834909257,0.8269612691665573,1.1614933409771784
AK,2020-04-11,0.9298025001842324,0.9712265907012734,0.41198325052418705,1.480180439386379,0.790000202377662,1.145096499582603
AK,2020-04-12,0.9301228926236103,0.9711331663247975,0.36398106362582505,1.4696058895106083,0.7892039391267331,1.1487771171555914
AK,2020-04-13,0.920765967272422,0.9588115572368054,0.36945567420863445,1.5169121920139133,0.7827423026644678,1.1549927015632209
AK,2020-04-14,0.9213073910584517,0.9671116169187628,0.4164167797143765,1.5338848861138854,0.7501227512028278,1.1349350385389283
AK,2020-04-15,0.9227034184671032,0.967286089516754,0.3743907737436588,1.5297962980456496,0.8058687093000065,1.193104678670158
AK,2020-04-16,0.9193579749157638,0.9600579407477532,0.3720423734717371,1.5279603599433202,0.7626864333810492,1.1529350428025649
AK,2020-04-17,0.9227478823809658,0.9647122278737056,0.34351542712680294,1.5199020732350903,0.7665995776804422,1.1590423771408995
AK,2020-04-18,0.9143400223941756,0.9687593272318253,0.347863595619302,1.5444694668956465,0.7843403336489326,1.177419757382816
AK,2020-04-19,0.9161900427862466,0.965822794343584,0.3472197833366012,1.5557589822706817,0.7425583243568263,1.1623871949157836
AK,2020-04-20,0.9158888752316362,0.9685457547662782,0.3074932805078292,1.5694969533262335,0.765794599730483,1.191009030625953
AK,2020-04-21,0.9143328729973887,0.9680298406793887,0.33163743406020074,1.669019653698065,0.7278783053219642,1.152889030908426
AK,2020-04-22,0.9142156999684117,0.9620927180685884,0.2544205080824148,1.6116562614309178,0.7706420298893684,1.198029701617566
