region,date,mean,median,lower_90,upper_90,lower_50,upper_50
"Arlington County, VA",2020-02-20,1.175009926671181,1.1462067325596732,0.8962305352235386,1.553244563697314,0.9662056658176265,1.2202920873353502
"Arlington County, VA",2020-02-21,1.173692362726483,1.1458445052896196,0.846313702633762,1.513912905531576,0.9490771106753827,1.2000630990985703
"Arlington County, VA",2020-02-22,1.171587255682126,1.1481557551696664,0.8743854456967555,1.5300474311813732,0.9619906681644188,1.2047222515151916
"Arlington County, VA",2020-02-23,1.1720762842906725,1.1483219951547272,0.8636724604983682,1.5033349604936124,0.9465894317320351,1.1948111703303834
"Arlington County, VA",2020-02-24,1.1715720167496884,1.1481448358505928,0.8496944751785496,1.4989968967541367,0.9485470167555794,1.19481622591019
"Arlington County, VA",2020-02-25,1.17051214251723,1.1420902892325864,0.8833145371792831,1.5267117748867134,0.9543948952831074,1.2022178582560992
"Arlington County, VA",2020-02-26,1.170431347574156,1.1408925191845545,0.8662604573996666,1.4997208185359028,0.970270239793511,1.214075856871921
"Arlington County, VA",2020-02-27,1.167926204187055,1.1429260953907123,0.8994930769999626,1.5396760003068741,0.9592902045358814,1.1913837079139777
"Arlington County, VA",2020-02-28,1.1675489530059822,1.1426940510441597,0.8718630843155235,1.511575563951545,0.9599249457838617,1.1930113287946917
"Arlington County, VA",2020-02-29,1.1659756846535827,1.1459703747669554,0.865012536001895,1.4927719822545553,0.9783402824305834,1.2205822949193523
"Arlington County, VA",2020-03-01,1.165854652837266,1.1411232044302202,0.8906517336801243,1.514485787795103,0.9786078399153206,1.2119461318976306
"Arlington County, VA",2020-03-02,1.1676433752279374,1.1408780964046903,0.911646070412537,1.537576849968305,0.9667435460373436,1.1956183874717947
"Arlington County, VA",2020-03-03,1.1664484091303997,1.1395798187519683,0.8709128229035163,1.4939097666481047,0.9705836077596843,1.2052912232341382
"Arlington County, VA",2020-03-04,1.1648976405800537,1.1355959267761402,0.8982509188587643,1.5149869072123598,0.9585122962962495,1.182138138873123
"Arlington County, VA",2020-03-05,1.162633434528095,1.1358849438216285,0.873275186192042,1.4822975236493063,0.9767398453415862,1.2035298725563637
